Part Number,SIM,Zip Code,PIN,Status,Cell Tech,SIM 2,Part 2,PIN 2,Tech 2
STSAG955UCSVP,TF256PSIMV9N,33178,STAPP30035,New,CDMA,TF256PSIMV9N,STSAG955UCSVPWP,NTAPPMP00045TR,CDMA
STSAG950UCSVP,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,TF256PSIMV9N,STSAG950UCSVPWP,STAPP30035,CDMA
STLGL84VCP,TF256PSIMV9N,33178,STAPP30035,New,CDMA,TF256PSIMV9N,STLGL84VCR,STAPP20055,GSM
STSAS327VCP,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,TF256PSIMV9N,STSAS327VC2R,NTAPPMP00045SA,GSM
STSAS727VCR,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA,TF256PSIMV9N,STSAS727VCRCS,STAPP20055,GSM
STZEZ986DGP,TF128PSIMCL7N,692,NTAPPMP00060ILD,New,GSM,TF128PSIMC4N,STZEZ986DGP5P,STAPP30035,GSM
STLGL83BGP,TF128PSIMT5N,33178,NTAPPMP00045,New,GSM,TF128PSIMCL7N,STLGL83BGP4P,NTAPPMP00045TR,GSM
STZEZ799VCP,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA,TF128PSIMT5N,STZEZ962BGR,NTAPPMP00060ILD,GSM
STLGL63BGP4P,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STLGL63BGWHP7,TF128PSIMCL7N,692,STAPP30035,New,GSM,TF128PSIMC4RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STLGL59BGP5P,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STLGL59BGWHP7,TF128PSIMCL7N,692,NTAPPMP00045TR,New,GSM,TF128PSIMC4N,STZEZ753GWHP5,NTAPPMP00045,GSM
STLGL48VCP,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STLGL57BGP,TF128PSIMT5N,33178,NTAPPMP00045,New,GSM,TF128PSIMC4RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STLGL58VCP,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA,STAPI6PC16GYPWP,TF256PSIMV9N,NTAPPMP00060ILD,CDMA
STZEZ233VCGYP,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA,STZEZ962BGR,TF128PSIMT5N,STAPP30035,GSM
STZEZ232TGGY2R5,TF128PSIMT5RM,33178,NTAPPMP00045,New,GSM,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STLG108CR,,33178,STAPP20055,New,CDMA,TF128PSIMC4RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STLG238CRCS,,33178,STAPP30035,New,CDMA,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STSAS320VCWHP,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,TF64PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STSAS550TGR5,TF128PSIMT5N,33178,NTAPPMP00045TR,New,GSM,TF64PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STZEZ916BGRCS5,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STLGL53BGP5P,TF128PSIMT5N,33178,NTAPPMP00045TR,New,GSM,TF64PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STLGL56VCPWP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STLG442BGRCS5,TF128SIMT5,33178,NTAPPMP00060ILD,New,GSM,TF128SIMT5,STLG441GP5,NTAPPMP00045SA,GSM
STLG328BGR5,TF128SIMT5,33178,STAPP30035,New,GSM,TF64PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STZEZ291DGRCS5,TF128PSIMT5RM,33178,STAPPMB00050,New,GSM,TF128SIMT5,STLG441GP5,NTAPPMP00045SA,GSM
STZEZ291DGR4,TF128PSIMC4RM,33178,STAPPMB00075,New,GSM,TF64PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STSAS935DGSVRCS5,TF128PSIMT5N,33178,NTAPPMP00045SA,New,GSM,TF64PSIMT5RM,STZEZ753GWHP5,STAPP30035,GSM
STSAS935DCSVWHP,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,TF128SIMT5,STLG441GP5,NTAPPMP00045SA,GSM
STAPISEC16GYR,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STAPISEG16GYP4,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,TF128PSIMC4RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STALA571VCR,TF256PSIMV9RM,33178,NTAPPMP00045TR,New,CDMA,TF128PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STALA570BGP4,TF128PSIMT5RM,33178,NTAPPMP00060ILD,New,GSM,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STAPI6C16GYPWP,TF256PSIMV9N,33178,STAPP30035,New,CDMA,TF64PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STAPI6PC16GYPWP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STZEZ962BGR,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM,TF128SIMT5,STLG441GP5,NTAPPMP00045SA,GSM
STLGL44VC,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA,TF64PSIMT5RM,STZEZ753GWHP5,STAPP30035,GSM
STLGL51AGWHP4,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,TF128SIMT5,STLG441GP5,NTAPPMP00045SA,GSM
STLGL62VCRCS,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STLGL81AGWHP4,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,TF128SIMT5,STLG441GP5,NTNMP00045,GSM
STLG329GP5,TF64SIMT5,33178,NTAPPMP00045,New,GSM,TF64PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STLGL52VCWHP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,TF64PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STZEZ716BGR4,TF128PSIMC4RM,33178,NTAPPMP00045SA,New,GSM,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STAPI6SC16GDR,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STALA462CR,,33178,STAPP30035,New,CDMA,TF128SIMT5,STLG441GP5,STAPP30035,GSM
STZEZ819CP,TF256PSIMV9RM,33178,STAPP01500,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,NTNMP00045M3,CDMA
STLCPOAGS4GP4,TF128PSIMC4RM,33178,STAPP00035,New,GSM,TF128PSIMC4RM,ST3GCPOAGS4GP4,NTAPPMP00045,GSM
STALA520CP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,NTAPPMP00045SA,CDMA
STALA521GRCS4,TF64PSIMC4RM,33178,NTAPPMP00045,New,GSM,TF128SIMT5,STLG441GP5,NTPMP00060ILD,GSM
STSAS920CRCS,TF256PSIMV9RM,33178,STN01500,New,CDMA,TF64PSIMT5RM,STZEZ753GWHP5,STN01500,GSM
STLG441GP4,TF128SIMC4,33178,STAPP00035,New,GSM,TF128SIMT5,STLG441GP5,NTPMP00060ILD,GSM
STALA206GR4,TF128SIMC4RM,33178,NTNMP00045,New,GSM,TF128SIMT5RM,STALA206GWHP,NTPMP00060ILD,GSM
STHUH350,TF64SIMC4,33178,STNHPAPPUNL30,New,GSM,TF64SIMC4,STHUH350P,STAPP30035,GSM
STZEZ558VC,TF256PSIMV9N,33178,STAPP20055,New,CDMA,TF256PSIMV9N,STZEZ558VCWHP,STAPP30035,CDMA
STAPIXC64SVPWP.2,TF256PSIMV9N,33178,STAPP20055,New,CDMA,TF256PSIMV9N,STAPIXC64GYPWP.2,STAPP30035,CDMA
STAPIXG64SVR,TF128PSIMC4N,33178,STAPP20055,New,GSM,TF128PSIMC4N,STAPIXG64SVP4,STAPP30035,GSM
