Part Number,SIM,Zip Code,PIN,Status,Cell Tech
STSAG955UCSVWHP,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA
STSAG950UCSVR,TF256PSIMV9N,33178,STAPP20055,New,CDMA
STZEZ799VCPWP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA
STLGL63BGP5P,TF128PSIMT5N,33178,NTAPPMP00045SA,New,GSM
STLGL63BG2R7,TF128PSIMCL7N,692,STAPP30035,New,GSM
STLGL59BGP4P,TF128PSIMT5N,33178,NTAPPMP00045SA,New,GSM
STLGL59BGR7,TF128PSIMCL7N,692,NTAPPMP00060ILD,New,GSM
STLGL48VCPWP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA
STLGL57BGP4,TF128PSIMC4N,33178,STAPP30035,New,GSM
STLGL58VCPWP,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA
STZEZ233VCGYPWP,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA
STZEZ232TGGYP5,TF128PSIMT5RM,33178,STAPP20055,New,GSM
STLG108CPWP,,33178,NTAPPMP00045,New,CDMA
STZEZ291DGR4,TF128PSIMC4RM,33178,STAPPMB00075,New,CDMA
STAPISEC16GY,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA
GPAPISEG16GYR4,TF128PSIMC4N,33178,STAPP20055,New,GSM
GPAPISEC16GYPWP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA
STAPISEG16GYP,TF128PSIMC4N,33178,STAPP30035,New,GSM
STALA571VCPWP,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA
STAPI6C16GYP,TF256PSIMV9N,33178,STAPP20055,New,CDMA
STAPI6PC16GYP,TF256PSIMV9N,33178,STAPP30035,New,CDMA
STLGL61AGP4P,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM
STLGL44VC,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA
STLG329GP4,TF128SIMC4,33178,STAPP20055,New,GSM
STLG329GP5P,TF64SIMT5,33178,STAPP01500,New,GSM
STLGL52VCPWP,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA
STZEZ716BGWHP4,TF128PSIMC4RM,33178,NTAPPMP00045SA,New,GSM
STLGL52VCWHP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA
STZEZ716BGWHP5,TF128PSIMT5RM,33178,STAPP00035,New,GSM
STZEZ936C,TF256PSIMV9RM,33178,STAPP30035,New,CDMA
STLGL22CP,,33178,NTAPPMP000451Y,New,CDMA
STMTXT830CR,,33178,NTPMP00060ILD,New,CDMA
PHST64PSIMT5DD,TF64PSIMT5DD,33178,STAPP30035,New,GSM
STUXU240CWHP,,33178,STNMB00015,New,CDMA
STSAS960CPWP,,33178,NTPMP00060ILD,New,CDMA
STSAS950CP,,33178,NTPMP00060ILD,New,CDMA
GPAPI4SC,,33178,STNS00035,New,CDMA
STSAS950CP,,33178,NTAPPMP00045SA,Past Due,CDMA
STNKE5GP4,TF64PSIMC4,33178,STAPP20055,Past Due,GSM
STMTXT937CP,,33178,STAPP20055,Past Due,CDMA
STAVV10GP,JASPER2FF,33178,,New,CDMA
STREAX54NC,,33178,STAPP30035,New,CDMA
PHST128PSIMC4ND,TF128PSIMC4ND,33178,STAPPMB00040,New,GSM
STUXU240CP,,33178,STAPPMB00075,New,CDMA
STZEZ837VC,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA
STLGL64VC,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA
STZEZ836BGP4,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM
STZEZ836BGP5,TF128PSIMT5N,33178,NTAPPMP00045TR,New,GSM
STZEZ836BGP7,TF128PSIMCL7N,33178,NTAPPMP00045SA,New,GSM
STZEZ798BGP4,TF128PSIMC4RM,33178,STAPP30035,New,GSM
STZEZ798BGP5,TF128PSIMT5RM,33178,NTAPPMP00060ILD,New,GSM
STZEZ798BGP7,TF128PSIMCL7RM,33178,STAPP20055,New,GSM
STALA574BGP4P,TF128PSIMC4N,33178,STAPPMB00075,New,GSM
STALA574BGP5P,TF128PSIMT5N,33178,NTAPPMP00045TR,New,GSM
STALA574BGP7P,TF128PSIMCL7N,692,NTAPPMP00045TR,New,GSM
STALA576BGP4P,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM
STALA576BGP5P,TF128PSIMT5N,33178,NTAPPMP00045TR,New,GSM
STALA576BGP7P,TF128PSIMCL7N,692,NTAPPMP00045SA,New,GSM
STSAS337TGP,TF128PSIMT5N,33178,NTAPPMP000451Y,New,GSM
STSAS737TGP,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM
