Part Number,SIM,Zip Code,Status,Cell Tech,Plan,Reoccuring?,Card Type
STSAG955UCSVR,TF256PSIMV9N,33178,New,CDMA,6 Months Unlimited Plan,One-Time,Visa
STSAG950UCSV2R,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,One-Time,Visa
STLGL84VCP,TF256PSIMV9N,33178,New,CDMA,6 Months Unlimited Plan,One-Time,Visa
STSAS327VCR,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,One-Time,Discover
STSAS727VCPWP,TF256PSIMV9N,33178,New,CDMA,6 Months Unlimited Plan,One-Time,Visa
STZEZ986DGR4,TF128PSIMC4N,33178,New,GSM,3 Months Unlimited Plan,One-Time,Discover
STLGL83BG2R4,TF128PSIMT5N,33178,New,GSM,3 Months Unlimited Plan,One-Time,Visa
STZEZ799VCWHP,TF256PSIMV9RM,33178,New,CDMA,3 Months Unlimited Plan,Reoccuring,Visa
STLGL63BGP7P,TF128PSIMC4N,33178,New,GSM,6 Months Unlimited Plan,Reoccuring,Visa
STLGL63BGRCS7,TF128PSIMCL7N,692,New,CDMA,3 Months Unlimited Plan,Reoccuring,Discover
STLGL59BGP7P,TF128PSIMT5N,33178,New,GSM,1 Year Unlimited Plan,One-Time,American Express
STLGL59BGRCS7,TF128PSIMCL7N,692,New,CDMA,6 Months Unlimited Plan,Reoccuring,Visa
STLGL48VCWHP,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,Reoccuring,Visa
STLGL57BGP5,TF128PSIMC4N,33178,New,GSM,6 Months Unlimited Plan,Reoccuring,Visa
STLGL58VCWHP,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,Reoccuring,Discover
STZEZ233VCGYWHP,TF256PSIMV9RM,33178,New,CDMA,1 Year Unlimited Plan,One-Time,American Express
STLG108CWHP,,33178,New,CDMA,All You Need Plan,One-Time,Discover
STZEZ232TGGYRCS5,TF128PSIMT5RM,33178,New,GSM,6 Months Unlimited Plan,Reoccuring,Discover
ST256PBYOTD,TF256PSIMV9DD,33178,New,CDMA,Hotspot 5 GB,One-Time,Visa
ST256PBYOTN,TF256PSIMV9ND,33178,New,CDMA,Hotspot 4 GB,One-Time,Discover
STBYOTC,,33178,New,CDMA,Hotspot 1 GB,Reoccuring,Visa
STLG238CWHP,,33178,New,CDMA,6 Months Unlimited Plan,Reoccuring,Visa
STSAS320VCPWP,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,Reoccuring,Discover
STSAS550TGP5,TF128PSIMT5N,33178,New,GSM,1 Year Unlimited Plan,One-Time,American Express
STLGL56VCRCS,TF256PSIMV9N,33178,New,CDMA,6 Months Unlimited Plan,Reoccuring,American Express
STLG442BGP7P,TF128SIMC4,33178,New,GSM,3 Months Unlimited Plan,Reoccuring,Visa
STZEZ291DGR4,TF128PSIMC4RM,33178,New,GSM,Hotspot 4 GB,Reoccuring,American Express
STSAS935DGSVP4P,TF128PSIMC4N,33178,New,GSM,6 Months Unlimited Plan,Reoccuring,Discover
STSAS935DCSVP,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,Reoccuring,American Express
STAPISEC16GYPWP,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Discover
STAPISEG16GYP4P,TF128PSIMC4N,33178,New,GSM,6 Months Unlimited Plan,Reoccuring,Discover
STALA571VCWHP,TF256PSIMV9RM,33178,New,CDMA,Unlimited Plan,One-Time,Visa
STALA570BGP4,TF128PSIMT5RM,33178,New,GSM,Unlimited Plan,Reoccuring,Discover
STAPI6C16GYWHP,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,One-Time,Visa
STAPI6PC16GYWHP,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Discover
STALA621BGR7,TF128PSIMC4RM,33178,New,GSM,Unlimited International Plan,Reoccuring,Discover
STLGL82VCPWP,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,One-Time,Visa
STLGL62VCRCS,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,Reoccuring,Discover
