Status,PartNumber,ZipCode,SIM,PIN,CellTech,Protection Plan,CardType
New,STZEZ799VCR,80130,TF256PSIMV9RM,NTAPPMP00045SA,CDMA,Annual Easy Exchange,Visa
New,STLGL63BGWHP5,80130,TF128PSIMT5N,NTAPPMP000451Y,GSM,Monthly Easy Exchange PLUS,Visa
New,STLGL63BGR7,80130,TF128PSIMCL7N,NTAPPMP00060ILD,CDMA,Annual Easy Exchange PLUS,Visa
New,STLGL59BGWHP,80130,TF128PSIMT5N,NTAPPMP00045SA,GSM,Annual Easy Exchange,Visa
New,STLGL59BG2R7,80130,TF128PSIMCL7N,NTAPPMP00060ILD,CDMA,Monthly Easy Exchange PLUS,Visa
New,STLGL48VCR,80130,TF256PSIMV9N,NTAPPMP00045SA,CDMA,Annual Easy Exchange,Visa
New,STLGL57BGP7,80130,TF128PSIMC4N,NTAPPMP000451Y,GSM,Monthly Easy Exchange PLUS,Visa
New,STLGL58VCR,80130,TF256PSIMV9N,STAPP30035,CDMA,Annual Easy Exchange PLUS,Visa
New,STZEZ233VCGY2R,80130,TF256PSIMV9RM,NTAPPMP00045SA,CDMA,Annual Easy Exchange,Visa
New,STAPISEG16GYR,80130,TF128PSIMC4N,STAPP20055,GSM,Annual Easy Exchange PLUS,Visa
New,STALA571VCP,80130,TF256PSIMV9RM,NTAPPMP00045SA,CDMA,Annual Easy Exchange,Visa
New,STAPI6C16SVP,80130,TF256PSIMV9N,NTAPPMP00060ILD,CDMA,Monthly Easy Exchange PLUS,Visa
New,STZEZ717VCR,80130,TF256PSIMV9RM,STAPP20055,CDMA,Annual Easy Exchange PLUS,Visa
New,STZEZ962BGP5P,80130,TF128PSIMT5N,STAPP30035,GSM,Annual Easy Exchange,Visa
New,STALA621BGP4,80130,TF128PSIMC4RM,NTAPPMP000451Y,GSM,Monthly Easy Exchange PLUS,Visa
New,STLGL44VCR,80130,TF256PSIMV9N,NTAPPMP00060ILD,CDMA,Annual Easy Exchange PLUS,Visa
New,STLGL51AGP4P,80130,TF128PSIMC4N,NTAPPMP00045SA,GSM,Annual Easy Exchange,Visa
New,STLGL62VCP,80130,TF256PSIMV9N,NTAPPMP00045,GSM,Monthly Easy Exchange PLUS,Visa
New,STLGL81AGWHP4,80130,TF128PSIMC4N,NTAPPMP00060ILD,GSM,Annual Easy Exchange PLUS,Visa
New,STLGL82VCR,80130,TF256PSIMV9N,STAPP30035,GSM,Annual Easy Exchange,Visa
New,STLG329GP,80130,TF64SIMT5,NTAPPMP00060ILD,GSM,Monthly Easy Exchange PLUS,Visa
New,STLGL52VC,80130,TF256PSIMV9N,NTAPPMP00045SA,CDMA,Annual Easy Exchange PLUS,Discover
New,STBYOCNL,80130,,NTAPPMP00060ILD,CDMA,Annual Easy Exchange PLUS for $200 BYOP,Visa
New,PHST64PSIMC4BMB,80130,TF64PSIMC4BMB,STAPP20055,GSM,Annual Easy Exchange PLUS for $400 BYOP,Visa
New,STBYOCNRS,80130,,NTAPPMP00045SA,CDMA,Annual Easy Exchange PLUS for $200 BYOP,Discover
New,PHST64PSIMT5B,80130,TF64PSIMT5B,NTAPPMP00045,GSM,Annual Easy Exchange PLUS for $400 BYOP,Discover
New,STSAR375CP,80130,,NTPMP00060ILD,CDMA,Annual Easy Exchange,Visa
New,STSAR355CP,80130,,NTPMP02999,CDMA,Monthly Easy Exchange PLUS,Discover
New,STSAM828CP,80130,,NTPMP00060ILD,CDMA,Annual Easy Exchange PLUS,Visa
New,STLG420GP4,80130,TF64SIMC4,NTPMP02999,GSM,Annual Easy Exchange,Visa
New,STLG505CP,80130,,STAPP20055,CDMA,Monthly Easy Exchange PLUS,Discover
New,STLGL75CP,80130,,STAPP30035,CDMA,Annual Easy Exchange PLUS,Discover
New,STMTEX431GP4,80130,TF64SIMC4,NTAPPMP00045SA,GSM,Annual Easy Exchange,Visa
