Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Status,Queued?
STSAG955UCSV2R,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00045TR,CDMA,New,Now
STSAG950UCSVRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New,Now
STLGL84VCPWP,TF256PSIMV9N,33178,NTAPPMP00060ILD,NTAPPMP00045TR,CDMA,New,Now
STSAS327VC2R,TF256PSIMV9N,33178,STAPP20055,STAPP0005D,CDMA,New,Now
STSAS727VCWHP,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP000451Y,CDMA,New,Now
STZEZ799VCRCS,TF256PSIMV9RM,33178,NTAPPMP00045TR,NTAPPMP00045TR,CDMA,New,Now
STLGL63BGR5,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New,Now
STLGL59BGWHP4,TF128PSIMT5N,33178,STAPP30035,NTAPPMP00045,GSM,New,Queued
STLGL48VCRCS,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP00045TR,CDMA,New,Now
STLGL57BGP5P,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New,Now
STLGL58VCRCS,TF256PSIMV9N,33178,STAPP30035,NTAPPMP00045,CDMA,New,Queued
STZEZ233VCGY,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTAPPMP00045,CDMA,New,Now
STZEZ232TGGYR,TF128PSIMT5RM,33178,NTAPPMP00045,STAPP20055,GSM,New,Now
STLG108CP,,33178,STAPP01500,NTAPPMP00045,CDMA,New,Queued
STZEZ291DGR4,TF128PSIMC4RM,33178,STAPPMB00075,STAPPMB00050,GSM,New,Now
STLG238CR,,33178,NTAPPMP00045TR,NTAPPMP00045TR,CDMA,New,Now
STSAS320VCRCS,TF256PSIMV9N,33178,NTAPPMP000451Y,NTAPPMP00045TR,CDMA,New,Now
STSAS550TG,TF128PSIMT5N,33178,NTAPPMP00045TR,NTAPPMP00045,GSM,New,Queued
STZEZ916BGR5,TF128PSIMT5N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New,Now
STLGL53BGP5,TF128PSIMT5N,33178,NTAPPMP00045TR,NTAPPMP00045,GSM,New,Now
STLGL56VC,TF256PSIMV9N,33178,STAPP30035,STAPP0010D,CDMA,New,Now
STLG442BGP5,TF128SIMT5,33178,NTAPPMP00045TR,NTAPPMP00045,GSM,New,Now
STLG328BGP5,TF128SIMT5,33178,NTAPPMP00045SA,NTPMP00060ILD,GSM,New,Queued
STZEZ291DGP5,TF128PSIMT5RM,33178,STAPPMB00050,STAPPMB00075,GSM,New,Now
STSAS935DGSVP5,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00045,GSM,New,Queued
STSAS935DCSVP,TF256PSIMV9N,33178,NTAPPMP000451Y,NTAPPMP00045TR,CDMA,New,Now
STAPISEC16GYWHP,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP00045TR,CDMA,New,Now
STAPISEG16GYR4,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New,Now
STALA570BGWHP7,TF128PSIMT5RM,33178,NTAPPMP00045TR,NTAPPMP00045,GSM,New,Queued
STALA571VCR,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTAPPMP00045,CDMA,New,Now
STAPI6C16SVR,TF256PSIMV9N,33178,STAPP30035,NTAPPMP00045,CDMA,New,Now
STAPI6PC16SVR,TF256PSIMV9N,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New,Queued
STSAG930VC,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP00045,CDMA,New,Now
STZEZ963VCRCS,TF256PSIMV9N,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New,Queued
STLGL44VCWHP,TF256PSIMV9N,33178,NTAPPMP00060ILD,NTAPPMP00045,CDMA,New,Now
STLGL51AGP4,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New,Now
STLGL61AGP4,TF128PSIMC4N,33178,NTAPPMP00045TR,NTAPPMP00045,GSM,New,Queued
STLGL62VCWHP,TF256PSIMV9N,33178,NTAPPMP00045SA,NTAPPMP00045,CDMA,New,Now
STLGL81AGWHP,TF128PSIMC4N,33178,NTAPPMP00045TR,NTAPPMP00045SA,GSM,New,Now
STLGL82VCWHP,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP00045,CDMA,New,Now
STLG329GR5,TF64SIMT5,33178,NTAPPMP00060ILD,NTAPPMP00045,GSM,New,Now
STLGL43AGR,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New,Now
STZEZ716BGP5,TF128PSIMC4RM,33178,NTAPPMP00045TR,NTAPPMP00045,GSM,New,Queued
STLGL52VCWHP,TF256PSIMV9N,33178,NTAPPMP00045SA,NTAPPMP00045,CDMA,New,Now
STAPI6SPC16GDPWP,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP00045SA,CDMA,New,Now
STLCPOAI5SGP5,TF128PSIMT5N,33178,NTAPPMP00045TR,NTAPPMP00045,GSM,New,Now
STLGL33GP4P,TF128PSIMC4RM,33178,NTAPPMP00045SA,NTPMP00060ILD,GSM,New,Now
STSAS902CWHP,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New,Queued
STZEZ932CPWP,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTAPPMP00045SA,CDMA,New,Now
STZEZ289GWHP,TF64SIMT5,33178,STNMB00025,STNMB00015,GSM,New,Now
STZEZ250GRCS,TF64SIMT5,33178,STNMB00025,STNMB00015,GSM,New,Now
STMTXT937CP,,33178,NTNMP00045,NTPMP00060ILD,CDMA,New,Queued
STLG900GP4,TF128SIMC4,33178,NTNMP00045,STP01500,GSM,New,Queued
STIPH6SSOCDMA,TF256PSIMV9N,33178,NTPMP00060ILD,NTNMP00045,CDMA,New,Now
STZEZ837VCPWP,TF256PSIMV9N,33178,STAPP30035,NTAPPMP00060ILD,CDMA,New,Now
STLGL64VCPWP,TF256PSIMV9N,33178,NTAPPMP00045TR,STAPP20055,CDMA,New,Now
STZEZ836BGP4P,TF128PSIMC4N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New,Now
STZEZ836BGP5P,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New,Now
STZEZ836BGP7P,TF128PSIMCL7N,33178,NTAPPMP00060ILD,NTAPPMP00045SA,GSM,New,Now
STZEZ798BGP4P,TF128PSIMC4RM,33178,STAPP20055,NTAPPMP000451Y,GSM,New,Now
STZEZ798BGP5P,TF128PSIMT5RM,33178,NTAPPMP00045,NTAPPMP00060ILD,GSM,New,Now
STZEZ798BGP7P,TF128PSIMCL7RM,33178,NTAPPMP00045TR,STAPP20055,GSM,New,Now
STZEZ558VCP,TF256PSIMV9N,33178,NTAPPMP00045TR,STAPP20055,CDMA,New,Now
STAPIXC64SVP.2,TF256PSIMV9N,33178,NTAPPMP00045TR,STAPP20055,CDMA,New,Now
STAPIXG64GY,TF128PSIMC4N,33178,NTAPPMP00045TR,STAPP20055,GSM,New,Now
