Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Status,Queued?
STSAG955UCSVRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045TR,CDMA,New,Now
STSAG950UCSV2R,TF256PSIMV9N,33178,NTAPPMP00045SA,NTAPPMP000451Y,CDMA,New,Now
STZEZ986DCR,TF128PSIMT5N,33178,NTAPPMP00045,STAPP0010D,CDMA,New,Now
STLGL83BG2R5,TF128PSIMCL7N,33178,NTAPPMP00045SA,NTAPPMP000451Y,GSM,New,Now
STZEZ799VC2R,TF256PSIMV9RM,33178,NTAPPMP00045TR,NTAPPMP00060ILD,CDMA,New,Now
STLGL63BGWHP,TF128PSIMC4N,33178,NTAPPMP00045SA,NTAPPMP00045SA,GSM,New,Now
STLGL63BGRCS7,TF128PSIMCL7N,692,NTAPPMP00045TR,NTAPPMP00060ILD,CDMA,New,Now
STLGL59BGWHP4,TF128PSIMC4N,33178,NTAPPMP00060ILD,STAPP0010D,GSM,New,Now
STLGL59BG2R7,TF128PSIMCL7N,692,NTAPPMP00045SA,NTAPPMP00060ILD,CDMA,New,Queued
STLGL48VC2R,TF256PSIMV9N,33178,STAPP30035,STAPPMB00040,CDMA,New,Now
STLGL57BGP4P,TF128PSIMC4N,33178,NTAPPMP00045SA,STAPPMB00050,GSM,New,Now
STLGL58VC2R,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP00060ILD,CDMA,New,Now
STZEZ233VCGYRCS,TF256PSIMV9RM,33178,STAPP30035,STAPP20055,CDMA,New,Queued
STZEZ232TGGYWHP,TF128PSIMT5RM,33178,NTAPPMP00045SA,STAPP30035,GSM,New,Queued
STLG108CRCS,,33178,STAPP01500,NTAPPMP00045,GSM,New,Now
STLG238CP,,33178,STAPPMB00075,STAPPMB00050,CDMA,New,Now
STSAS320VC,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP00060ILD,CDMA,New,Now
STSAS550TGWHP,TF128PSIMT5N,33178,NTAPPMP00045SA,STAPP20055,GSM,New,Queued
STZEZ916BGP4P,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00060ILD,GSM,New,Now
STLGL53BGP4P,TF128PSIMC4N,33178,STAPP20055,NTAPPMP00045SA,GSM,New,Queued
STLGL56VCP,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00060ILD,CDMA,New,Now
STLG442BGP4,TF128SIMC4,33178,NTAPPMP000451Y,NTAPPMP00045SA,GSM,New,Queued
STLG328BGP4,TF128SIMC4,33178,STAPP30035,NTAPPMP00060ILD,GSM,New,Now
STZEZ291DGP4,TF128PSIMC4RM,33178,STAPPMB00050,STAPPMB00040,GSM,New,Queued
STSAS935DGSVP4,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP00045SA,GSM,New,Now
STSAS935DCSVP,TF256PSIMV9N,33178,NTAPPMP00045SA,NTAPPMP00045,CDMA,New,Queued
STAPISEC16GYR,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00060ILD,CDMA,New,Now
STAPISEG16GYR4,TF128PSIMC4N,33178,NTAPPMP00060ILD,STAPP0005D,GSM,New,Now
STALA571VCPWP,TF256PSIMV9RM,33178,NTAPPMP00045SA,STAPP20055,CDMA,New,Queued
STAPI6C16SVPWP,TF256PSIMV9N,33178,NTAPPMP000451Y,STAPP30035,CDMA,New,Queued
STAPI6PC16SVPWP,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00060ILD,CDMA,New,Now
STZEZ962BGR4,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045SA,GSM,New,Queued
STALA621BGRCS7,TF128PSIMT5RM,33178,NTAPPMP00045,NTAPPMP00060ILD,GSM,New,Now
STLGL44VCRCS,TF256PSIMV9N,33178,STAPP30035,NTAPPMP00045SA,CDMA,New,Queued
STLGL61AGP4P,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP00045SA,GSM,New,Now
STLGL62VC,TF256PSIMV9N,33178,STAPP20055,STAPP20055,CDMA,New,Queued
STLGL82VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,STAPP20055,CDMA,New,Now
STLG329GR,TF128SIMT5,33178,STAPP01500,STAPP01500,GSM,New,Queued
STLGL52VCPWP,TF256PSIMV9N,33178,NTAPPMP00045SA,NTAPPMP00045,CDMA,New,Queued
STZEZ716BGP4,TF128PSIMC4RM,33178,NTAPPMP00045,NTAPPMP00060ILD,GSM,New,Now
STHTC122VCWHP,TF256PSIMV9N,33178,NTAPPMP00045,STAPP30035,GSM,New,Now
ST3GCPOAI5SGP5,TF128PSIMT5N,33178,NTNMP00045,STAPP20055,GSM,New,Queued
STALA521GRCS4,TF64PSIMC4RM,33178,STAPP20055,NTAPPMP00045SA,GSM,New,Queued
STSAS978CWT,TF256PSIMV9N,33178,NTNMP00045,STAPP20055,CDMA,New,Queued
STHUH871GRCS4,TF64PSIMT5RM,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Now
STALA995GWHP,TF128PSIMC4RM,33178,STAPP30035,STAPP0005D,GSM,New,Now
PHST64PSIMC4DD,TF64PSIMC4DD,33178,STNMB00040,STNMB00025,GSM,New,Now
STSAS890GP,TF64PSIMC4RM,33178,NTNMP00045M3,NTAPPMP00045,GSM,New,Now
STSAR375CP,,33178,NTPMP00060ILD,NTAPPMP00045,CDMA,New,Now
STHUH226CR,,33178,STNHP00015,STNHP00015,CDMA,New,Queued
STZEZ837VCPWP,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00060ILD,CDMA,New,Now
STLGL64VCPWP,TF256PSIMV9N,33178,NTAPPMP00045TR,STAPP20055,CDMA,New,Now
STZEZ836BGP4P,TF128PSIMC4N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New,Now
STZEZ836BGP5P,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New,Now
