Status,ESN1,SIM1,ZIP,PIN1,ESN2,SIM2,PIN2,Cell Tech2
New,STSAG955UCSV,TF256PSIMV9N,33178,STAPP20055,STSAG955UCSVP,TF256PSIMV9N,NTAPPMP00060ILD,CDMA
New,STSAG950UCSVRCS,TF256PSIMV9N,33178,NTAPPMP00060ILD,STSAG950UCSV,TF256PSIMV9N,STAPP20055,CDMA
New,STLGL84VC2R,TF256PSIMV9N,33178,STAPP30035,STLGL84VCRCS,TF256PSIMV9N,NTAPPMP00045,CDMA
New,STSAS327VCP,TF256PSIMV9N,33178,STAPP20055,STSAS327VCPWP,TF256PSIMV9N,NTAPPMP00045TR,CDMA
New,STZEZ799VCP,TF256PSIMV9RM,33178,NTAPPMP00045TR,STZEZ233VCGY,TF256PSIMV9RM,NTNMP00045,GSM
New,STLGL63BGP4P,TF128PSIMC4N,33178,NTAPPMP000451Y,STLGL59BGP4P,TF128PSIMC4N,NTAPPMP00045TR,GSM
New,STLGL59BGP4P,TF128PSIMC4N,33178,NTAPPMP00045TR,STLGL48VCRCS,TF256PSIMV9N,STAPP30035,GSM
New,STLGL48VCRCS,TF256PSIMV9N,33178,STAPP30035,STSAS890GP4P,TF64PSIMC4RM,NTAPPMP00060ILD,GSM
New,STLGL57BGP5P,TF128PSIMC4N,33178,NTAPPMP000451Y,STSAS765CWHP,,NTAPPMP00060ILD,CDMA
New,STSAS765CWHP,TF128PSIMC4N,33178,NTAPPMP00045,STSAS890GP4P,TF64PSIMC4RM,NTNMP00045,GSM
New,STZEZ558VCR,TF256PSIMV9N,33178,NTAPPMP00045,STZEZ558VC,TF256PSIMV9N,NTNMP00045,CDMA
New,STAPIXC64GYP.2,TF256PSIMV9N,33178,NTAPPMP00045,STAPIXC64SVPWP.2,TF256PSIMV9N,NTNMP00045,CDMA
New,STAPIXG64SVR4,TF128PSIMC4N,33178,NTAPPMP00045,STAPIXG64SVR,TF128PSIMC4N,NTNMP00045,GSM
