status,Part Number,Zip,SIM,Pin,cell tech,type,model,version
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,STAPP30035,GSM,Operating System,Android,Android 1.6 - 2.3.4
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTNMP00045,GSM,Operating System,Android,Google Nexus One S - Android 2.3
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,NTPMP00060ILD,GSM,Operating System,Android,Android 4.0
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Operating System,Android,Other
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,STAPP30035,GSM,Operating System,IOS,iPhone or iPad (iOS 6 or later)
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Operating System,IOS,iPhone or iPad (iOS 5 or previous)
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Operating System,IOS,Other
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,NTPMP00060ILD,GSM,Operating System,Blackberry,Blackberry
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,NTPMP00060ILD,GSM,Operating System,Blackberry,Other
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTNMP00045,GSM,Operating System,Windows,Dell Inspiron Mini 4G
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,NTPMP00060ILD,GSM,Operating System,Windows,Other
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,STAPP30035,GSM,Handset Manufacturer,Apple,iPhone or iPad (iOS 5 or previous)
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTNMP00045,GSM,Handset Manufacturer,Apple,iPhone or iPad (iOS 6 or later)
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,NTPMP00060ILD,GSM,Handset Manufacturer,Apple,Other
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Handset Manufacturer,Blackberry,Blackberry
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Handset Manufacturer,Blackberry,Other
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Handset Manufacturer,Dell,Other
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,NTPMP00060ILD,GSM,Handset Manufacturer,Google,Other
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,NTPMP00060ILD,GSM,Handset Manufacturer,HTC,Other
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,NTPMP00060ILD,GSM,Handset Manufacturer,Motorola,Motorola RAZR v3
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,NTPMP00060ILD,GSM,Handset Manufacturer,Motorola,Other
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Handset Manufacturer,Nokia,Nokia Devices
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Handset Manufacturer,Nokia,Other
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Handset Manufacturer,Samsung,Samsung Galaxy Tab 2 10.1
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Handset Manufacturer,Samsung,Samsung T-Series Phones
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Handset Manufacturer,Samsung,Samsung A-Series Phones
New,PHST64PSIMT5B,33178,ST64PSIMT5B,NTPMP00060ILD,GSM,Handset Manufacturer,Samsung,Other
New,PHST64PSIMC4MB,33179,ST64PSIMC4MB,STAPP30035,GSM,Handset Manufacturer,ZTE,Other
New,PHST64PSIMC4MB,33178,ST64PSIMC4MB,NTPMP00060ILD,GSM,Handset Manufacturer,Other,Other
