Status,Part,ZIP,SIM,PIN,DOB
New,STZEZ799VC2R,33178,TF256PSIMV9RM,NTAPPMP00045TR,1987
New,STLGL63BGP7,00692,TF128PSIMCL7N,NTAPPMP000451Y,2005
New,STLGL59BGWHP7,00692,TF128PSIMCL7N,STAPP30035,2008
New,STLGL48VCR,33178,TF256PSIMV9N,NTAPPMP00045TR,1987
New,STLGL57BGWHP5,33178,TF128PSIMC4N,NTAPPMP000451Y,2005
New,STLGL58VCWHP,33178,TF256PSIMV9N,NTAPPMP00045TR,2008
New,STZEZ233VCGYR,33178,TF256PSIMV9RM,NTAPPMP00045SA,2021
New,STALA521GWHP4,33178,TF64PSIMC4RM,NTAPPMP00045SA,1982
New,STHUH891GR4,33178,TF128PSIMC4RM,STAPP30035,1987
New,STLGL31GRCS,33178,TF64PSIMC4RM,NTNMP00045,2005
New,STREAX54NC,33178,,STNHA0001M,2008
