Status,Part,SIM,ZIP,PIN,Cell Tech,Old Plan,New Plan,Queued?,Credit Type
New,STZEZ799VCP,TF256PSIMV9RM,33178,NTAPPMP00045,CDMA,1 Year Unlimited Plan,$255 Unlimited Plan,Now,Visa
New,STLGL63BGP4P,TF128PSIMC4N,33178,NTPMP00060ILD,GSM,Unlimited Plan,$255 Unlimited Plan,Queued,Visa
New,STLGL59BGWHP4,TF128PSIMC4N,33178,NTAPPMP00045,GSM,Unlimited Plan,Unlimited International Plan,Now,Visa
New,STLGL48VCRCS,TF256PSIMV9N,33178,STAPP30035,CDMA,1 Year Unlimited Plan,$255 Unlimited Plan,Now,Visa
New,STLGL57BGR,TF128PSIMC4N,33178,NTPMP00060ILD,GSM,Unlimited Plan,$255 Unlimited Plan,Queued,Visa
New,STLGL58VC2R,TF256PSIMV9N,33178,NTAPPMP00045,CDMA,Unlimited Plan,Unlimited International Plan,Now,Visa
New,STZEZ233VCGYRCS,TF256PSIMV9RM,33178,NTAPPMP00045,CDMA,1 Year Unlimited Plan,Unlimited International Plan,Now,Visa
New,STLG238CP,,33178,NTAPPMP00045,CDMA,1 Year Unlimited Plan,$255 Unlimited Plan,Now,Visa
New,STLGL56VC,TF256PSIMV9N,33178,NTPMP00060ILD,CDMA,Unlimited Plan,$255 Unlimited Plan,Queued,Visa
New,STSAS320VCPWP,TF256PSIMV9N,33178,NTAPPMP00045,CDMA,Unlimited Plan,Unlimited International Plan,Now,Visa
New,STLGL53BGR5,TF128PSIMT5N,33178,NTAPPMP00045,GSM,1 Year Unlimited Plan,Unlimited International Plan,Now,Visa
New,STLG328BGP5P,TF128SIMT5,33178,NTAPPMP00045,GSM,6 Months Unlimited Plan,$495 Unlimited Plan,Now,Visa
New,STAPISEC16GY,TF256PSIMV9N,33178,STAPP30035,CDMA,$45 Unlimited Plan,$130 Unlimited Plan,Now,Visa
New,STAPI6C16GYPWP,TF256PSIMV9N,33178,NTAPPMP00045,CDMA,Unlimited International Plan,$130 Unlimited Plan,Now,Visa
New,STLGL82VCR,TF256PSIMV9N,33178,NTAPPMP00045,CDMA,$45 Unlimited Plan,$45 Unlimited Plan,Now,Visa
New,STLG329GRCS5,TF128SIMC4,33178,STAPP30035,GSM,$45 Unlimited Plan,$45 Unlimited Plan,Now,Visa
New,STZEZ837VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,CDMA,$495 Unlimited Plan,$60 Unlimited Plan,Now,Discover
New,STLGL64VCRCS,TF256PSIMV9N,33178,NTAPPMP00045TR,CDMA,$60 Unlimited Plan,$130 Unlimited Plan,Queued,Discover
New,STZEZ836BG2R4,TF128PSIMC4N,33178,NTAPPMP00045SA,GSM,$45 Unlimited Plan,$45 Unlimited Plan,Now,Discover
New,STZEZ836BG2R5,TF128PSIMT5N,33178,NTAPPMP000451Y,GSM,$255 Unlimited Plan,Unlimited International Plan,Queued,Discover
New,STZEZ798BGRCS4,TF128PSIMC4RM,33178,STAPP20055,GSM,$45 Unlimited Plan,$495 Unlimited Plan,Queued,Discover
New,STZEZ798BGRCS5,TF128PSIMT5RM,33178,NTAPPMP00060ILD,GSM,$45 Unlimited Plan,$60 Unlimited Plan,Now,Discover
New,STZEZ798BGRCS7,TF128PSIMCL7RM,33178,STAPP30035,GSM,$60 Unlimited Plan,All You Need Plan,Queued,Discover
New,STZEZ558VCRCS,TF256PSIMV9N,33178,STAPP20055,CDMA,$45 Unlimited Plan,$495 Unlimited Plan,Queued,Discover
New,STAPIXC64SVPWP.2,TF256PSIMV9N,33178,STAPP20055,CDMA,$45 Unlimited Plan,$60 Unlimited Plan,Now,Discover
New,STAPIXG64GYP,TF128PSIMC4N,33178,STAPP20055,GSM,$60 Unlimited Plan,All You Need Plan,Queued,Discover
