Part Number,SIM,Zip code,Cell Tech,Plan,login,Card Type,Status
STLGL48VC,TF256PSIMV9N,33178,CDMA,Unlimited Plan,No,Visa,New
STZEZ233VCGY,TF256PSIMV9RM,33178,CDMA,Unlimited Plan,No,Discover,New
STAPISEC16GYPWP,TF256PSIMV9N,33178,CDMA,Unlimited Plan,Yes,Discover,New
STAPI6C16GYWHP,TF256PSIMV9N,33178,CDMA,Unlimited Plan,Yes,Visa,New
STAPI6PC16GYWHP,TF256PSIMV9N,33178,CDMA,Unlimited Plan,No,Discover,New
STLGL62VCRCS,TF256PSIMV9N,33178,CDMA,Unlimited International Plan,No,Discover,New
STLG329GP5P,TF64SIMT5,33178,GSM,Unlimited International Plan,No,American Express,New
STLGL43AGP4,TF128PSIMC4N,33178,GSM,Unlimited Plan,Yes,Visa,New
STLGL52VCRCS,TF256PSIMV9N,33178,CDMA,Unlimited International Plan,No,Discover,New
STAPI6SPC16GDX,TF256PSIMV9N,33178,CDMA,Unlimited International Plan,No,Visa,New
PHST128PSIMC4ND,TF128PSIMC4ND,33178,GSM,Unlimited Plan,Yes,Visa,New
STSAS978CWTP,TF256PSIMV9N,33178,CDMA,Unlimited Plan,No,Visa,New
STZEZ932CPWP,TF256PSIMV9RM,33178,CDMA,Unlimited Plan,Yes,Visa,New
STREAX54NC,,33178,CDMA,Remote Alert Monthly Plan,Yes,Visa,New
STSAS890GP4,TF64PSIMC4RM,33178,GSM,Unlimited Plan,No,Visa,New
STIPH6SPSOCDMA,TF256PSIMV9N,33178,CDMA,Unlimited Plan,No,Visa,New
STZEZ558VCP,TF256PSIMV9N,33178,CDMA,Unlimited International Plan,No,Visa,New
STAPIXC64SVP.2,TF256PSIMV9N,33178,CDMA,Unlimited Plan,Yes,Visa,New
STAPIXG64GY,TF128PSIMC4N,33178,GSM,Unlimited Plan,No,Visa,New
