Status,ESN Part,ZIP,SIM,Pin,Cell Tech
New,STZEZ799VC2R,33178,TF256PSIMV9RM,NTAPPMP00045SA,CDMA
New,STLGL63BGWHP5,33178,TF128PSIMT5N,NTPMP00060ILD,GSM
New,STLGL59BGWHP5,33178,TF128PSIMT5N,NTPMP00060ILD,GSM
New,STLGL48VCP,33178,TF256PSIMV9N,STAPP30035,CDMA
New,STLGL57BGR5,33178,TF128PSIMC4N,NTPMP00060ILD,GSM
New,STLGL58VC,33178,TF256PSIMV9N,NTPMP00060ILD,CDMA
New,STZEZ233VCGYP,33178,TF256PSIMV9RM,NTNMP00045,CDMA
New,STAPISEC16GY,33178,TF256PSIMV9N,NTAPPMP00045SA,CDMA
New,STLG441GP5P,33178,TF128SIMT5,NTPMP00060ILD,GSM
New,STALA206GWHP,33178,TF128SIMC4RM,NTPMP00060ILD,GSM
New,STHUH350P,33178,TF64SIMC4,STNHPAPPUNL60,GSM
New,STREAX54NC,33178,,STNHA0001M,CDMA
New,STSAS765CP,33178,,NTNMP00045,CDMA
New,STSAS975GWHP,33178,TF64PSIMC4RM,NTNMP00045,GSM
New,STZEZ558VCR,33178,TF256PSIMV9N,STAPP20055,CDMA
New,STAPIXC64GYP.2,33178,TF256PSIMV9N,STAPP20055,CDMA
New,STAPIXG64SVR4,33178,TF128PSIMC4N,STAPP20055,GSM
