Status,Part No,Zip,Sim,Pin,Cell Tech
New,STZEZ799VCRCS,33178,TF256PSIMV9RM,NTNMP00045,CDMA
New,STLGL63BGR4,33178,TF128PSIMC4N,NTPMP00060ILD,GSM
New,STLGL59BGR4,33178,TF128PSIMC4N,STAPP30035,GSM
New,STLGL48VCPWP,33178,TF256PSIMV9N,NTNMP00045,CDMA
New,STLGL57BGR7,33178,TF128PSIMC4N,NTPMP00060ILD,GSM
New,STLGL58VCP,33178,TF256PSIMV9N,NTPMP00060ILD,CDMA
New,STZEZ233VCGYPWP,33178,TF256PSIMV9RM,NTPMP00060ILD,CDMA
New,STLGL21GR4,33178,TF64PSIMC4RM,NTNMP00045,GSM
New,STLG441GP5P,33178,TF128SIMT5,NTPMP00060ILD,GSM
New,STSAS902CPWP,33178,TF256PSIMV9RM,NTPMP00060ILD,CDMA
New,STALA206GWHP,33178,TF128SIMC4RM,NTPMP00060ILD,GSM
New,STHUH350P,33178,TF64SIMC4,STNHPAPPUNL60,GSM
New,STREAX54NC,33178,,STNHA0001M,CDMA
