Part Number,SIM,Zip Code,PIN,Status,Cell Tech,SIM 2,Part 2,PIN 2,Tech 2
STZEZ799VCPWP,TF256PSIMV9RM,33178,NTAPPMP00045,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,NTAPPMP000451Y,CDMA
STLGL63BGWHP7,TF128PSIMCL7N,00692,NTAPPMP00060ILD,New,GSM,TF128PSIMC4RM,ST3GCPOAGS4GP4,NTAPPMP00045SA,GSM
STLGL59BGR7,TF128PSIMCL7N,00692,STAPP30035,New,GSM,TF256PSIMV9RM,STSAS820CWHP,NTAPPMP00045TR,CDMA
STLGL48VCWHP,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,STAPP30035,CDMA
STLGL57BG2R4,TF128PSIMC4N,33178,NTAPPMP00060ILD,New,GSM,TF128PSIMC4RM,ST3GCPOAGS4GP4,NTAPPMP00045SA,GSM
STLGL58VCPWP,TF256PSIMV9N,33178,NTNMP00045,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,NTAPPMP00045TR,CDMA
STZEZ233VCGYWHP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,TF128SIMT5,STLG441GP5,NTAPPMP00060ILD,GSM
STALA571VCRCS,TF256PSIMV9RM,33178,NTAPPMP00045,New,CDMA,TF128SIMT5,STLG441GP5,STAPP20055,GSM
STLGL44VCP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STLGL51AGRCS4,TF128PSIMC4N,33178,STAPP30035,New,GSM,TF128SIMT5,STLG441GP5,NTNMP00045,GSM
STLGL61AGRCS4,TF128PSIMC4N,33178,NTAPPMP00060ILD,New,GSM,TF256PSIMV9RM,STSAS820CWHP,NTNMP00045M3,CDMA
STLGL62VCPWP,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,TF128PSIMC4RM,ST3GCPOAGS4GP4,STAPP30035,GSM
STLGL82VCP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,TF128SIMT5,STLG441GP5,NTPMP00060ILD,GSM
STAPI6SC16GDR,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,,STLG235CP,NTSMP02999,CDMA
STALA462CR,,33178,NTNMP00045,New,CDMA,TF128SIMT5,STLG441GP5,NTAPPMP00045,GSM
STZEZ819CP,TF256PSIMV9RM,33178,STAPP00035,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,NTAPPMP000451Y,CDMA
STLCPOAGS4GP4,TF128PSIMC4RM,33178,STAPP00035,New,GSM,TF128PSIMC4RM,ST3GCPOAGS4GP4,NTAPPMP00045SA,GSM
STALA520CP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,NTAPPMP00045TR,CDMA
STALA521GRCS4,TF64PSIMC4RM,33178,NTAPPMP00045,New,GSM,TF128SIMT5,STLG441GP5,NTAPPMP00060ILD,GSM
STSAS920CRCS,TF256PSIMV9RM,33178,STAPP30035,New,CDMA,TF128PSIMT5RM,STZEZ753GWHP5,STAPP00010ILD,GSM
STLG441GP4,TF128SIMC4,33178,STAPP30035,New,GSM,TF128SIMT5,STLG441GP5,STNHPAPPUNL40,GSM
STALA206GR4,TF128SIMC4RM,33178,NTAPPMP00045,New,GSM,TF128SIMT5RM,STALA206GWHP,STAPP30035,GSM
STHUH350,TF128SIMC4,33178,STNHPAPPUNL30,New,GSM,TF128SIMC4,STHUH350P,NTAPPMP00045,GSM
