Part Number,SIM,Zip Code,PIN,Status,Cell Tech,Part 2,SIM 2,Tech 2,Plan,Reoccuring?,Card Type
STZEZ799VCP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,STZEZ955GP,TF128PSIMC4RM,GSM,Unlimited Plan,One-Time,Visa
STLGL63BGWHP4,TF128PSIMC4N,33178,STAPP30035,New,GSM,STALA521GR4,TF64PSIMC4RM,GSM,Unlimited Plan,One-Time,Visa
STLGL59BGWHP4,TF128PSIMC4N,33178,NTAPPMP00060ILD,New,GSM,STLG109CR,,CDMA,Unlimited Plan,Reoccuring,Visa
STLGL48VCR,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,STZEZ955GP,TF128PSIMC4RM,GSM,Unlimited Plan,One-Time,Visa
STLGL57BG2R5,TF128PSIMC4N,33178,STAPP30035,New,GSM,STALA521GR4,TF64PSIMC4RM,GSM,Unlimited Plan,One-Time,Visa
STLGL58VCWHP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,STLG109CR,,CDMA,Unlimited Plan,Reoccuring,Visa
STZEZ233VCGYR,TF256PSIMV9RM,33178,NTNMP00045,New,CDMA,STALA521GR4,TF64PSIMC4RM,GSM,Unlimited Plan,One-Time,Visa
STALA571VC,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,STZEZ955GP,TF128PSIMC4RM,GSM,Unlimited Plan,One-Time,Visa
STAPI6C16SV,TF256PSIMV9N,33178,NTNMP00045,New,CDMA,STALA521GR4,TF64PSIMC4RM,GSM,Unlimited Plan,One-Time,Visa
STAPI6PC16SV,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,STLG109CR,,CDMA,Unlimited Plan,Reoccuring,Visa
STSAG930VCP,TF256PSIMV9N,33178,STAPP30035,New,CDMA,STALA521GR4,TF64PSIMC4RM,GSM,Unlimited Plan,One-Time,Visa
STLGL44VCPWP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,STLG109CR,,CDMA,Unlimited Plan,Reoccuring,Visa
STLGL51AGR4,TF128PSIMC4N,33178,NTNMP00045,New,GSM,STAPI6SPG16GDR4,TF128PSIMC4N,GSM,Unlimited Plan,Reoccuring,Visa
STLGL62VCR,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,STALA521GR4,TF64PSIMC4RM,GSM,Unlimited Plan,One-Time,Visa
STLGL81AGWHP,TF128PSIMC4N,33178,NTAPPMP00060ILD,New,GSM,STSAS920C,TF256PSIMV9RM,CDMA,Unlimited International Plan,One-Time,Visa
STLGL82VCPWP,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,STSAS978CWTP,TF256PSIMV9N,CDMA,Unlimited Plan,One-Time,Visa
STAPI6SC16GDR,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,STLG235CP,,CDMA,6 Months Unlimited Plan,One-Time,Visa
STALA462CR,,33178,NTNMP00045,New,CDMA,STAPI6SPG16GDR4,TF128PSIMC4N,GSM,Unlimited Plan,One-Time,Visa
STZEZ819CP,TF256PSIMV9RM,33178,STAPP30035,New,CDMA,STZEZ955GP,TF128PSIMC4RM,GSM,Unlimited International Plan,One-Time,Visa
STLCPOAGS4GP4,TF128PSIMC4RM,33178,STAPP30035,New,GSM,STLCPOAI5SGP5,TF128PSIMT5N,GSM,3 Months Unlimited Plan,One-Time,Visa
STALA520CP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,STHUH258CWHP,,CDMA,6 Months Unlimited Plan,One-Time,Visa
STALA521GRCS4,TF64PSIMC4RM,33178,NTAPPMP00045,New,GSM,STALA521GR4,TF64PSIMC4RM,GSM,1 Year Unlimited Plan,One-Time,Visa
STSAS920CRCS,TF256PSIMV9RM,33178,STN01500,New,CDMA,STLG235CP,TF256PSIMV9RM,CDMA,All You Need Plan,Reoccuring,Visa
STLG441GP4,TF128SIMC4,33178,STAPP00035,New,GSM,STSAS978CWTP,TF256PSIMV9N,CDMA,Unlimited Plan,Reoccuring,Visa
STALA206GR4,TF128SIMC4RM,33178,NTNMP00045,New,GSM,STLGL16CP,,CDMA,Unlimited International Plan,Reoccuring,Visa
STHUH350,TF128SIMC4,33178,STNHPAPPUNL30,New,GSM,STZEZ753GP4,TF64PSIMC4RM,GSM,3 Months Unlimited Plan,Reoccuring,Visa
STZEZ797C,,33178,STAPP30035,New,CDMA,STLG237CR,,CDMA,6 Months Unlimited Plan,Reoccuring,Visa
STZEZ797C,,33178,STAPP30035,New,CDMA,STLG237CR,,CDMA,1 Year Unlimited Plan,Reoccuring,Visa
