Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Status,Queued?,Redeem
STZEZ799VCP,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTAPPMP00060ILD,CDMA,New,Queued,Yes
STLGL63BGWHP5,TF128PSIMT5N,33178,NTAPPMP00045,STAPP30035,GSM,New,Now,No
STLGL59BGWHP5,TF128PSIMT5N,33178,STAPP30035,NTAPPMP00060ILD,GSM,New,Queued,Yes
STLGL48VC2R,TF256PSIMV9N,33178,NTAPPMP00045SA,NTAPPMP00060ILD,CDMA,New,Queued,Yes
STLGL57BG2R7,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Now,No
STLGL58VCR,TF256PSIMV9N,33178,NTAPPMP00060ILD,NTAPPMP00060ILD,CDMA,New,Queued,Yes
STZEZ233VCGY2R,TF256PSIMV9RM,33178,STAPP30035,NTAPPMP00045SA,CDMA,New,Now,No
STALA571VCR,TF256PSIMV9RM,33178,NTAPPMP00060ILD,STAPP30035,CDMA,New,Now,Yes
STAPI6C16SVWHP,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00045SA,CDMA,New,Now,Yes
STAPI6PC16SVWHP,TF256PSIMV9N,33178,NTAPPMP00045SA,NTAPPMP00060ILD,CDMA,New,Queued,Yes
STZEZ717VCRCS,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New,Now,No
STZEZ962BGRCS,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00060ILD,GSM,New,Queued,Yes
STLGL82VC,TF256PSIMV9N,33178,NTAPPMP00045,STAPP20055,CDMA,New,Now,No
STLGL62VC,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00060ILD,CDMA,New,Queued,Yes
STLGL61AGR,TF128PSIMC4N,33178,NTAPPMP00060ILD,NTAPPMP00045SA,GSM,New,Queued,No
STHTC122VCWHP,TF256PSIMV9N,33178,NTAPPMP00045,STAPP30035,GSM,New,Now,Yes
ST3GCPOAI5SGP5,TF128PSIMT5N,33178,STAPP30035,NTAPPMP00045SA,GSM,New,Queued,No
STALA521GRCS4,TF128PSIMC4RM,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued,Yes
STSAS978CWT,TF256PSIMV9N,33178,NTAPPMP00045,STAPP20055,CDMA,New,Queued,No
STHUH871GRCS4,TF64PSIMT5RM,33178,STAPP20055,NTAPPMP00060ILD,GSM,New,Now,Yes
STALA995GWHP,TF64PSIMC4RM,33178,STNS00035,NTAPPMP00045SA,GSM,New,Now,No
PHST64PSIMC4DD,TF64PSIMC4DD,33178,STNMB00040,STNMB00025,GSM,New,Now,Yes
STSAS890GP,TF64PSIMC4RM,33178,STAPP30035,NTNMP00045,GSM,New,Now,No
STSAR375CP,,33178,NTPMP00060ILD,STAPP20055,CDMA,New,Now,Yes
STHUH226CR,,33178,STNHP00015,STNHP00015,CDMA,New,Queued,No
