Part Number,SIM,Zip Code,PIN,Status,Cell Tech,Earn Points Reason
STZEZ799VC2R,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA,Shake now
STLGL63BGWHP5,TF128PSIMT5N,33178,NTPMP00060ILD,New,GSM,Earn now
STLGL59BGP5,TF128PSIMT5N,33178,STAPP30035,New,GSM,Share to Earn
STZEZ936C,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA,Shake now
STLGL22CP,,33178,NTPMP00060ILD,New,CDMA,Earn now
STMTXT830CR,,33178,NTPMP00060ILD,New,CDMA,Share to Earn
PHST64PSIMT5DD,TF64PSIMT5DD,33178,NTNMP00045,New,GSM,Watch & Earn
STUXU240CWHP,,33178,STAPPMB00015,New,CDMA,Shake now
STSAS960CPWP,,33178,NTPMP00060ILD,New,CDMA,Submit story
STSAS950CP,,33178,STAPP00035,New,CDMA,Earn now
GPAPI4SC,,33178,STNS00035,New,CDMA,Share to Earn
STALA554CP,,33178,NTAPPMP00045SA,Past Due,CDMA,Watch & Earn
STNKE5GP4,TF64PSIMC4,33178,NTNMP00045,Past Due,GSM,Shake now
STMTXT937CP,,33178,NTNMP00045,Past Due,CDMA,Submit story
