Part Number,Zip Code,PIN,SIM,Status,Cell Tech
STZEZ799VCPWP,33178,NTAPPMP00045SA,TF256PSIMV9RM,New,CDMA
STLGL63BGP5,33178,NTAPPMP00045TR,TF128PSIMT5N,New,GSM
STLGL59BGP5P,33178,STAPP30035,TF128PSIMT5N,New,GSM
STLGL48VCRCS,33178,NTAPPMP00045SA,TF256PSIMV9N,New,CDMA
STLGL57BGRCS,33178,STAPP30035,TF128PSIMC4N,New,GSM
STLGL58VC2R,33178,NTPMP00060ILD,TF256PSIMV9N,New,CDMA
STZEZ233VCGYRCS,33178,NTPMP00060ILD,TF256PSIMV9RM,New,CDMA
STAPISEC16GYP,33178,NTAPPMP00045SA,TF128PSIMC4N,New,GSM
STALA571VCWHP,33178,NTAPPMP00045TR,TF256PSIMV9RM,New,CDMA
STALA570BGP5P,33178,NTPMP00060ILD,TF128PSIMT5RM,New,GSM
STAPI6C16SVP,33178,STAPP30035,TF256PSIMV9N,New,CDMA
STAPI6PC16GYP,33178,NTAPPMP00045SA,TF256PSIMV9N,New,CDMA
STZEZ962BGWHP4,33178,NTPMP00060ILD,TF128PSIMT5N,New,GSM
STLGL44VCRCS,33178,NTAPPMP00045SA,TF256PSIMV9N,New,CDMA
STLGL51AGR,33178,NTPMP00060ILD,TF128PSIMC4N,New,GSM
STLGL62VCWHP,33178,NTPMP00060ILD,TF256PSIMV9N,New,CDMA
STLGL81AGWHP,33178,STAPP30035,TF128PSIMC4N,New,GSM
STLGL82VCRCS,33178,NTPMP00060ILD,TF256PSIMV9N,New,CDMA
STSAS978CWT,33178,NTAPPMP00045SA,TF256PSIMV9N,New,CDMA
STLG441G,33178,STAPP00035,TF128SIMC4,New,GSM
STALA564C,33178,NTPMP00060ILD,,New,CDMA
STREAX54NCPWP,33178,STNHA0001Y,,New,CDMA
PHST64PSIMT5MB,33178,NTPMP00060ILD,ST64PSIMT5MB,New,GSM
STSAR355CP,33178,NTPMP02999,,New,CDMA
STLGL35GP4,33178,NTPMP00060ILD,TF64PSIMC4,New,GSM
STIPH6SPSOGSM,33178,NTAPPMP00045,TF128PSIMC4RM,New,GSM
STLG231CP,33178,NTNMP00045,,Past Due,CDMA
STRM9310CP,33178,NTPMP00060ILD,,Past Due,CDMA
STALA851GP45,33178,NTNMP00045,TF64PSIMC4RM,Past Due,GSM
