Part Number,SIM,Zip Code,PIN,Status,Cell Tech
STZEZ799VCR,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA
STLGL63BG2R4,TF128PSIMC4N,33178,NTPMP00060ILD,New,GSM
STLGL59BGWHP4,TF128PSIMC4N,33178,STAPP30035,New,GSM
STLGL48VCRCS,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA
STLGL57BGP5P,TF128PSIMC4N,33178,NTPMP00060ILD,New,GSM
STLGL58VCRCS,TF256PSIMV9N,33178,NTPMP00060ILD,New,CDMA
STZEZ233VCGY,TF256PSIMV9RM,33178,NTNMP00045,New,CDMA
STZEZ936C,TF256PSIMV9RM,33178,STAPP30035,New,CDMA
STLGL22CP,,33178,NTPMP00060ILD,New,CDMA
STMTXT830CR,,33178,NTPMP00060ILD,New,CDMA
PHST64PSIMT5DD,TF64PSIMT5DD,33178,NTNMP00045,New,GSM
STUXU240CWHP,,33178,STAPPMB00015,New,CDMA
STSAS960CPWP,,33178,NTPMP00060ILD,New,CDMA
STSAS950CP,,33178,STAPP30035,New,CDMA
GPAPI4SC,,33178,STNS00035,New,CDMA
STALA554CP,,33178,NTAPPMP00045SA,Past Due,CDMA
STNKE5GP4,TF64PSIMC4,33178,NTNMP00045,Past Due,GSM
STMTXT937CP,,33178,NTNMP00045,Past Due,CDMA
