To Part,To Sim,To Status,To Carrier,To Pin,From Part,From Zip,From Pin,From Sim,From Carrier,During PIN
STLGL48VCP,TF256PSIMV9N,New,Verizon,STAPP30035,STLG620GP4,33178,STAPP30035,TF64SIMC4,AT&T,
STLGL57BGRCS5,TF128PSIMT5N,New,T-Mobile,NTPMP00060ILD,STLGL95GP5,33178,NTNMP00045,TF64PSIMT5,T-Mobile,
STLGL58VC,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STLG620GP4,33178,NTNMP00045,TF64SIMC4,AT&T,
STZEZ233VCGYP,TF256PSIMV9RM,New,Verizon,STAPP30035,STLG900GP4,33178,NTAPPMP00045SA,TF64SIMC4,AT&T,
STALA571VCR,TF256PSIMV9RM,New,Verizon,NTAPPMP00045SA,STLG900GP4,33178,NTAPPMP00045SA,TF64SIMC4,AT&T,
STALA570BGWHP7,TF128PSIMT5RM,New,T-Mobile,NTPMP00060ILD,STLG900GP4,33178,STAPP30035,TF64SIMC4,AT&T,
STAPI6C16GYWHP,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STLGL95GP5,33178,NTNMP00045,TF64PSIMT5,T-Mobile,
STAPI6PC16GYWHP,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STZEZ753GR,33178,NTNMP00045,TF64PSIMT5RM,T-Mobile,
STSAG930VC,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STLGL95GP5,33178,NTNMP00045,TF64PSIMT5,T-Mobile,
STALA621BGP7,TF128PSIMC4RM,New,AT&T,NTPMP00060ILD,STLG620GP4,33178,NTNMP00045,TF64SIMC4,AT&T,
STLGL82VCPWP,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STLGL95GP5,33178,NTNMP00045,TF64PSIMT5,T-Mobile,
STLGL81AGWHP4,TF128PSIMC4N,New,AT&T,NTAPPMP00045SA,STLG620GP4,33178,NTNMP00045,TF64SIMC4,AT&T,
STLGL62VCR,TF256PSIMV9N,New,Verizon,STAPP30035,STLG900GP4,33178,NTAPPMP00045SA,TF64SIMC4,AT&T,
STLGL61AGP,TF128PSIMC4N,New,AT&T,NTPMP00060ILD,STLG900GP4,33178,NTNMP00045,TF64SIMC4,AT&T,
STLGL51AGP,TF128PSIMC4N,New,AT&T,NTPMP00060ILD,STLG620GP4,33178,NTPMP00060ILD,TF64SIMC4,AT&T,
STLGL44VCR,TF256PSIMV9N,New,Verizon,NTPMP00060ILD,STLG420GP4,33178,STAPP30035,TF64SIMC4,AT&T,
STSAS906CWHP,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STZEZ753GR,33178,NTNMP00045,TF64PSIMT5RM,T-Mobile,
STSAS820CR,TF256PSIMV9RM,New,Verizon,NTAPPMP00045SA,STLGL86CP,33178,NTNMP00045,TF64PSIMC4,Verizon,
STSAS820CR,TF256PSIMV9RM,New,Verizon,NTAPPMP00045SA,STLG420GP4,33178,NTNMP00045,TF64PSIMC4,AT&T,
STALA845GWHP,TF64PSIMC4,New,AT&T,STAPP30035,STLGL95GP5,33178,NTNMP00045,TF64PSIMT5,T-Mobile,
STSAS890GP4,TF64PSIMC4RM,New,AT&T,,STSAM828CP,33178,NTNMP00045,,,
STHUH882CWHP,TF128PSIMS8M,Past Due,,STNS00035,STHUH882C,33178,NTAPPMP00045SA,TF128PSIMS8M,,
STMTEX431GP4,TF64SIMC4,New,AT&T,,STLG900GP4,33178,NTNMP00045,TF64SIMC4,AT&T,
STUXU670CP,,Active,Verizon,NTPMP00060ILD,STLG620GP4,33178,NTPMP00060ILD,TF64SIMC4,AT&T,
STMTXT555CP,,New,Sprint,STAPP30035,STLG420GP4,33178,STAPP30035,TF64SIMC4,AT&T,
STIPH6SSOGSM,TF128PSIMC4N,New,AT&T,,STSAM828CP,33178,NTNMP00045,,Sprint,
