Part Number,SIM,Zip Code,PIN,Status,Cell Tech,PIN 2
STZEZ799VCP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,NTAPPMP00045
STLGL63BGP5P,TF128PSIMT5N,33178,STAPP30035,New,GSM,NTNMP00045
STLGL59BGP5P,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM,NTAPPMP00045SA
STLGL48VCRCS,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,STAPP30035
STLGL57BGP5P,TF128PSIMC4N,33178,NTNMP00045,New,GSM,NTNMP00045
STLGL58VCRCS,TF256PSIMV9N,33178,STAPP30035,New,CDMA,NTAPPMP00045SA
STZEZ233VCGY,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,NTPMP00060ILD
STAPI6SC16GDR,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,NTAPPMP00045
STALA462CR,,33178,NTNMP00045,New,CDMA,NTNMP00045
STZEZ819CP,TF256PSIMV9RM,33178,STAPP00035,New,CDMA,NTNMP00045M3
STLCPOAGS4GP4,TF128PSIMC4RM,33178,STAPP00035,New,GSM,NTAPPMP00045
STALA520CP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,NTAPPMP00045SA
STALA521GRCS4,TF64PSIMC4RM,33178,NTAPPMP00045,New,GSM,NTPMP00060ILD
STSAS920CRCS,TF256PSIMV9RM,33178,STAPP00035,New,CDMA,STAPP30035
STLG441GP4,TF128SIMC4,33178,STAPP00035,New,GSM,NTPMP00060ILD
STALA206GR4,TF128SIMC4RM,33178,STAPP30035,New,GSM,NTPMP00060ILD
STHUH350,TF128SIMC4,33178,STNHPAPPUNL30,New,GSM,STNHPAPPUNL40
