Part Number,SIM,Zip Code,PIN1,Status,Cell Tech,Refill Plan,Add Plan Count,Redeem Plan
STZEZ799VCPWP,TF256PSIMV9RM,33178,NTAPPMP000451Y,New,CDMA,NTAPPMP000451Y,7,60
STLGL63BGWHP4,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,NTAPPMP000451Y,6,55
STLGL59BGRCS4,TF128PSIMC4N,33178,NTAPPMP00045SA,New,GSM,NTAPPMP000451Y,1,10ILD
STLGL48VCWHP,TF256PSIMV9N,33178,STAPP30035,New,CDMA,NTAPPMP000451Y,7,60
STLGL57BG,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,NTAPPMP000451Y,6,55
STLGL58VCPWP,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA,NTAPPMP000451Y,1,10ILD
STZEZ233VCGYWHP,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA,NTAPPMP000451Y,5,45
STAPI6SG16SVWHP,TF128PSIMC4N,33178,NTAPPMP000451Y,New,GSM,NTAPPMP000451Y,7,60
STLG109CPWP,,33178,NTAPPMP00045,New,CDMA,NTAPPMP000451Y,6,55
ST3GCPOAI5SGP5,TF128PSIMT5N,33178,NTAPPMP00045SA,New,GSM,NTAPPMP000451Y,1,10ILD
STZEZ936CP,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA,NTAPPMP000451Y,5,45
STSAS920CWHP,TF256PSIMV9RM,33178,NTAPPMP000451Y,New,CDMA,NTAPPMP000451Y,3,10ILD
STZEZ752CR,,33178,STAPP30035,New,CDMA,NTAPPMP000451Y,2,10ILD
STSAS820CWHP,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA,NTAPPMP000451Y,1,10ILD
STZEZ932CR,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,NTAPPMP000451Y,1,10ILD
PHST128PSIMC4NB,TF128PSIMC4NB,33178,NTAPPMP00045,New,GSM,NTAPPMP000451Y,1,10ILD
STSAS890GP,TF128PSIMT5RM,33178,NTAPPMP00045,New,GSM,NTAPPMP000451Y,1,10ILD
