Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Status,Queued?,Redeem Plan
STLGL48VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTNMP00060ILD,CDMA,New,Queued,10ILD
STLGL57BGP5P,TF128PSIMC4N,33178,STAPP30035,NTAPPMP00045SA,GSM,New,Queued,10ILD
STLGL58VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTPMP00060ILD,CDMA,New,Queued,10ILD
STZEZ233VCGY,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New,Queued,10ILD
STALA570BGWHP5,TF128PSIMT5RM,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued,10ILD
STALA571VCP,TF256PSIMV9RM,33178,NTAPPMP00045TR,NTNMP00045M3,CDMA,New,Queued,10ILD
STAPI6C16SVWHP,TF256PSIMV9N,33178,STAPP30035,NTNMP00045M3,CDMA,New,Queued,10ILD
STAPI6PC16SVWHP,TF256PSIMV9N,33178,NTAPPMP00045SA,NTNMP00045M3,CDMA,New,Queued,10ILD
STAPI6SG16SVWHP,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued,10ILD
STLG109CPWP,,33178,NTNMP00045,NTNMP00045M3,CDMA,New,Queued,10ILD
ST3GCPOAI5SGP5,TF128PSIMT5N,33178,NTAPPMP00045SA,NTNMP00045,GSM,New,Queued,10ILD
STZEZ936CP,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New,Queued,10ILD
STSAS920CWHP,TF256PSIMV9RM,33178,NTNMP00060ILD,NTNMP00060ILD,CDMA,New,Now,10ILD
STZEZ752CR,,33178,NTNMP00045,NTAPPMP00045SA,CDMA,New,Queued,10ILD
STSAS820CWHP,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New,Queued,10ILD
STZEZ932CR,TF256PSIMV9RM,33178,NTPMP00060ILD,STNS00035,CDMA,New,Queued,10ILD
PHST128PSIMC4NB,TF128PSIMC4NB,33178,NTAPPMP00060ILD,NTNMP00045,GSM,New,Now,10ILD
STSAS890GP,TF128SIMC4,33178,NTNMP00045M3,NTNMP00045,GSM,New,Now,10ILD
