Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Status,Queued?
STZEZ799VCR,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP00045SA,,New,Queued
STLGL63BGR5,TF128PSIMT5N,33178,NTAPPMP00045,NTAPPMP00045SA,,New,Queued
STLGL59BG2R5,TF128PSIMT5N,33178,NTNMP00045,NTAPPMP00045SA,,New,Queued
STLGL48VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045SA,,New,Queued
STLGL57BGP5P,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00045SA,,New,Queued
STLGL58VCRCS,TF256PSIMV9N,33178,NTNMP00045,NTAPPMP00045SA,,New,Queued
STZEZ233VCGY,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP00045SA,,New,Queued
STALA571VC,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New,Queued
STAPI6C16GYP,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New,Queued
STAPI6PC16GYP,TF256PSIMV9N,33178,NTNMP00045,NTAPPMP00045SA,CDMA,New,Queued
STZEZ717VCPWP,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New,Queued
STZEZ962BGP4P,TF128PSIMT5N,33178,NTNMP00045,NTNMP00045M3,GSM,New,Queued
STLGL82VCPWP,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New,Queued
STLGL62VCPWP,TF256PSIMV9N,33178,NTAPPMP00045SA,NTNMP00045,CDMA,New,Queued
STLGL61AGR4,TF128PSIMC4N,33178,NTAPPMP00045SA,NTPMP00060ILD,GSM,New,Queued
STLGL51AGR4,TF128PSIMC4N,33178,NTNMP00060ILD,NTNMP00060ILD,GSM,New,Now
STLGL44VCPWP,TF256PSIMV9N,33178,NTNMP00045,NTAPPMP00045SA,CDMA,New,Queued
STLG235CP,,33178,NTAPPMP00045,STAPP00010ILD,CDMA,New,Now
STLG109CPWP,,33178,NTAPPMP00045,NTAPPMP00045,CDMA,New,Now
ST3GCPOAI5SGP5,TF128PSIMT5N,33178,NTAPPMP00045SA,NTAPPMP000451Y,GSM,New,Now
STZEZ936CP,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTAPPMP00045SA,CDMA,New,Now
STSAS920CWHP,TF256PSIMV9RM,33178,NTNMP00060ILD,NTAPPMP00045TR,CDMA,New,Now
STZEZ752CR,,33178,NTNMP00045,NTAPPMP00060ILD,CDMA,New,Now
STSAS820CWHP,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New,Now
STZEZ932CR,TF256PSIMV9RM,33178,NTPMP00060ILD,STNS00035,CDMA,New,Now
PHST128PSIMC4NB,TF128PSIMC4NB,33178,NTAPPMP00060ILD,NTNMP00045,GSM,New,Now
STSAS890GP,TF128SIMC4,33178,STAPP30035,NTNMP00045,GSM,New,Now
