Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Status,Queued?
STSAG955UCSV,TF256PSIMV9N,33178,NTAPPMP00045SA,STAPP20055,CDMA,New,Queued
STSAG950UCSVRCS,TF256PSIMV9N,33178,NTAPPMP00060ILD,NTAPPMP000451Y,CDMA,New,Queued
STSAS727VCP,TF256PSIMV9N,33178,NTAPPMP00045SA,NTAPPMP000451Y,CDMA,New,Queued
STZEZ986DCWHP,TF128PSIMCL7N,33178,NTAPPMP00060ILD,STAPP30035,CDMA,New,Queued
STLGL83BGRCS7,TF128PSIMT5N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued
STZEZ799VCPWP,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP00045,CDMA,New,Queued
STLGL63BG2R5,TF128PSIMT5N,33178,NTAPPMP00045,NTAPPMP000451Y,GSM,New,Queued
STLGL59BGR5,TF128PSIMT5N,33178,NTNMP00045,NTAPPMP000451Y,GSM,New,Queued
STLGL48VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045,CDMA,New,Queued
STLGL57BGP5P,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP000451Y,GSM,New,Queued
STLGL58VCRCS,TF256PSIMV9N,33178,NTNMP00045,STAPP30035,CDMA,New,Queued
STZEZ233VCGY,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP000451Y,CDMA,New,Queued
STLG108CRCS,,33178,STAPP01500,NTAPPMP00045,CDMA,New,Queued
STZEZ232TGGYWHP5,TF128PSIMT5RM,33178,NTAPPMP00045,NTAPPMP000451Y,GSM,New,Queued
STLG238CWHP,,33178,NTAPPMP00045,NTAPPMP000451Y,CDMA,New,Queued
STSAS320VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP000451Y,CDMA,New,Queued
STSAS550TGRCS5,TF128PSIMT5N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued
STZEZ916BGR,TF128PSIMC4N,33178,NTPMP00060ILD,NTAPPMP00045TR,GSM,New,Queued
STLGL53BGRCS4,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued
STLGL56VCP,TF256PSIMV9N,33178,NTPMP00060ILD,NTAPPMP00045TR,CDMA,New,Queued
STLG442BGRCS4,TF128SIMC4,33178,NTAPPMP00045,NTAPPMP000451Y,GSM,New,Queued
STLG328BGWHP4,TF128SIMC4,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued
STZEZ291DGR,TF128PSIMC4RM,33178,STAPPMB00025,STAPPMB00015,GSM,New,Queued
STSAS935DGSVWHP4,TF128PSIMC4N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New,Queued
STSAS935DCSVRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New,Queued
STAPISEG16GYR4,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP000451Y,GSM,New,Queued
STAPISEC16GYR,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP000451Y,CDMA,New,Queued
STALA571VCWHP,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New,Queued
STZEZ962BGR,TF128PSIMT5N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued
STZEZ963VCR,TF256PSIMV9N,33178,NTPMP00060ILD,NTAPPMP00045TR,CDMA,New,Queued
STALA621BGR,TF128PSIMC4RM,33178,NTAPPMP00045,NTAPPMP000451Y,GSM,New,Queued
STLGL82VC,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New,Queued
STLGL62VCP,TF256PSIMV9N,33178,NTAPPMP00045,STAPP30035,CDMA,New,Queued
STLGL61AGWHP,TF128PSIMC4N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New,Queued
STLGL51AGWHP,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued
STLGL44VCP,TF256PSIMV9N,33178,NTNMP00045Y1,NTNMP00060ILD,CDMA,New,Queued
STLG329GWHP5,TF64SIMT5,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued
STLGL43AGRCS4,TF128PSIMC4N,33178,NTPMP00060ILD,NTAPPMP00045TR,GSM,New,Queued
STLGL52VCPWP,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP000451Y,CDMA,New,Queued
STZEZ716BGRCS5,TF128PSIMC4RM,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New,Queued
STAPI6SPG16GDWHP4,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued
STALA394CR,,33178,NTNMP00045M6,NTNMP00060ILD,CDMA,New,Queued
STMTXT838CWHP,TF256PSIMV9RM,33178,NTAPPMP00045,NTPMP00060ILD,CDMA,New,Queued
STZEZ793CWHP,,33178,NTNMP00045Y1,NTNMP00060ILD,CDMA,New,Queued
STSAS902CP,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New,Queued
ST256PBYOPD,TF256PSIMV9DD,33178,STAPP00035,NTPMP00060ILD,CDMA,New,Queued
STZEZ667GR5,TF64PSIMC4RM,33178,NTPMP00060ILD,NTNMP00045,GSM,New,Queued
PHST128PSIMC4NBT,TF128PSIMC4ND,33178,STNMB00025,STNMB00040,GSM,New,Queued
STSAS890GR,TF64PSIMC4RM,33178,STNS00035,NTNMP00045,GSM,New,Queued
STHUH226CWHP,,33178,STNHP00030ILD,STNHP00015,CDMA,New,Queued
STIPH6SSOCDMA,TF64PSIMC4RM,33178,NTNMP00045,NTNMP00045,CDMA,New,Queued
STZEZ837VC2R,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New,Queued
STLGL64VC2R,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP000451Y,CDMA,New,Queued
STZEZ836BG2R4,TF128PSIMC4N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New,Queued
STZEZ836BG2R5,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New,Queued
STZEZ836BG2R7,TF128PSIMCL7N,33178,NTAPPMP00060ILD,NTAPPMP00045SA,GSM,New,Queued
STZEZ798BG2R4,TF128PSIMC4RM,33178,STAPP20055,NTAPPMP000451Y,GSM,New,Queued
STZEZ798BG2R5,TF128PSIMT5RM,33178,NTAPPMP00060ILD,NTAPPMP00060ILD,GSM,New,Queued
STZEZ798BG2R7,TF128PSIMCL7RM,33178,STAPP20055,STAPP30035,GSM,New,Queued
STALA574BGP5,TF128PSIMT5N,33178,NTNMP00045,NTNMP00045,GSM,New,Queued
STALA574BGP7,TF128PSIMCL7N,692,NTAPPMP00045,NTAPPMP00045SA,GSM,New,Queued
STALA576BG,TF128PSIMC4N,33178,NTAPPMP00045TR,NTAPPMP000451Y,GSM,New,Queued
STALA576BGP5,TF128PSIMT5N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New,Queued
STALA576BGP7,TF128PSIMCL7N,692,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New,Queued
STSAS337TGR,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00045SA,GSM,New,Queued
STSAS737TGR,TF128PSIMT5N,33178,STAPP20055,NTAPPMP000451Y,GSM,New,Queued
STZEZ723EGR,TF128PSIMT5N,33178,STNHPAPPUNL45,STNHPAPPUNLILD60,GSM,New,Queued
STZEZ723ECRCS,TF256PSIMV9N,33178,STNHPAPPUNLILD60,STNHPAPPUNL45,CDMA,New,Queued
STALA577VC2R,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP000451Y,CDMA,New,Queued
STLGL158VC2R,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP00060ILD,CDMA,New,Queued
STLGL164VC2R,TF256PSIMV9N,33178,NTAPPMP00045SA,STAPP20055,CDMA,New,Queued
STLGL163BG2R4,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP000451Y,GSM,New,Queued
STLGL163BG2R5,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00060ILD,GSM,New,Queued
STLGL163BG2R7,TF128PSIMCL7N,692,STAPP20055,STAPP20055,GSM,New,Queued
STLGL157BG2R4,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP00045,GSM,New,Queued
STLGL157BG2R5,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00045TR,GSM,New,Queued
