Status,Part,SIM,ZIP,PIN,DOB,Reset
New,STZEZ799VCWHP,TF256PSIMV9RM,33178,NTAPPMP00045SA,1973,Email
New,STLGL63BGRCS4,TF128PSIMC4N,33178,NTAPPMP00045SA,1976,Email
New,STLGL59BGP4P,TF128PSIMC4N,33178,STAPP30035,1976,Password
New,STLGL48VCRCS,TF256PSIMV9N,33178,NTAPPMP00045SA,1973,Email
New,STLGL57BGP5P,TF128PSIMC4N,33178,NTAPPMP00045SA,1976,Email
New,STLGL58VCRCS,TF256PSIMV9N,33178,NTNMP00045,1976,Password
New,STZEZ233VCGY,TF256PSIMV9RM,33178,NTPMP00060ILD,1973,Password
New,STZEZ791GP4P,TF128PSIMC4RM,33178,NTAPPMP00045SA,1976,Email
New,STSAS920CP,TF256PSIMV9RM,33178,NTAPPMP00045SA,1973,Email
New,STSAS978CWT,TF256PSIMV9N,33178,NTAPPMP00045SA,1976,Email
New,STSAS902CWHP,TF256PSIMV9RM,33178,NTNMP00045,1976,Password
New,STALA206GP4P,TF128SIMC4RM,33178,NTPMP00060ILD,1973,Password
New,STHUH350P,TF64SIMC4,33178,STAPP30035,1973,Password
New,STLGL31GR4,TF64PSIMC4RM,33178,NTNMP00045,1973,Email
New,STLG305CPWP,,33178,NTNMP00045,1976,Email
New,STSAS975G,TF64PSIMC4RM,33178,NTNMP00045,1976,Email
New,STSAS890GP4,TF64PSIMC4RM,33178,STAPP30035,1976,Email
