To Part,To Sim,To Status,To Carrier,To Pin,From Part,From Zip,From Pin,From Sim,From Carrier,During PIN
STSAG955UCSVP,TF256PSIMV9N,New,Verizon,STAPP20055,STSAG955UCSVPWP,33178,STAPP30035,TF256PSIMV9N,Verizon,
STSAG950UCSV,TF256PSIMV9N,New,Verizon,STAPP30035,STSAG950UCSVP,33178,NTAPPMP000451Y,TF256PSIMV9N,Verizon,
STLGL84VCR,TF256PSIMV9N,New,Verizon,NTAPPMP000451Y,STLGL84VC2R,33178,NTAPPMP00060ILD,TF256PSIMV9N,Verizon,
STSAS327VC,TF256PSIMV9N,New,Verizon,STAPP20055,STSAS327VCP,33178,NTAPPMP00045,TF256PSIMV9N,Verizon,
STZEZ799VCWHP,TF256PSIMV9RM,New,Verizon,NTAPPMP00045,STLG238CR,33178,STAPP01500,,Verizon,
STLGL63BG2R5,TF128PSIMT5N,New,T-Mobile,NTAPPMP00060ILD,STSAS550TGRCS5,33178,NTAPPMP00045,TF128PSIMT5N,T-Mobile,
STLGL59BG2R5,TF128PSIMT5N,New,Verizon,NTAPPMP00045,STLGL21GP,33178,NTAPPMP00045SA,TF64PSIMC4RM,AT&T,
STLG108C,,New,Verizon,NTAPPMP00045,STLG238CR,33178,STAPP01500,,Verizon,
STZEZ232TGGYR5,TF128PSIMT5RM,New,T-Mobile,NTAPPMP00060ILD,STSAS550TGRCS5,33178,NTAPPMP00045,TF128PSIMT5N,T-Mobile,
STLG238CR,,New,Verizon,NTAPPMP00045,STLGL21GP,33178,NTAPPMP00045SA,TF64PSIMC4RM,AT&T,
STSAS320VCP,TF256PSIMV9N,New,Verizon,NTAPPMP00060ILD,STLGL21GP,33178,NTAPPMP00045SA,TF64PSIMC4RM,AT&T,
STSAS550TGRCS5,TF128PSIMT5N,New,T-Mobile,STAPP30035,STLGL21GP,33178,STAPP30035,TF64PSIMC4RM,AT&T,
STZEZ916BGWHP5,TF128PSIMT5N,New,T-Mobile,NTAPPMP00045SA,STALA383GP5,33178,NTPMP00060ILD,TF64SIMT5,Verizon,
STLGL53BGWHP5,TF128PSIMT5N,New,T-Mobile,NTAPPMP000451Y,STLGL16CP,33178,NTAPPMP00045SA,,Verizon,
STLGL56VCR,TF256PSIMV9N,New,Verizon,NTAPPMP00045,STLGL16CP,33178,NTAPPMP00045,,Verizon,
