ZIP,PIN,ESN Type,Is LTE?,Is iPhone 5?,Carrier,isHD?,isTrio?
33178,NTAPPMP00045,Hex,Yes,Yes,Verizon,Yes,Yes
33178,NTAPPMP00045,Decimal,Yes,Yes,Verizon,Yes,No
33178,NTAPPMP00045,Hex,Yes,Yes,Verizon,No,Yes
33178,NTAPPMP00045,Decimal,Yes,Yes,Verizon,No,No
33178,NTAPPMP00045,Hex,Yes,No,Verizon,Yes,Yes
33178,NTAPPMP00045,Decimal,Yes,No,Verizon,Yes,No
33178,NTAPPMP00045,Hex,Yes,No,Verizon,No,Yes
33178,NTAPPMP00045,Decimal,Yes,No,Verizon,No,No
33178,STAPP30035,Hex,No,No,Verizon,NA,NA
33178,NTNMP00045,Decimal,Yes,Yes,Sprint,NA,NA
33178,NTNMP00045,Hex,Yes,No,Sprint,NA,NA
33178,NTPMP00060ILD,Decimal,No,No,Sprint,NA,NA
