Part,SIM,PIN,Status,Old Part
STSAG955UCSVRCS,TF256PSIMV9N,NTAPPMP000451Y,New,TWSAG955UCSV3P
STSAG950UCSVR,TF256PSIMV9N,STAPP30035,New,STSAG950UCSVRCS
STLGL84VCRCS,TF256PSIMV9N,NTAPPMP000451Y,New,NTSAS727VCCAPLL
STSAS327VCPWP,TF256PSIMV9N,NTAPPMP00060ILD,New,NTSAS327VCCAPLL
STSAS727VCPWP,TF256PSIMV9N,STAPP20055,New,NTSAS727VCCALLER
STZEZ799VCRCS,TF256PSIMV9RM,NTAPPMP00045,New,NTALA521GP4DU
STLGL63BGP4P,TF128PSIMC4N,NTAPPMP00045SA,New,NTALA570BGRCS
STLGL59BGWHP5,TF128PSIMT5N,NTAPPMP00045,New,NTALA571VCRCS
STLGL48VCRCS,TF256PSIMV9N,NTAPPMP00045,New,NTALA521GP4DU
STLGL57BGP5P,TF128PSIMC4N,NTAPPMP00045SA,New,NTALA570BGRCS
STLGL58VCRCS,TF256PSIMV9N,NTAPPMP00045,New,NTALA571VCRCS
STZEZ233VCGY,TF256PSIMV9RM,NTAPPMP00045SA,New,NTAPI5CG16BL
STZEZ232TGGYRCS5,TF128PSIMT5RM,STAPP20055,New,NTAPI5CG16BL
STLG108CP,,NTAPPMP00045,New,NTHUH871GP4SP
STAPISEC16GYR,TF256PSIMV9N,NTAPPMP00045SA,New,NTALA521GP4DU
STAPISEG16GYR,TF128PSIMC4N,STAPP20055,New,NTALA570BGRCS
STALA571VCR,TF256PSIMV9RM,STAPP30035,New,NTALA571VCRCS
STAPI6C16SV,TF256PSIMV9N,STAPP20055,New,NTAPI5CG16BL
STAPI6PC16SV,TF256PSIMV9N,NTAPPMP00045SA,New,NTHUH867GP
STZEZ717VC,TF256PSIMV9RM,NTAPPMP00045,New,NTHUH871GP4SP
STZEZ962BGP7,TF128PSIMT5N,NTPMP00060ILD,New,NTLG236CP
STLGL44VCRCS,TF256PSIMV9N,NTPMP00060ILD,New,NTLG237CR
STLGL51AGP4,TF128PSIMC4N,STAPP20055,New,TWLGL56VCPWP
STLGL61AGP4,TF128PSIMC4N,NTPMP00060ILD,New,TWSAS320VC
STLGL62VCRCS,TF256PSIMV9N,NTAPPMP00045SA,New,TWSAS907VCP
STLGL82VCR,TF256PSIMV9N,NTAPPMP00045SA,New,TCZEZ930G3P5
STALA394CPWP,,NTPMP00060ILD,New,TCLGL38CPSPV2
