Part Number,SIM,Zip Code,PIN,Status,Cell Tech,SIM 2,Part 2,PIN 2,Tech 2
STZEZ799VCR,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STLGL63BGWHP5,TF128PSIMT5N,33178,NTAPPMP00045SA,New,GSM,TF256PSIMV9RM,STSAS902CP,NTAPPMP00060ILD,CDMA
STLGL59BGWHP4,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,TF256PSIMV9RM,STSAS820CWHP,NTAPPMP00045SA,CDMA
STLGL17AGR4,TF128PSIMC4RM,33178,NTAPPMP00045,New,GSM,TF64PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STAPI6SG16GYR4,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,TF128SIMT5,STLG441GP5,NTAPPMP00045SA,GSM
STAPI6SG16GYP4P,TF128PSIMC4N,33178,NTAPPMP00045TR,New,GSM,TF64PSIMT5RM,STZEZ753GWHP5,NTAPPMP00045,GSM
STAPI6SC16GDR,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,TF256PSIMV9RM,STALA520CP,NTAPPMP00045,CDMA
STAPI6SPC16SVRB,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA,TF128SIMT5,STLG441GP5,NTAPPMP00060ILD,GSM
STALA462CR,,33178,NTNMP00045,New,CDMA,TF128SIMT5,STLG441GP5,NTNMP00045,GSM
STALA394CWHP,,33178,STN01500,New,CDMA,TF64PSIMT5RM,STZEZ753GWHP5,STN01500,GSM
STHTC122VCPWP,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA,TF256PSIMV9N,STHTC122VCWHP,TF256PSIMV9N,CDMA
STZEZ818GP,TF64PSIMC4RM,33178,STAPP00035,New,GSM,TF256PSIMV9RM,STSAS902CP,NTNMP00045M6,CDMA
STZEZ819CP,TF256PSIMV9RM,33178,STAPP01500,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,NTNMP00045M3,CDMA
STLCPOAMOTXGP5,TF128PSIMT5N,33178,NTAPPMP00045,New,GSM,TF128PSIMT5N,ST3GCPOAI5SGP5,NTAPPMP00045SA,GSM
STLCPOAGS4GP5,TF128PSIMT5RM,33178,NTAPPMP00045,New,GSM,TF128PSIMT5RM,ST3GCPOAGS4GP5,NTAPPMP00045SA,GSM
ST3GCPOAMOTXGP4,TF128PSIMC4N,33178,NTAPPMP00045TR,New,GSM,TF256PSIMV9N,STCPOAI5SCP,NTAPPMP00045SA,GSM
STLCPOAGS4GP4,TF128PSIMC4RM,33178,STAPP00035,New,GSM,TF128PSIMC4RM,ST3GCPOAGS4GP4,NTAPPMP00045,GSM
ST3GCPOADROICP,,33178,STAPP01500,New,CDMA,,ST3GCPOAI4CP,NTAPPMP00045,CDMA
PHST64PSIMC4DD,TF64PSIMC4DD,33178,STNMB00050,New,GSM,TF256PSIMV9RM,STALA520CP,NTAPPMP00060ILD,CDMA
STHUH258CP,,33178,STNHPAPPUNL45,New,CDMA,,STHUH258CPWP,STNHPAPPUNLILD60,CDMA
STALA520CP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,NTAPPMP00045SA,CDMA
STHUH258CWHP,,33178,STNHPAPPUNL45,New,CDMA,,STHUH258C,STNHPAPPUNLILD60,CDMA
STLGL33GR4,TF128PSIMC4RM,33178,NTAPPMP00045SA,New,GSM,TF128SIMT5,STLG441GP5,NTPMP00060ILD,GSM
STZEZ936CPWP,TF256PSIMV9RM,33178,NTAPPMP00045,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,NTAPPMP00045SA,CDMA
STALA521GRCS4,TF64PSIMC4RM,33178,NTAPPMP00045,New,GSM,TF128SIMT5,STLG441GP5,NTPMP00060ILD,GSM
STALA460GR5,TF64PSIMT5RM,33178,NTNMP00045M6,New,GSM,TF256PSIMV9RM,STSAS902CP,NTNMP00045M6,CDMA
STZEZ791GP4P,TF64PSIMC4RM,33178,NTNMP00045M3,New,GSM,TF256PSIMV9RM,STSAS820CWHP,NTNMP00045M3,CDMA
STZEZ793CP,,33178,NTNMP00045,New,CDMA,TF128SIMT5,STLG441GP5,NTNMP00045,GSM
STSAS920CRCS,TF256PSIMV9RM,33178,STN01500,New,CDMA,TF64PSIMT5RM,STZEZ753GWHP5,STN01500,GSM
STSAS777CRCS,,33178,STN01500,New,CDMA,TF64PSIMT5RM,STZEZ753GWHP5,STN01500,GSM
STSAS978CWT,TF256PSIMV9N,33178,STN01500,New,CDMA,TF64PSIMT5RM,STZEZ753GWHP5,STN01500,GSM
STZEZ753GWHP,TF128PSIMC4RM,33178,NTNMP00045,New,GSM,TF64PSIMT5RM,STZEZ753GWHP5,NTPMP00060ILD,GSM
STLG441GP4,TF128SIMC4,33178,STAPP00035,New,GSM,TF128SIMT5,STLG441GP5,NTPMP00060ILD,GSM
STSAS820CP,TF256PSIMV9RM,33178,NTNMP00045,New,CDMA,TF256PSIMV9RM,STSAS820CWHP,NTAPPMP00045SA,CDMA
STSAS902CR,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA,TF256PSIMV9RM,STSAS902CP,NTPMP00060ILD,CDMA
STLG237CR,,33178,NTNMP00045,New,CDMA,,STLG237CP,NTPMP00060ILD,CDMA
STALA206GR4,TF128SIMC4RM,33178,NTNMP00045,New,GSM,TF128SIMT5RM,STALA206GWHP,NTPMP00060ILD,GSM
STHUH350WHP4,TF64SIMC4,33178,STNHPAPPUNL30,New,GSM,TF64SIMC4,STHUH350P,STNHPAPPUNL40,GSM
STHUH350RCS4,TF64SIMC4,33178,STNHPAPPUNL30,New,GSM,TF64SIMC4,STHUH350P,STNHPAPPUNL40,GSM
STHUH350WHP,TF64SIMC4,33178,STNHPAPPUNL30,New,GSM,TF64SIMC4,STHUH350P,STNHPAPPUNL40,GSM
STHUH350,TF64SIMC4,33178,STNHPAPPUNL30,New,GSM,TF64SIMC4,STHUH350P,STNHPAPPUNL40,GSM
STHUH350P,TF64SIMC4,33178,STNHPAPPUNL40,New,GSM,TF64SIMC4,STHUH350P4,STNHPAPPUNL60,GSM
ST256PBYOPD,TF256PSIMV9DD,33178,STAPP00035,New,CDMA,TF256PSIMV9ND,ST256PBYOPN,NTPMP00060ILD,CDMA
STUXU671CR,,33178,NTNMP00045,New,CDMA,,STZEZ797C,NTPMP00060ILD,CDMA
STZEZ797C,,33178,STNS00035,New,CDMA,TF128PSIMC4NB,PHST128PSIMC4NB,NTPMP00060ILD,GSM
STZEZ289G,TF64SIMC4,33178,STNMB00050,New,GSM,,STZEZ797C,NTNMP00045,CDMA
STAVV10GP,JASPER2FF,33178,,New,GSM,,STREAX54NCPWP,STNHA0001Y,CDMA
PHST64PSIMC4BMB,TF64PSIMC4BMB,33178,NTNMP00045,New,GSM,,STLG305CPWP,NTPMP00060ILD,CDMA
STIPH6SSOCDMA,TF256PSIMV9N,33178,STNS00035,New,CDMA,TF128PSIMC4N,STIPH6SSOGSM,NTPMP00060ILD,GSM
STIPH6SPSOGSM,TF128PSIMC4N,33178,NTNMP00045,New,GSM,TF256PSIMV9N,STIPH6SPSOCDMA,NTPMP00060ILD,CDMA
STZEZ837VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,TF256PSIMV9N,STZEZ837VCRCS,NTAPPMP00045,CDMA
STLGL64VC,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA,TF256PSIMV9N,STLGL64VC,NTAPPMP00045TR,CDMA
STZEZ836BGRCS4,TF128PSIMC4N,33178,NTAPPMP00045SA,New,GSM,TF128PSIMC4N,STZEZ836BGRCS4,NTAPPMP00045SA,GSM
STZEZ836BGRCS5,TF128PSIMT5N,33178,NTAPPMP000451Y,New,GSM,TF128PSIMT5N,STZEZ836BGRCS5,NTAPPMP000451Y,GSM
STZEZ836BGRCS7,TF128PSIMCL7N,33178,NTAPPMP00060ILD,New,GSM,TF128PSIMCL7N,STZEZ836BGRCS7,NTAPPMP00060ILD,GSM
STZEZ798BGRCS4,TF128PSIMC4RM,33178,STAPP20055,New,GSM,TF128PSIMC4RM,STZEZ798BGRCS4,STAPP20055,GSM
STZEZ798BGRCS5,TF128PSIMT5RM,33178,NTAPPMP00060ILD,New,GSM,TF128PSIMT5RM,STZEZ798BGRCS5,NTAPPMP00060ILD,GSM
STZEZ798BGRCS7,TF128PSIMCL7RM,33178,STAPP20055,New,GSM,TF128PSIMCL7RM,STZEZ798BGRCS7,STAPP20055,GSM
