Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Queued?
STSAG955UCSV,TF256PSIMV9N,33178,NTAPPMP00060ILD,STAPP20055,CDMA,Queued
STSAG950UCSVPWP,TF256PSIMV9N,33178,STAPP30035,NTAPPMP00045TR,CDMA,Queued
STLGL84VCWHP,TF256PSIMV9N,33178,NTAPPMP00060ILD,STAPP20055,CDMA,Queued
STSAS327VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045TR,CDMA,Queued
STZEZ799VC2R,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP00060ILD,CDMA,Queued
STLGL63BGP5P,TF128PSIMT5N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,Queued
STLGL59BGR5,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045SA,GSM,Queued
STLGL48VCRCS,TF256PSIMV9N,33178,STAPP30035,NTAPPMP00060ILD,CDMA,Queued
STLGL57BGP5P,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,Queued
STLGL58VCRCS,TF256PSIMV9N,33178,NTAPPMP000451Y,NTAPPMP00045SA,CDMA,Queued
STZEZ233VCGY,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTAPPMP00045,CDMA,Queued
STZEZ232TGGYP,TF128PSIMT5RM,33178,NTAPPMP00045,NTAPPMP00060ILD,GSM,Queued
STLG108CWHP,,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,Queued
STLG329GR,TF64SIMT5,33178,NTAPPMP000451Y,NTAPPMP00045SA,GSM,Queued
STLGL52VCPWP,TF256PSIMV9N,33178,NTAPPMP00045SA,NTAPPMP00045,CDMA,Queued
STZEZ716BGP4,TF128PSIMC4RM,33178,NTAPPMP00045,NTAPPMP00060ILD,GSM,Queued
STHTC122VCWHP,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,Queued
ST3GCPOAI5SGP5,TF128PSIMT5N,33178,STAPP30035,NTAPPMP00045SA,GSM,Queued
PHST64PSIMC4DD,TF64PSIMC4DD,33178,STNMB00040,STNMB00025,GSM,Queued
STSAS890GP,TF64PSIMC4RM,33178,NTNMP00045M3,NTAPPMP00045,GSM,Queued
STHUH226CR,,33178,STNHP00015,STNHP00015,CDMA,Queued
STZEZ837VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00060ILD,CDMA,Queued
STLGL64VC,TF256PSIMV9N,33178,NTAPPMP00045TR,STAPP20055,CDMA,Queued
STZEZ836BGRCS4,TF128PSIMC4N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,Queued
STZEZ836BGRCS5,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045TR,GSM,Queued
STZEZ836BGRCS7,TF128PSIMCL7N,33178,NTAPPMP00060ILD,NTAPPMP00045SA,GSM,Queued
STZEZ798BGRCS4,TF128PSIMC4RM,33178,STAPP30035,NTAPPMP000451Y,GSM,Queued
STZEZ798BGRCS5,TF128PSIMT5RM,33178,NTAPPMP00060ILD,NTAPPMP00060ILD,GSM,Queued
STZEZ798BGRCS7,TF128PSIMCL7RM,33178,STAPP20055,STAPP20055,GSM,Queued
STZEZ558VCWHP,TF256PSIMV9N,33178,STAPP20055,STAPP20055,CDMA,Queued
STAPIXC64GYPWP.2,TF256PSIMV9N,33178,STAPP20055,STAPP20055,CDMA,Queued
STAPIXG64SVP4,TF128PSIMC4N,33178,STAPP20055,STAPP20055,GSM,Queued
