Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Status
STSAG955UCSVWHP,TF256PSIMV9N,33178,NTAPPMP00045SA,STAPP20055,CDMA,New
STSAG950UCSVWHP,TF256PSIMV9N,33178,NTAPPMP00060ILD,NTAPPMP000451Y,CDMA,New
STSAS727VCR,TF256PSIMV9N,33178,NTAPPMP00045SA,NTAPPMP000451Y,CDMA,New
STZEZ986DC2R,TF128PSIMC4N,33178,STAPP30035,STAPP20055,CDMA,New
STLGL83BG2R7,TF128PSIMCL7N,33178,NTAPPMP00045,NTAPPMP00045TR,GSM,New
STZEZ799VC2R,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New
STLGL63BGWHP4,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New
STLGL59BGP4P,TF128PSIMC4N,33178,NTNMP00045,NTAPPMP00045SA,GSM,New
STLGL48VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New
STLGL57BGP5P,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New
STLGL58VCRCS,TF256PSIMV9N,33178,NTNMP00045,NTAPPMP00045SA,CDMA,New
STZEZ233VCGY,TF256PSIMV9RM,33178,NTAPPMP00045,NTAPPMP00045SA,CDMA,New
STZEZ232TGGYWHP5,TF128PSIMT5RM,33178,STAPP30035,NTAPPMP00060ILD,GSM,New
STLG108CP,,33178,STAPP01500,STAPP20055,CDMA,New
STAPISEG16GY,TF128PSIMC4N,33178,NTAPPMP00045TR,NTAPPMP000451Y,GSM,New
STZEZ291DGR4,TF128PSIMC4RM,33178,STAPPMB00075,STAPPMB00050,GSM,New
STAPISEC16GYPWP,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP000451Y,CDMA,New
STALA571VC,TF256PSIMV9RM,33178,NTAPPMP00045,NTNMP00045,CDMA,New
STALA570BGRCS,TF128PSIMT5RM,33178,NTAPPMP00045SA,NTAPPMP000451Y,GSM,New
STAPI6C16SVR,TF256PSIMV9N,33178,NTAPPMP00045SA,NTNMP00045,CDMA,New
STAPI6PC16SVR,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP000451Y,CDMA,New
STZEZ717VCP,TF256PSIMV9RM,33178,STAPP30035,NTNMP00045,CDMA,New
STZEZ962BGP4P,TF128PSIMT5N,33178,NTAPPMP00045SA,NTAPPMP000451Y,GSM,New
STLGL82VC,TF256PSIMV9N,33178,NTNMP00045,NTNMP00045,CDMA,New
STLGL62VC,TF256PSIMV9N,33178,NTAPPMP000451Y,NTAPPMP00045,CDMA,New
STLGL44VC,TF256PSIMV9N,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New
STZEZ716BGP5,TF128PSIMC4RM,33178,NTAPPMP00045SA,NTNMP00045,GSM,New
STLGL52VCRCS,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP000451Y,CDMA,New
STLGL43AGR4,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP00045,GSM,New
STLG329GP5,TF64SIMT5,33178,NTAPPMP00045,NTPMP00060ILD,GSM,New
STAPI6SG16SVWHP,TF128PSIMC4N,33178,NTAPPMP00045,NTAPPMP00045SA,GSM,New
STLG109CPWP,,33178,NTNMP00045,NTNMP00045SA,CDMA,New
ST3GCPOAI5SGP5,TF128PSIMT5N,33178,NTAPPMP00045SA,NTNMP00045,GSM,New
STZEZ936CP,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New
STSAS920CWHP,TF256PSIMV9RM,33178,NTNMP00060ILD,NTNMP00060ILD,CDMA,New
STZEZ752CR,,33178,NTNMP00045,NTAPPMP00045SA,CDMA,New
STSAS820CWHP,TF256PSIMV9RM,33178,NTAPPMP00045SA,NTPMP00060ILD,CDMA,New
STZEZ932CR,TF256PSIMV9RM,33178,NTPMP00060ILD,NTAPPMP00045SA,CDMA,New
PHST128PSIMC4NB,TF128PSIMC4NB,33178,NTAPPMP00060ILD,NTNMP00045,GSM,New
STSAS890GP,TF64PSIMC4RM,33178,NTNMP00045M3,NTNMP00045,GSM,New
STZEZ837VCRCS,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP00060ILD,CDMA,New
STLGL64VC,TF256PSIMV9N,33178,NTAPPMP00045TR,STAPP20055,CDMA,New
STZEZ836BGRCS4,TF128PSIMC4N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New
STZEZ836BGRCS5,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New
STZEZ836BGRCS7,TF128PSIMCL7N,33178,NTAPPMP00060ILD,NTAPPMP00045SA,GSM,New
STZEZ798BGRCS4,TF128PSIMC4RM,33178,STAPP20055,NTAPPMP000451Y,GSM,New
STZEZ798BGRCS5,TF128PSIMT5RM,33178,STAPP30035,NTAPPMP00060ILD,GSM,New
STZEZ798BGRCS7,TF128PSIMCL7RM,33178,STAPP20055,STAPP20055,GSM,New
STALA574BGP4,TF128PSIMC4N,33178,NTAPPMP00060ILD,NTNMP00045,GSM,New
STALA574BGP5,TF128PSIMT5N,33178,NTNMP00045M3,NTNMP00045,GSM,New
STALA574BGP7,TF128PSIMCL7N,692,NTAPPMP00045,NTAPPMP00060ILD,GSM,New
STALA576BGP4,TF128PSIMC4N,33178,NTAPPMP00045TR,STAPP20055,GSM,New
STALA576BGP5,TF128PSIMT5N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New
STALA576BGP7,TF128PSIMCL7N,692,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New
STSAS337TGP5,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00045SA,GSM,New
STSAS737TGP5,TF128PSIMT5N,33178,STAPP20055,NTAPPMP000451Y,GSM,New
STZEZ723EGP5,TF128PSIMT5N,33178,STNHPAPPUNL45,STNHPAPPUNLILD60,GSM,New
STZEZ723EC,TF256PSIMV9N,33178,STNHPAPPUNLILD60,STNHPAPPUNL45,CDMA,New
STALA577VCPWP,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP000451Y,CDMA,New
STLGL158VCPWP,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP00060ILD,CDMA,New
STLGL164VCPWP,TF256PSIMV9N,33178,NTAPPMP00045SA,STAPP20055,CDMA,New
STLGL163BGRCS,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP000451Y,GSM,New
STLGL163BGRCS5,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00060ILD,GSM,New
STLGL163BGRCS7,TF128PSIMCL7N,692,STAPP20055,STAPP20055,GSM,New
STLGL157BGRCS,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP00045,GSM,New
STLGL157BGRCS5,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00045TR,GSM,New
