Status,Part,SIM,ZIP,Reoccuring?,Old Plan,Credit Type,Cell Type,New Plan,Queued
New,STSAG955UCSVR,TF256PSIMV9N,33178,Reoccuring,$60 Unlimited Plan,Visa,CDMA,$55 Unlimited Plan,Now
New,STSAG950UCSVR,TF256PSIMV9N,33178,Reoccuring,$55 Unlimited Plan,Visa,CDMA,$60 Unlimited Plan,Now
New,STLGL84VCPWP,TF256PSIMV9N,33178,Reoccuring,$60 Unlimited Plan,Visa,CDMA,$55 Unlimited Plan,Now
New,STSAS327VCP,TF256PSIMV9N,33178,Reoccuring,$55 Unlimited Plan,Visa,CDMA,$60 Unlimited Plan,Now
New,STZEZ799VCPWP,TF256PSIMV9RM,33178,Reoccuring,$60 Unlimited Plan,Visa,CDMA,$255 Unlimited Plan,Now
New,STLGL63BGWHP4,TF128PSIMC4N,33178,Reoccuring,$130 Unlimited Plan,Discover,GSM,$60 Unlimited Plan,Now
New,STLGL59BGWHP4,TF128PSIMC4N,33178,Reoccuring,$60 Unlimited Plan,American Express,GSM,$495 Unlimited Plan,Now
New,STLGL48VCRCS,TF256PSIMV9N,33178,Reoccuring,$60 Unlimited Plan,Visa,CDMA,$255 Unlimited Plan,Now
New,STLGL57BGP5P,TF128PSIMC4N,33178,Reoccuring,$130 Unlimited Plan,Discover,GSM,$60 Unlimited Plan,Now
New,STLGL58VCRCS,TF256PSIMV9N,33178,Reoccuring,$60 Unlimited Plan,American Express,CDMA,$495 Unlimited Plan,Now
New,STZEZ233VCGY,TF256PSIMV9RM,33178,Reoccuring,$55 Unlimited Plan,Visa,CDMA,$60 Unlimited Plan,Now
New,STZEZ232TGGYP,TF128PSIMT5RM,33178,Reoccuring,$45 Unlimited Plan,Visa,GSM,$60 Unlimited Plan,Now
New,STLG108C,,33178,Reoccuring,All You Need Plan,Visa,GSM,$45 Unlimited Plan,Queued
New,STLG238CRCS,,33178,Reoccuring,$60 Unlimited Plan,Visa,CDMA,$255 Unlimited Plan,Now
New,STSAS320VC,TF256PSIMV9N,33178,Reoccuring,$130 Unlimited Plan,Discover,CDMA,$60 Unlimited Plan,Now
New,STSAS550TGP,TF128PSIMT5N,33178,Reoccuring,$60 Unlimited Plan,American Express,GSM,$495 Unlimited Plan,Now
New,STZEZ916BGRCS5,TF128PSIMT5N,33178,Reoccuring,$55 Unlimited Plan,Visa,GSM,$60 Unlimited Plan,Now
New,STLGL53BGP5P,TF128PSIMT5N,33178,Reoccuring,$60 Unlimited Plan,Discover,GSM,$45 Unlimited Plan,Queued
New,STLGL56VC,TF256PSIMV9N,33178,Reoccuring,$45 Unlimited Plan,American Express,CDMA,$55 Unlimited Plan,Now
New,STLG442BGP5P,TF128SIMT5,33178,Reoccuring,$45 Unlimited Plan,Visa,GSM,$130 Unlimited Plan,Now
New,STLG328BGP5P,TF128SIMT5,33178,Reoccuring,$45 Unlimited Plan,Discover,GSM,$495 Unlimited Plan,Queued
New,STZEZ291DGP5,TF128PSIMT5RM,33178,Reoccuring,Hotspot 7 GB,American Express,GSM,Hotspot 1 GB,Now
New,STZEZ291DC,TF256PSIMV9RM,33178,Reoccuring,Hotspot 2 GB,Visa,CDMA,Hotspot 4 GB,Now
New,STSAS935DGSVP5,TF128PSIMT5N,33178,Reoccuring,$60 Unlimited Plan,Discover,GSM,$255 Unlimited Plan,Now
New,STSAS935DCSVPWP,TF256PSIMV9N,33178,Reoccuring,$55 Unlimited Plan,American Express,CDMA,$130 Unlimited Plan,Queued
New,STAPISEG16GY,TF256PSIMV9N,33178,Reoccuring,$60 Unlimited Plan,Visa,CDMA,$255 Unlimited Plan,Now
New,STALA571VCPWP,TF256PSIMV9RM,33178,Reoccuring,$45 Unlimited Plan,Visa,CDMA,$130 Unlimited Plan,Now
New,STSAG930VCR,TF256PSIMV9N,33178,Reoccuring,$45 Unlimited Plan,Visa,CDMA,$60 Unlimited Plan,Now
New,STALA621BGP5P,TF128PSIMC4RM,33178,Reoccuring,$60 Unlimited Plan,Visa,GSM,$45 Unlimited Plan,Queued
New,STZEZ962BGR5,TF128PSIMT5N,33178,Reoccuring,$45 Unlimited Plan,Visa,GSM,$60 Unlimited Plan,Now
New,STLGL82VCRCS,TF256PSIMV9N,33178,Reoccuring,$55 Unlimited Plan,Visa,CDMA,$495 Unlimited Plan,Now
New,STLGL81AGWHP4,TF128PSIMC4N,33178,Reoccuring,$45 Unlimited Plan,Visa,GSM,$130 Unlimited Plan,Queued
New,STLGL62VCRCS,TF256PSIMV9N,33178,Reoccuring,$45 Unlimited Plan,Visa,CDMA,$55 Unlimited Plan,Now
New,STLGL51AGRCS,TF128PSIMC4N,33178,Reoccuring,$60 Unlimited Plan,Visa,GSM,$45 Unlimited Plan,Now
New,STLGL44VCRCS,TF256PSIMV9N,33178,Reoccuring,$60 Unlimited Plan,Visa,CDMA,$55 Unlimited Plan,Now
New,STZEZ716BGR,TF128PSIMC4RM,33178,Reoccuring,$45 Unlimited Plan,Visa,GSM,$495 Unlimited Plan,Now
New,STLGL52VCPWP,TF256PSIMV9N,33178,Reoccuring,$55 Unlimited Plan,Visa,CDMA,$130 Unlimited Plan,Queued
New,STLGL43AGRCS,TF128PSIMC4N,33178,Reoccuring,$45 Unlimited Plan,Visa,GSM,$130 Unlimited Plan,Now
New,STLG329GP4P,TF64SIMT5,33178,Reoccuring,$55 Unlimited Plan,Visa,GSM,$45 Unlimited Plan,Now
New,STAPI6SC16RGPWP,TF256PSIMV9N,33178,Reoccuring,$130 Unlimited Plan,Visa,CDMA,$60 Unlimited Plan,Now
New,STALA462CP,,33178,Reoccuring,$60 Unlimited Plan,Visa,CDMA,$55 Unlimited Plan,Now
New,STALA463BG,TF128PSIMC4RM,33178,Reoccuring,$60 Unlimited Plan,Visa,GSM,$495 Unlimited Plan,Queued
New,STZEZ936C,TF256PSIMV9RM,33178,Reoccuring,$45 Unlimited Plan,Visa,CDMA,$60 Unlimited Plan,Now
New,STSAS777CR,,33178,Reoccuring,$60 Unlimited Plan,Visa,CDMA,$55 Unlimited Plan,Queued
New,STHUH350P,TF64SIMC4,33178,Reoccuring,$40 Home Center,Visa,GSM,$30 Home Center,Now
New,STUXU671C,,33178,Reoccuring,$45 Unlimited Plan,Visa,CDMA,$60 Unlimited Plan,Now
New,STLGL41CRCS,,33178,Reoccuring,$130 Unlimited Plan,Visa,CDMA,$60 Unlimited Plan,Now
New,STLGL31GP4P,TF64PSIMC4RM,33178,Reoccuring,$45 Unlimited Plan,Visa,GSM,$55 Unlimited Plan,Queued
New,STSAS975GWHP4,TF64PSIMC4RM,33178,Reoccuring,$55 Unlimited Plan,Discover,GSM,$495 Unlimited Plan,Queued
New,STLG900GP4,TF64SIMC4,33178,Reoccuring,All You Need Plan,Visa,GSM,$60 Unlimited Plan,Now
New,STZEZ558VCP,TF256PSIMV9N,33178,Reoccuring,$45 Unlimited Plan,Visa,GSM,$55 Unlimited Plan,Queued
New,STAPIXC64SVP.2,TF256PSIMV9N,33178,Reoccuring,$55 Unlimited Plan,Discover,GSM,$495 Unlimited Plan,Queued
New,STAPIXG64GY,TF128PSIMC4N,33178,Reoccuring,All You Need Plan,Visa,GSM,$60 Unlimited Plan,Now
