Status,Part Number,Sim,Zip,Pin,Cell Tech
New,TCALA570BGP5,TF128PSIMT5RM,33178,TCAPP00060ILD,GSM
New,TCSAS550TGR,TF128PSIMT5N,33178,TCAPP00035ILD,GSM
New,TCALA621BGP5,TF128PSIMT5RM,33178,TCAPP40025ILD,GSM
New,TCZEZ828TGP,TF128PSIMT5N,33178,TCAPP00035ILD,GSM
New,TCZEZ716BGP5DG,TF128PSIMT5RM,33178,TCAPP00060ILD,GSM
New,TCZEZ716BGP5P,TF128PSIMT5RM,33178,TCAPP40025ILD,GSM
New,TCLG441GP5,TF128SIMT5,33178,TCN40025ILD,GSM
New,TCZEZ930GDG,TF64PSIMT5RM,33178,TCAPP00035ILD,GSM
New,TCHUH868CRV2,,33178,TCN40025ILD,CDMA
New,TCRM9310CPDGV2,,33178,TCAPP00055ILD,CDMA
New,TCRM9310CPTGP,,33178,TCAPP00035ILD,CDMA
New,TCSAM828CP,,33069,TCAPP00045ILD,CDMA
New,TCMTEX431GP5,TF64SIMT5,33069,TCAPPUNL45,GSM
New,TCSAS738CPTGP,,33178,TCAPP00060ILD,CDMA
New,TCSAS275G3P4,TF64SIMT5,33178,TCAPP00045ILD,GSM
New,TCHUH867G3P5,TF64PSIMT5,33178,TCAPP00040ILD,GSM
New,TCMTXT939GP5DU,TF64PSIMT5RM,33178,TCAPP00029ILD,GSM
