Status,PartNumber,Zip,pin,sim,Cell Tech,Protection Plan type,Card Type
New,PHTC128PSIMT5NB,80130,TCAPP00029ILD,TF64PSIMT5B,GSM,Annual Easy Exchnage,Discover
New,TCSAM828CWHP,80130,TCAPP00035ILD,,CDMA,Monthly Easy Exchnage Plus,Discover
New,TCSAM828C3PWP,80130,TCAPP40025ILD,,CDMA,Annual Easy Exchnage Plus,Discover
New,TCMTW419GWHP,80130,TCAPP00040ILD,TF64SIMT5,GSM,Annual Easy Exchnage,Discover
New,TCMTW419GR5,80130,TCAPP00060ILD,TF64SIMT5,GSM,Monthly Easy Exchnage Plus,Discover
New,TCMTW419GWHP,80130,TCAPP00045ILD,TF64SIMT5,GSM,Annual Easy Exchnage Plus,Discover
New,TCMTEX431GR,80130,TCAPP00035ILD,TF64SIMT5,GSM,Annual Easy Exchnage,Discover
New,TCMTW419G3P5P,80130,TCAPP40025ILD,TF64SIMT5,GSM,Monthly Easy Exchnage Plus,Discover
New,TCHUH868CWHP,80130,TCAPP00055ILD,,CDMA,Annual Easy Exchnage Plus,Discover
New,TCHUH868C3PWP,80130,TCAPP00045ILD,,CDMA,Monthly Easy Exchnage Plus,Discover
New,TCLGL38C3PWP,80130,TCN40025ILD,,CDMA,Monthly Easy Exchnage Plus,Visa
