Part Number,SIM,Zip Code,Status,Cell Tech,Plan,Reoccurring?,Card Type
TCZEZ828TGP5SP,TF128PSIMT5N,33178,New,GSM,Plan Extended Nation de $55,Reoccurring,Discover
TCALA570BG3P5P,TF128PSIMT5RM,33178,New,GSM,Plan Extended Nation de $20,One-time,Discover
TCZEZ716BGP5AS,TF128PSIMT5RM,33178,New,GSM,Plan Extended Nation de $20,Reoccurring,Discover
TCHUH891GP5-5,TF64PSIMT5RM,33178,New,GSM,Plan Extended Nation de $55,Reoccurring,Discover
TCLG441GP5SOP,TF64SIMT5,33178,New,GSM,Plan Extended Nation de $30,One-time,Discover
TCZEZ667GP5-5,TF64PSIMT5RM,33178,New,GSM,Plan Extended Nation de $60,One-time,Discover
TCZEZ930G3P5,TF64PSIMT5RM,33178,New,GSM,Plan Extended Nation de $25,Reoccurring,Discover
PHTC128PSIMT5NB,TF128PSIMT5NB,33178,New,GSM,Plan Extended Nation de $60,One-time,Discover
TCLGL38CPSPV2,,33178,New,CDMA,Plan Extended Nation de $40,Reoccurring,Discover
TCLG306GR,TF64SIMT5,33178,New,GSM,Plan Basico Internacional de $25,One-time,Discover
TCMTEX431GP5,TF64SIMT5,33178,New,GSM,Plan Extended Nation de $55,Reoccurring,Discover
TCMTEX431GP5,TF64SIMT5,33178,New,GSM,Plan Extended Nation de $30,Reoccurring,Discover
TCMTEX431GP5,TF64SIMT5,33178,New,GSM,Plan Extended Nation de $25,Reoccurring,Discover
TCMTEX431GP5,TF64SIMT5,33178,New,GSM,Plan Ilimitado Internacional** de $40,Reoccurring,Discover
