Status,Part Number,Sim,Zip,Pin,Cell Tech
New,TCALA621BGP5-5,TF128PSIMT5RM,33178,TCAPP00035ILD,GSM
New,TCALA570BGRCS5,TF128PSIMT5RM,33178,TCAPP00045ILD,GSM
New,TCZEZ716BGP5-5,TF128PSIMT5RM,33178,TCAPP00020ILD,GSM
New,TCLG441G3P5P,TF64SIMT5,33178,TCN40025ILD,GSM
New,TCLG440GP5,TF64SIMT5,33178,TCAPP00035ILD,GSM
New,TCMTEX431GP5V2,TF64SIMT5,33178,TCAPP00060ILD,GSM
New,TCSAS738CPRSV2,TF64SIMT5,33178,TCAPP00035ILD,GSM
New,TCZEZ660GP5,TF64PSIMT5,33178,TCAPP00040ILD,GSM
New,TCMTW419GP5,TF64SIMT5,33069,TCAPP00020ILD,GSM
New,TCMTEX431GP5,TF64SIMT5,33069,TCAPP00055ILD,GSM
New,TCSAS275GBK3P5,TF64SIMT5,33178,TCN40025ILD,GSM
New,TCHUH867GP4,TF64PSIMT5,33178,TCAPP00045ILD,GSM
New,TCMTXT939GWHP5,TF64PSIMT5RM,33178,TCAPP00040ILD,GSM
New,TCZEZ768GWHP5,TF64PSIMT5,33178,TCAPP40025ILD,GSM
