Status,Part,SIM,ZIP,PIN1,Cell Tech,Add Now?,PIN2
New,TCZEZ828TGP5DG,TF128PSIMT5N,33178,TCAPP00060ILD,GSM,Now,TCAPP00060ILD
New,TCALA621BGP5SP,TF128PSIMT5RM,33178,TCAPP00055ILD,GSM,Queued,TCAPP00055ILD
New,TCZEZ716BGP5-5,TF128PSIMT5RM,33178,TCAPP00055ILD,GSM,Queued,TCAPP00055ILD
New,TCZEZ753GRCS5,TF64PSIMT5RM,33178,TCAPP00060ILD,GSM,Queued,TCAPP00045ILD
New,TCLG440GP,TF64SIMT5,33178,TCAPP00040ILD,GSM,Now,TCAPP00060ILD
New,PHTC64PSIMT5BMB,TF64PSIMT5BMB,33178,TCAPP00040ILD,GSM,Now,TCAPP40025ILD
New,TCMTW419G3P5PV2,TF64SIMT5,33178,TCAPP00055ILD,GSM,Now,TCAPPUNL45
New,TCSAM828CP,,33178,TCAPP40025ILD,CDMA,Now,TCAPP00060ILD
New,TCHUH881CPTGP,,33178,TCAPP00040ILD,CDMA,Now,TCAPP00055ILD
New,TCLGL38C,,33178,TCAPP00060ILD,CDMA,Now,TCAPP40025ILD
New,TCSAM828CP,,33178,TCAPP00040ILD,CDMA,Now,TCNS00045
New,TCSAM828CP,,33178,TCN40025ILD,CDMA,Now,TCAPP00029ILD
New,TCHUH881CPTGP,,33178,TCAPP00040ILD,CDMA,Now,TCAPP00029ILD
New,TCMTXT939GWHP5,TF64PSIMT5RM,33178,TCAPP00020ILD,GSM,Now,TCAPP00060ILD
