Status,Part Number,Sim,Zip Code,Pin Card,Cell Tech,Queued?,PIN2
New,TCALA570BGP5SP,TF128PSIMT5RM,33178,TCAPP00055ILD,GSM,Now,TCAPP00045ILD
New,TCZEZ828TGR,TF128PSIMT5N,33178,TCAPP00045ILD,GSM,addon,TCAPP00045ILD
New,TCZEZ716BG3P5,TF128PSIMT5RM,33069,TCAPPUNL45,GSM,Now,TCAPP00045ILD
New,TCZEZ753GR5,TF64PSIMT5RM,33178,TCP00045S,GSM,addon,TCAPP00029ILD
New,TCZEZ930GRCS5,TF64PSIMT5RM,33069,TCAPP00045ILD,GSM,Queued,TCAPP00035ILD
New,TCRM9310CRV2,,33069,TCAPP00055ILD,CDMA,Queued,TCAPP00055ILD
New,TCSAS738CPTGP,,33178,TCAPP00055ILD,CDMA,Now,TCAPP00029ILD
New,TCMTW419GP5,TF64SIMT5,33069,TCN40025ILD,GSM,addon,TCAPP60010ILD
New,TCMTEX431GP5,TF64SIMT5,33069,TCAPPUNL45,GSM,Now,TCN40025ILD
New,TCSAS738CPTGP,,33178,TCAPP00055ILD,CDMA,Now,TCAPP00055ILD
New,TCLGL38CDG,,33178,TCAPP00045ILD,CDMA,Queued,TCNS00045
New,TCSAS275GBKP7,TF64SIMT5,33178,TCAPP40025ILD,GSM,Queued,TCAPP00055ILD
New,TCHUH867GWHP4,TF64PSIMT5,33178,TCAPP00040ILD,GSM,Queued,TCAPPUNL45
New,TCZEZ768GP5,TF64PSIMT5,33178,TCAPP00029ILD,GSM,Now,TCAPP00029ILD
