status,Part Number,Zip,Pin,SIM,cell tech,phone model
New,TCLG441G3P5,33178,TCAPP00060ILD,TF128SIMT5,GSM,LG KP500
New,PHTC64PSIMT5B,33178,TCAPP00020ILD,TC64PSIMT5B,GSM,Android 1.5
New,PHTC64PSIMT5B,33178,TCAPP00040ILD,TC64PSIMT5B,GSM,Android 4.0
New,PHTC64PSIMT5B,33178,TCAPP40025ILD,TC64PSIMT5B,GSM,Dell Inspiron Mini 4G
New,PHTC64PSIMT5B,33178,TCAPP00029ILD,TC64PSIMT5B,GSM,Google Nexus One  S - Android 2.3
New,PHTC64PSIMT5B,33178,TCAPP00055ILD,TC64PSIMT5B,GSM,Blackberry
New,PHTC64PSIMT5B,33178,TCAPP40025ILD,TC64PSIMT5B,GSM,Android 1.6 - 2.3.4
New,PHTC64PSIMT5B,33178,TCN40025ILD,TC64PSIMT5B,GSM,iPhone or iPad (iOS 5 or previous)
New,PHTC64PSIMT5B,33178,TCAPP00035ILD,TC64PSIMT5B,GSM,LG (Optimus T and G2X)
New,PHTC64PSIMT5B,33178,TCAPP00045ILD,TC64PSIMT5B,GSM,"LG Generic (Sentio GS505, GS170, DLite)"
New,PHTC64PSIMT5B,33178,TCAPP00060ILD,TC64PSIMT5B,GSM,Other
