Status,Part Number,Zip Code,Pin Card,Sim Number,Cell Tech,Card Type
New,TCALA621BGWHP5,33069,TCN40025ILD,TF128PSIMT5RM,GSM,Visa
New,TCALA570BGP5AS,33178,TCAPP00060ILD,TF128PSIMT5RM,GSM,Visa
New,TCZEZ716BGP,33069,TCAPP00060ILD,TF128PSIMT5RM,GSM,Visa
New,TCLG441GR,33069,TCAPPUNL45,TF128SIMT5,GSM,Visa
New,TCLG440GR5,33069,TCAPP00040ILD,TF64SIMT5,GSM,Visa
New,TCRM9310CPMPV2,33069,TCN40025ILD,,CDMA,Visa
New,TCSAM828CP,33069,TCAPP00020ILD,,CDMA,Visa
New,TCMTW419GP5,33069,TCAPP00055ILD,TF64SIMT5,GSM,Visa
New,TCMTEX431GP5,33069,TCAPP00060ILD,TF64SIMT5,GSM,Visa
New,TCSAM828CP,33069,TCN40025ILD,,CDMA,Visa
New,TCMTW419GP5,33069,TCAPPUNL45,TF64SIMT5,GSM,Visa
New,TCMTEX431GP5,33069,TCAPP40025ILD,TF64SIMT5,GSM,Visa
New,TCMTXT939GWHP5,33069,TCAPP00029ILD,TF64PSIMT5RM,GSM,Visa
New,TCZEZ768G3P5P,33069,TCAPP00040ILD,TF64PSIMT5,GSM,Visa
