Status,Part Number,Zip Code,Pin Card,Sim Number,Cell Tech,Service Plan,Card Type,ILD,Reoccurring?,Add Now?
New,TCZEZ828TG3P5P,33178,TCAPP00055ILD,TF128PSIMT5N,GSM,Plan Extended Nation de $20,Visa,1,Reoccurring,Later
New,TCALA621BG3P5P,33178,TCAPP40025ILD,TF128PSIMT5RM,GSM,Plan Extended Nation de $40,Visa,0,One-Time,Now
New,TCZEZ716BGP,33178,TCAPP00029ILD,TF128PSIMT5RM,GSM,Plan Extended Nation de $60,Visa,3,Reoccurring,Later
New,TCLG441GR,33178,TCAPP40025ILD,TF128SIMT5,GSM,Plan Extended Nation de $40,Visa,0,Reoccurring,Now
New,TCLG440GP5AS,33178,TCAPP00055ILD,TF64SIMT5,GSM,Plan Extended Nation de $20,Visa,1,One-Time,Now
New,PHTC64PSIMT5MB,33178,TCAPP00055ILD,TF64PSIMT5MB,GSM,Plan Ilimitado Internacional** de $40,Visa,1,One-Time,Now
New,TCLGL38CPWPV2,33178,TCAPP40025ILD,,CDMA,Plan Extended Nation de $25,Visa,0,One-Time,Later
New,TCALA383G3P5,33178,TCAPP00060ILD,TF64SIMT5,GSM,Plan Extended Nation de $30,Visa,0,One-Time,Later
New,TCSAM828CP,33178,TCN40025ILD,,CDMA,Plan Extended Nation de $55,Visa,2,One-Time,Now
New,TCMTW419GP5,33178,TCAPP00029ILD,TF64SIMT5,GSM,Plan Basico Internacional de $25,Visa,1,One-Time,Later
New,TCMTEX431GP5,33178,TCAPP00029ILD,TF64SIMT5,GSM,Plan Extended Nation de $40,Visa,0,One-Time,Later
New,TCMTEX431GP5,33178,TCN40025ILD,TF64SIMT5,GSM,Plan Extended Nation de $20,Visa,0,Reoccurring,Later
New,TCMTEX431GP5,33178,TCAPPUNL45,TF64SIMT5,GSM,Plan Extended Nation de $25,Visa,0,One-Time,Later
New,TCMTXT939GWHP5,33178,TCAPP00055ILD,TF64PSIMT5RM,GSM,Plan Extended Nation de $60,Visa,2,One-Time,Later
