Part Number,Zip Code,SIM,Status,Cell Tech,Plan,Reoccurring?,Card Type
TCZEZ828TGRCS,33178,TF128PSIMT5N,New,GSM,Plan Basico Internacional de $25,Reoccurring,Discover
TCALA621BGP5DU,33178,TF128PSIMT5RM,New,GSM,Plan Extended Nation de $55,Reoccurring,Visa
TCZEZ716BGDG,33178,TF64PSIMT5RM,New,GSM,Plan Basico Internacional de $25,Reoccurring,Discover
TCZEZ753GP5,33178,TF64PSIMT5RM,New,GSM,Plan Extended Nation de $55,Reoccurring,Discover
TCHUH891GR5,33178,TF64PSIMT5RM,New,GSM,Plan Extended Nation de $60,Reoccurring,Visa
TCLG441GRCS5,33178,TF128SIMT5,New,GSM,Plan Extended Nation de $25,Reoccurring,Discover
TCZEZ753GWHP,33178,TF64PSIMT5RM,New,GSM,Plan Extended Nation de $40,Reoccurring,Discover
TCZEZ667GR5,33178,TF64PSIMT5RM,New,GSM,Plan Ilimitado Internacional** de $40,Reoccurring,Discover
TCLG440GWHP5,33178,TF64SIMT5,New,GSM,Plan Extended Nation de $30,Reoccurring,Discover
TCZEZ930GP5SOP,33178,TF64PSIMT5RM,New,GSM,Plan Extended Nation de $25,Reoccurring,Discover
PHTC64PSIMT5BMB,33178,TF64PSIMT5BMB,New,GSM,Plan Extended Nation de $20,Reoccurring,Discover
PHTC128PSIMT5NB,33178,TF128PSIMT5NB,New,GSM,Plan Extended Nation de $60,Reoccurring,Discover
TCMTXT939GP5V2,33178,TF64PSIMT5RM,New,GSM,Plan Extended Nation de $55,Reoccurring,Discover
TCHUH868CRV2,33178,,New,CDMA,Plan Extended Nation de $40,Reoccurring,Discover
