Status,Part,ZIP,PIN,SIM,Cell Tech,Card Type,Apply Now?,Plan to Enroll
New,TCZEZ828TGR5,33178,TCAPP00035ILD,TF128PSIMT5N,GSM,Visa,Later,Plan Extended Nation de $20
New,TCALA570BGR5,33178,TCAPP40025ILD,TF128PSIMT5RM,GSM,Visa,Later,Plan Extended Nation de $60
New,TCALA621BGDG,33178,TCAPP00060ILD,TF128PSIMT5RM,GSM,Visa,Later,Plan Extended Nation de $55
New,TCZEZ716BG,33178,TCAPP00029ILD,TF64PSIMT5RM,GSM,Visa,Later,Plan Extended Nation de $30
New,TCZEZ753GRCS,33178,TCAPP00060ILD,TF64PSIMT5RM,GSM,Visa,Later,Plan Extended Nation de $25
New,TCHUH891GP5AS,33178,TCAPP00045ILD,TF64PSIMT5RM,GSM,Visa,Later,Plan Extended Nation de $60
New,TCHUH891GRCS5,33178,TCAPP40025ILD,TF64PSIMT5RM,GSM,Visa,Later,Plan Extended Nation de $55
New,TCLG441GR,33178,TCAPP00035ILD,TF128SIMT5,GSM,Visa,Later,Plan Extended Nation de $25
New,TCZEZ753GWHP,33178,TCAPP00055ILD,TF64PSIMT5RM,GSM,Visa,Now,Plan Ilimitado Internacional** de $40
New,TCZEZ667GR5,33178,TCAPP00029ILD,TF64PSIMT5RM,GSM,Visa,Later,Plan Extended Nation de $30
New,TCLG440GRCS,33178,TCAPP00020ILD,TF64SIMT5,GSM,Visa,Now,Plan Basico Internacional de $25
New,TCZEZ930GR5,33178,TCAPP00045ILD,TF64PSIMT5RM,GSM,Visa,Later,Plan Extended Nation de $20
New,PHTC64PSIMT5MB,33178,TCAPP00060ILD,TF64PSIMT5MB,GSM,Visa,Now,Plan Extended Nation de $60
New,PHTC128PSIMT5NB,33178,TCN40025ILD,TF128PSIMT5NB,GSM,Visa,Later,Plan Extended Nation de $55
New,TCHUH867G3P5PV2,33178,TCAPP00055ILD,TF64PSIMT5,GSM,Visa,Now,Plan Extended Nation de $40
