Status,Part Number,Sim,Zip Code,Pin Card,Cell Tech,Queued?,PIN2
New,TCZEZ828TG,TF128PSIMT5N,33178,TCAPP00035ILD,GSM,Queued,TCAPP00055ILD
New,TCALA621BGRCS5,TF128PSIMT5RM,33178,TCAPP40025ILD,GSM,Queued,TCAPP00055ILD
New,TCZEZ716BGRCS5,TF128PSIMT5RM,33178,TCAPP00020ILD,GSM,Queued,TCAPP00029ILD
New,TCHUH891GR,TF64PSIMT5RM,33178,TCAPP00040ILD,GSM,Queued,TCAPP40025ILD
New,TCLG441GWHP5,TF128SIMT5,33178,TCAPP40025ILD,GSM,Queued,TCAPP00055ILD
New,TCZEZ667GP5SOP,TF64PSIMT5RM,33178,TCAPP00035ILD,GSM,Queued,TCAPP00055ILD
New,TCZEZ930GP5DU,TF64PSIMT5RM,33178,TCN40025ILD,GSM,Queued,TCAPP00055ILD
New,TCHUH868CRV2,,33178,TCAPP00055ILD,CDMA,Queued,TCAPP00045ILD
New,TCLGL38CWT3PWPV2,,33178,TCAPP00035ILD,CDMA,Queued,TCN40025ILD
New,TCMTW419GP5,TF64SIMT5,33178,TCAPP00029ILD,GSM,Queued,TCAPP00040ILD
New,TCMTEX431GP5,TF64SIMT5,33178,TCAPP00040ILD,GSM,Queued,TCAPP00040ILD
New,TCHUH881CPTGP,,33178,TCAPP00045ILD,CDMA,Queued,TCAPP00040ILD
New,TCHUH867GP5,TF64PSIMT5,33178,TCAPP00035ILD,GSM,Queued,TCAPP00040ILD
New,TCMTEX431GP5,TF64SIMT5,33178,TCAPP00029ILD,GSM,Queued,TCAPP00060ILD
