Status,Part Number,Sim,Zip Code,Pin Card,Cell Tech,Queued?,PIN2
New,TCALA570BGDG,TF128PSIMT5RM,33178,TCAPP00055ILD,GSM,Queued,TCAPP00060ILD
New,TCALA621BGP5DG,TF128PSIMT5RM,33178,TCAPP00055ILD,GSM,Queued,TCAPP00055ILD
New,TCZEZ716BGR,TF128PSIMT5RM,33178,TCAPP00060ILD,CDMA,Queued,TCAPP00060ILD
New,TCHUH891GRCS5,TF64PSIMT5RM,33178,TCAPP00055ILD,GSM,Queued,TCAPP00045ILD
New,TCLG441GWHP5,TF128SIMT5,33178,TCAPP00045ILD,GSM,Queued,TCN40025ILD
New,TCZEZ667GR,TF64PSIMT5RM,33178,TCAPP00035ILD,GSM,Queued,TCAPP00055ILD
New,TCZEZ930GP5,TF64PSIMT5RM,33178,TCAPP00040ILD,GSM,Queued,TCAPP00020ILD
New,TCHUH868CRV2,,33178,TCAPP40025ILD,CDMA,Queued,TCAPP00060ILD
New,TCMTW419G3P5PV2,33178,TCAPP00029ILD,TF64SIMT5,GSM,Queued,TCAPP00029ILD
New,TCMTW419GP5,TF64SIMT5,33178,TCAPP00020ILD,GSM,Queued,TCN40025ILD
New,TCMTEX431GP5,TF64SIMT5,33178,TCAPP00029ILD,GSM,Queued,TCAPP00060ILD
New,TCHUH881CPTGP,,33178,TCAPP00060ILD,CDMA,Queued,TCAPP00040ILD
New,TCHUH867GP5,TF64PSIMT5,33178,TCAPP00045ILD,GSM,Queued,TCAPP00055ILD
New,TCMTEX431GP5,TF64SIMT5,33178,TCN40025ILD,GSM,Queued,TCAPP00045ILD
