From Part,From PIN,From SIM,From Cell,ZIP,To Status,To Part,To SIM,To PIN,ESN or SIM?,During PIN
TCLG441GP5,TCAPP40025ILD,TF128SIMT5,GSM,33178,New,TCZEZ828TGP5P,TF128PSIMT5N,TCAPP00045ILD,ESN,
TCMTXT939GP5V2,TCAPP00060ILD,TF64PSIMT5RM,GSM,33178,New,TCALA570BGR,TF128PSIMT5RM,TCAPP00020ILD,ESN,
TCLGL38C,TCAPP00055ILD,,CDMA,33178,New,TCALA621BGP5P,TF128PSIMT5RM,TCAPP00045ILD,ESN,
TCLGL38C,TCAPP40025ILD,,CDMA,33178,New,TCZEZ716BGR5,TF128PSIMT5RM,TCAPP00020ILD,ESN,
TCMTXT939GP5V2,TCAPP40025ILD,TF64PSIMT5RM,GSM,33178,New,TCZEZ753GR,TF64PSIMT5RM,TCAPP00045ILD,ESN,
TCSAM828CP,TCAPP00050ILD,,CDMA,33178,New,TCZEZ753GP,TF64PSIMT5RM,TCAPPUNLILD60,SIM,
TCLG441GP5,TCAPP00045ILD,TF128SIMT5,GSM,33178,New,TCHUH891GP5,TF64PSIMT5RM,TCAPP40025ILD,ESN,
TCMTXT939GP5V2,TCAPP00060ILD,TF64PSIMT5RM,GSM,33178,Active,TCHUH891GR5,TF64PSIMT5RM,TCAPP00045ILD,ESN,
TCLG441GP5,TCAPP00035ILD,TF128SIMT5,GSM,33178,New,TCZEZ753GRCS5,TF64PSIMT5RM,TCAPPUNLILD60,ESN,
TCLG441GRCS,TCAPP00040ILD,TF128SIMT5,GSM,33178,New,TCZEZ753G3P5P,TF64PSIMT5RM,TCAPP00020ILD,SIM,
TCMTXT939GP5V2,TCAPP00055ILD,TF64PSIMT5RM,GSM,33178,New,TCZEZ667G,TF64PSIMT5RM,TCAPP00035ILD,ESN,
TCSAM828CP,TCAPP40025ILD,,CDMA,33178,New,TCLG440GP5DG,TF64SIMT5,TCAPP00055ILD,ESN,
TCMTXT939GP5V2,TCAPP00040ILD,TF64PSIMT5RM,GSM,33178,New,TCLG440GWHP,TF64SIMT5,TCAPP00060ILD,SIM,
TCLGL38C,TCAPP00020ILD,,CDMA,33178,New,TCZEZ930GR5,TF64PSIMT5RM,TCAPP40025ILD,ESN,
TCMTXT939GP5V2,TCAPP40025ILD,TF64PSIMT5RM,GSM,33178,New,TCZEZ930GRCS5,TF64PSIMT5RM,TCAPP00029ILD,SIM,
