Status,Part Number,Sim,Zip,Pin,Cell Tech,ILD Part
New,TCALA621BG3P5,TF128PSIMT5RM,33178,TCN40025ILD,GSM,TCAPP60010ILD
New,TCZEZ716BG3P5P,TF128PSIMT5RM,33069,TCAPP00040ILD,CDMA,TCAPP60010ILD
New,TCZEZ753GP5P,TF64PSIMT5RM,33178,TCAPPUNL45,GSM,TCAPP60010ILD
New,TCSAM828CP,,33069,TCN40025ILD,CDMA,TCAPP00055ILD
New,TCSAM828CP,,33069,TCAPP00035ILD,CDMA,TCAPP60010ILD
New,TCMTW419GP5,TF64SIMT5,33069,TCAPP00045ILD,GSM,TCAPP60010ILD
New,TCMTEX431GP5,TF64SIMT5,33069,TCAPP60010ILD,GSM,TCAPP60010ILD
New,TCSAS738CPTGP,,33178,TCAPP00040ILD,CDMA,TCAPP60010ILD
New,TCLGL38CDG,,33178,TCAPP00055ILD,CDMA,TCAPP60010ILD
New,TCSAS275GBK3P5,TF64SIMT5,33178,TCAPP00060ILD,GSM,TCAPP60010ILD
New,TCHUH867GP4,TF64PSIMT5,33178,TCAPP40025ILD,GSM,TCAPP60010ILD
New,TCMTXT939GWHP5,TF64PSIMT5RM,33178,TCAPP00040ILD,GSM,TCAPP60010ILD
New,TCZEZ768GWHP5,TF64PSIMT5,33178,TCAPP00020ILD,GSM,TCAPP60010ILD
