Status,Part Number,Sim,Zip,Pin,Cell Tech,ILD Part
New,TCALA570BGP5P,TF128PSIMT5RM,33178,TCAPP00020ILD,GSM,TCAPP60010ILD
New,TCZEZ716BGP5P,TF128PSIMT5RM,33178,TCAPP00020ILD,GSM,TCAPP60010ILD
New,TCLG441GDG,TF128SIMT5,33178,TCAPP00029ILD,GSM,TCAPP60010ILD
New,PHTC128PSIMT5NB,TF128PSIMT5NB,33178,TCAPP00060ILD,GSM,TCAPP60010ILD
New,TCSAM828CP,,33069,TCAPP40025ILD,CDMA,TCAPP60010ILD
New,TCMTW419GP5,TF64SIMT5,33069,TCAPP00045ILD,GSM,TCAPP60010ILD
New,TCMTEX431GP5,TF64SIMT5,33069,TCAPP00035ILD,GSM,TCAPP60010ILD
New,TCHUH868CPTGP,,33178,TCAPP00055ILD,CDMA,TCAPP60010ILD
New,TCLGL38C3PWP,,33178,TCAPP40025ILD,CDMA,TCAPP60010ILD
New,TCSAS275GBK3P4,TF64SIMT5,33178,TCAPP00055ILD,GSM,TCAPP60010ILD
New,TCHUH867G3P5,TF64PSIMT5,33178,TCAPP00045ILD,GSM,TCAPP60010ILD
New,TCMTXT939GWHP5,TF64PSIMT5RM,33178,TCAPP00040ILD,GSM,TCAPP60010ILD
New,TCZEZ768G3P5P,TF64PSIMT5,33178,TCN40025ILD,GSM,TCAPP60010ILD
