Status,Part,SIM,ZIP,Cell Tech,Old Plan,Card,Queued?,New Plan
New,TCZEZ828TGP5DU,TF128PSIMT5N,33178,GSM,Plan Extended Nation de $25,Discover,Now,Plan Extended Nation de $60
New,TCZEZ716BGP5SP,TF128PSIMT5RM,33178,GSM,Plan Extended Nation de $60,Discover,Now,Plan Ilimitado Internacional** de $40
New,TCZEZ753GWHP,TF64PSIMT5RM,33178,GSM,Plan Extended Nation de $25,Discover,Now,Plan Extended Nation de $60
New,TCHUH891GWHP5,TF64PSIMT5RM,33178,GSM,Plan Extended Nation de $60,Discover,Now,Plan Extended Nation de $30
New,TCZEZ753GWHP5,TF64PSIMT5RM,33178,GSM,Plan Extended Nation de $55,Discover,Now,Plan Extended Nation de $20
New,TCLG441GDG,TF128SIMT5,33178,GSM,Plan Extended Nation de $40,Visa,Now,$35 Unlimited International** Borderless Plan
New,TCZEZ753GP5,TF64PSIMT5RM,33178,GSM,Plan Ilimitado Internacional** de $40,Discover,Later,Plan Ilimitado Internacional** de $40
New,TCZEZ667GP5-5,TF64PSIMT5RM,33178,GSM,Plan Extended Nation de $30,Visa,Now,Plan Extended Nation de $60
New,TCLG440GP5,TF64SIMT5,33178,GSM,Plan Extended Nation de $25,Visa,Now,Plan Extended Nation de $55
New,TCZEZ930G3P5,TF64PSIMT5RM,33178,GSM,Plan Extended Nation de $20,Visa,Later,Plan Extended Nation de $40
New,PHTC64PSIMT5MB,TF64PSIMT5MB,33178,GSM,Plan Extended Nation de $60,Discover,Now,Plan Ilimitado Internacional** de $40
New,TCMTXT939GRCSV2,TF64PSIMT5RM,33178,GSM,Plan Extended Nation de $55,Visa,Now,Plan Extended Nation de $30
New,TCZEZ795GWHP5V2,TF64PSIMT5RM,33178,GSM,Plan Extended Nation de $40,Discover,Now,Plan Basico Internacional de $25
