Part Number,SimNumber,Zip Code,PIN,Other Parts,ChildSim,# of Intial Devices,# of Added Devices
TWZEZ558VCPWP,TF256PSIMV9N,33178,TWAPP00060,,,1,1
TWAPIXC64SVR.2,TF256PSIMV9N,33178,TWAPP00085,,,1,1
TWAPI8C64SVP.2,TF256PSIMV9N,33178,TWAPP00060,,,1,1
TWAPI8PC64GYPWP.2,TF256PSIMV9N,33178,TWAPP00060,,,1,1
TWSAN950U1CPSP,TF256PSIMV9N,33178,TWAPP00085,TWLGL84VC3PWP,TF256PSIMV9N,1,1
TWZEZ899VCPSP,TF256PSIMV9RM,33178,TWAPP00060,TWZEZ899VCPTGP,TF256PSIMV9RM,1,1
TWZEZ719DCPTGP,TF256PSIMV9N,33178,TWAPP00060,TWZEZ719DCPWP,TF256PSIMV9N,1,1
TWLGL84VCPWP,TF256PSIMV9N,33178,TWAPP00060,TWLGL84VC3PWP,TF256PSIMV9N,1,1
TWSAS327VCPWP,TF256PSIMV9N,33178,TWAPP00085,TWSAS327VC3PWP,TF256PSIMV9N,1,1
TWZEZ799VCP-5,TF256PSIMV9RM,33178,TWNS00060,TWALA394CPWP,,1,1
TWSAS907VCWHP,TF256PSIMV9N,33178,TWAPP00110,TWSAS968C,,3,1
TWLG238CR,,33178,TWAPP00085,TWALA394CPWP,,1,1
TWSAS320VCRCS,TF256PSIMV9N,33178,TWP00060,TWSAS968C,,1,1
TWLGL56VCP,TF256PSIMV9N,33178,TWAPP00085,TWALA394CPWP,,2,1
TWSAS935DCSVWHP,TF256PSIMV9N,33178,TWAPP00110,TWSAS968C,,1,1
TWSAS820C,TF256PSIMV9RM,33178,TWAPP00060,TWALA394CPWP,,1,1
TWLGLRS988VCWHP,TF256PSIMV9N,33178,TWAPP00060,TWSAS968C,,1,1
TWHUH1511DCWHP,TF256PSIMV9N,33178,TWAPP00060,TWALA394CPWP,,1,1
TWAPISEC16SVP,TF256PSIMV9N,33178,TWP00060,TWSAS968C,,1,1
TWALA571VCRCS,TF256PSIMV9RM,33178,TWAPP00085,TWALA394CPWP,,1,1
TWAPI6C16GYWHP,TF256PSIMV9N,33178,TWAPP00110,TWSAS968C,,3,1
TWAPI6PC16GYWHP,TF256PSIMV9N,33178,TWNS00060,TWALA394CPWP,,1,1
TWZEZ717VCWHP,TF256PSIMV9RM,33178,TWNS00060,TWALA394CPWP,,1,1
TWZEZ963VCPWP,TF256PSIMV9N,33178,TWAPP00110,TWMTXT830CPWP,,2,2
TWSAG930VCPWP,TF256PSIMV9N,33178,TWAPP00110,TWSAS968C,,3,1
TWAPI5SC16SVPWP,TF256PSIMV9N,33178,TWNS00060,TWALA394CPWP,,1,1
TWLGL82VCPWP,TF256PSIMV9N,33178,TWAPP00110,TWMTXT830CPWP,,2,2
TWLGL62VCR,TF256PSIMV9N,33178,TWAPP00110,TWSAS968C,,3,1
TWLGL44VCWHP,TF256PSIMV9N,33178,TWNS00060,TWALA394CPWP,,1,1
TWZEZ819C,TF256PSIMV9RM,33178,TWP00085,TWAPI6SPC16RGPWP,TF256PSIMV9N,1,1
TWLGL52VCRCS,TF256PSIMV9N,33178,TWAPP00110,TWMTXT830CPWP,,2,2
TWSAS906CRCS,TF256PSIMV9N,33178,TWNS00060,TWALA394CPWP,,1,1
TWAPI6SPC16SVPWP,TF256PSIMV9N,33178,TWAPP00110,TWLGL22CP,,1,2
TWAPI6SPC16RGPWP,TF256PSIMV9N,33178,TWAPP00110,TWSAS968C,,3,1
TWALA462CP,,33178,TWP00060,TWALA394CPWP,,1,1
TWZEZ752CP,,33178,TWAPP00110,TWLGL22CP,,1,1
TWSAS336CR,,33178,TWP00060,TWSAS968C,,1,1
TWUXU671C,,33178,TWNS00060,TWALA564CPWP,,1,1
TWALA564CPWP,,33178,TWAPP00110,TWMTXT830CPWP,,2,2
TWUXU240C,,33178,TWP00060,TWUXU671C,,1,1
TWALA564CP,,33178,TWN00110,TWMTXT830CPWP,,3,1
TWSAS968C,,33178,TWP00060,TWZEZ750CP,,1,1
