Part Number,SimNumber,Zip Code,PIN,Other Parts,ChildSim,# Devices,PIN 2,Queued?
TWZEZ558VCDG,TF256PSIMV9N,33178,TWAPP00110,TWSAS727VCPRS,TF256PSIMV9N,2,TWAPP00110,Now
TWAPIXC64SV2R.2,TF256PSIMV9N,33178,TWAPP00085,TWZEZ719DCFDP,TF256PSIMV9N,2,TWAPP00110,Now
TWAPI8C64GDP.2,TF256PSIMV9N,33178,TWAPP00085,TWSAS327VCPDG,TF256PSIMV9N,2,TWAPP00110,Now
TWAPI8PC64SVP.2,TF256PSIMV9N,33178,TWAPP00110,TWSAS727VCPRS,TF256PSIMV9N,2,TWAPP00110,Now
TWSAN950U1CFDP,TF256PSIMV9N,33178,TWAPP00085,TWZEZ719DCFDP,TF256PSIMV9N,2,TWAPP00060,Now
TWZEZ899VC3P,TF256PSIMV9RM,33178,TWAPP00110,TWZEZ899VCFDP,TF256PSIMV9RM,2,TWAPP00060,Now
TWZEZ719DCFDP,TF256PSIMV9N,33178,TWAPP00110,TWZEZ719DCPRS,TF256PSIMV9N,2,TWAPP00060,Now
TWSAG955UCSVPWP,TF256PSIMV9N,33178,TWAPP00110,TWSAG955UCSV3PWP,TF256PSIMV9N,2,TWAPP00060,Now
TWSAG950UC3P,TF256PSIMV9N,33178,TWAPP00060,TWSAG950UCFDP,TF256PSIMV9N,2,TWAPP00110,Now
TWLGL84VCPAS,TF256PSIMV9N,33178,TWAPP00035,TWLGL84VCPRS,TF256PSIMV9N,2,TWAPP00085,Now
TWSAS327VCPRS,TF256PSIMV9N,33178,TWAPP00035,TWSAS327VCPDG,TF256PSIMV9N,2,TWAPP00025,Now
TWSAS727VCFDP,TF256PSIMV9N,33178,TWAPP00060,TWSAS727VCPRS,TF256PSIMV9N,2,TWAPP00110,Now
TWZEZ986DCFDP,TF256PSIMV9N,33178,TWAPP00025,TWZEZ986DCPRS,TF256PSIMV9N,2,TWAPP00060,Now
TWZEZ799VCFDP,TF256PSIMV9RM,33178,TWP00085,TWLGL22CWHP,,2,TWP00025,Now
TWSAS907VCPWP,TF256PSIMV9N,33178,TWN00110,TWLGL22CWHP,,2,TWN00085,Now
TWSAS320VCPWP,TF256PSIMV9N,33178,TWAPP00110,TWALA571VCRCS,TF256PSIMV9RM,2,TWAPP00110,Now
TWLGL56VCRCS,TF256PSIMV9N,33178,TWAPP00110,TWLGL22CWHP,,2,TWAPP00110,Now
TWSAS935DCSVP,TF256PSIMV9N,33178,TWN00085,TWAPISEC16SV,TF256PSIMV9N,2,TWAPP00110,Now
TWSAS820CWHP,TF256PSIMV9RM,33178,TWAPP00110,TWLGL22CWHP,,2,TWAPP00110,Now
TWHUH1511DCRCS,TF256PSIMV9N,33178,TWAPP00110,,,1,TWAPP00110,Now
TWLGLRS988VCRCS,TF256PSIMV9N,33178,TWAPP00110,TWLGL22CWHP,,2,TWAPP00110,Now
TWAPISEC16SV,TF256PSIMV9N,33178,TWN00085,TWLGL22CWHP,,2,TWAPP00110,Now
TWALA571VCRCS,TF256PSIMV9RM,33178,TWPS00035,,,1,TWP00060,Queued
TWAPI6C16GYR,TF256PSIMV9N,33178,TWN00110,,,1,TWN00085,Now
TWAPI6PC16GYR,TF256PSIMV9N,33178,TWN00110,TWLGL22CWHP,,2,TWN00085,Now
TWZEZ717VCPWP,TF256PSIMV9RM,33178,TWP00085,TWLGL22CWHP,,2,TWN00085,Now
TWZEZ963VCP,TF256PSIMV9N,33178,TWP00085,TWLG236C,,3,TWN00085,Queued
TWSAG930VCP,TF256PSIMV9N,33178,TWN00110,TWSAS968C,,1,TWN00085,Now
TWAPI5SC16GYP,TF256PSIMV9N,33178,TWN00110,TWLGL22CWHP,,2,TWN00085,Now
TWLGL82VCWHP,TF256PSIMV9N,33178,TWP00060,TWLG236C,,2,TWN00085,Queued
TWLGL44VCRCS,TF256PSIMV9N,33178,TWP00085,TWSAS968C,,2,TWP00085,Queued
TWZEZ819CR,TF256PSIMV9RM,33178,TWPS00035,TWMTXT830CPWP,,1,TWP00060,Queued
TWLGL52VCPWP,TF256PSIMV9N,33178,TWP00060,TWLGL22CWHP,,2,TWN00085,Now
TWSAS906CRCS,TF256PSIMV9N,33178,TWP00060,TWLG236C,,2,TWN00085,Now
TWAPI6SPC16SVR,TF256PSIMV9N,33178,TWP00085,TWSAS968C,,3,TWP00085,Queued
TWLG109CRCS,,33178,TWP00060,TWUXU671C,,2,TWP00060,Queued
TWALA394CPWP,,33178,TWPS00035,,,1,TWP00060,Now
TWLGL16CPWP,,33178,TWP00060,TWUXU671C,,2,TWN00085,Queued
TWLGL22CP,,33178,TWP00060,TWLGL22CWHP,,2,TWN00085,Now
TWSAS336CWHP,,33178,TWP00060,TWLG236C,,2,TWP00060,Queued
TWUXU671C,,33178,TWP00025,,,1,TWP00060,Queued
TWALA564CPWP,,33178,TWPS00035,,,1,TWPS00035,Queued
TWUXU240C,,33178,TWP00060,TWUXU671C,,1,TWPS00035,Now
TWZEZ837VCP,TF256PSIMV9N,33178,TWAPP00085,,,1,TWAPP00060,Now
TWLGL64VCP,TF256PSIMV9N,33178,TWAPP00110,TWAPP00035,,2,TWAPP00085,Queued
