ZipCode,Carrier,Status,Pin,SIM,Is LTE,Is Iphone,Dealer,IsHD?
33178,RSS,Not Active,TWAPP00035,TF256PSIMV9ND,Yes,Yes,20060,Yes
33178,RSS,Not Active,TWAPP00060,TF256PSIMV9DD,Yes,Yes,20060,Yes
33178,RSS,Not Active,TWAPP00085,TF256PSIMV9TD,Yes,Yes,20060,Yes
33178,RSS,Not Active,TWAPP00085,TF256PSIMV9ND,Yes,No,20060,Yes
33178,RSS,Not Active,TWAPP00085,TF256PSIMV9DD,Yes,No,20060,Yes
33178,RSS,Not Active,TWAPP00085,TF256PSIMV9TD,Yes,No,20060,Yes
33178,RSS,Not Active,TWAPP00085,TF256PSIMV9ND,Yes,Yes,20060,No
33178,RSS,Not Active,TWAPP00060,TF256PSIMV9DD,Yes,Yes,20060,No
33178,RSS,Not Active,TWAPP00060,TF256PSIMV9TD,Yes,Yes,20060,No
33178,RSS,Not Active,TWAPP00035,TF256PSIMV9ND,Yes,No,20060,No
33178,RSS,Not Active,TWAPP00035,TF256PSIMV9DD,Yes,No,20060,No
33178,RSS,Not Active,TWAPP00110,TF256PSIMV9TD,Yes,No,20060,No
33178,RSS,Not Active,TWAPP00110,,No,No,20060,No
33178,RSS,Not Active,TWAPP00110,,No,Yes,20060,No
