ZipCode,Carrier,Status,Pin1,SIM,Is LTE,Is Iphone,IsHd?
33178,RSS,Not Active,TWAPP00035,TF256PSIMV9ND,Yes,Yes,Yes
33178,RSS,Not Active,TWAPP00085,TF256PSIMV9TD,Yes,Yes,Yes
33178,RSS,Not Active,TWAPP00085,TF256PSIMV9ND,Yes,No,Yes
33178,RSS,Not Active,TWAPP00085,TF256PSIMV9DD,Yes,No,Yes
33178,RSS,Not Active,TWAPP00085,TF256PSIMV9TD,Yes,No,Yes
33178,RSS,Not Active,TWAPP00085,TF256PSIMV9ND,Yes,Yes,No
33178,RSS,Not Active,TWAPP00060,TF256PSIMV9TD,Yes,Yes,No
33178,RSS,Not Active,TWAPP00035,TF256PSIMV9ND,Yes,No,No
33178,RSS,Not Active,TWAPP00035,TF256PSIMV9DD,Yes,No,No
33178,RSS,Not Active,TWAPP00110,TF256PSIMV9TD,Yes,No,No
33178,RSS,Not Active,TWAPP00110,,No,No,No
33178,RSS,Not Active,TWAPP00110,,No,Yes,No
