Part Number,Sim Card,Zip Code,Pin Card,Cell Tech,Card Type
TFLGL48VCFDP,TF256PSIMV9N,33178,TFN0001Y,CDMA,Visa
TFLGL57BGFDP4,TF128PSIMC4N,33178,TFN00060,GSM,Visa
TFLGL58VCFDP,TF256PSIMV9N,33178,TSAPP40300,CDMA,Visa
TFZEZ233VCGYPAS,TF256PSIMV9RM,33178,TFSAPP1SPH090,CDMA,Visa
TFZEZ232TGGY3P5,TF128PSIMT5RM,33178,TFSAPP1SPH1500,GSM,American Express
TFLG108CDMPDGSV,,33178,TFSAPP1SPH200,CDMA,Discover
TFLG238CDMPSP,,63552,TFSAPP1SPH750,CDMA,American Express
TFSAG930VCP-5,TF256PSIMV9N,33178,TFN0001Y,CDMA,Visa
TFAPI5SG16GYP4,TF128PSIMC4N,33178,TFN00060,GSM,American Express
TFAPI5SC16GYWHP,TF256PSIMV9N,33178,TSAPP40300,CDMA,Discover
TFAPI6C16SV,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,Visa
TFAPI6PC16SV,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,American Express
TFAPI6SG16GYP4,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,Discover
TFAPI6SC16GDR,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,Visa
TFAPI6SPG16GYR,TF128PSIMC4N,33178,TFSAPP1SPH750,GSM,American Express
TFAPI6SPC16SVWHP,TF256PSIMV9N,33178,TFN0001Y,CDMA,Discover
TFLGLRS988VCPSP,TF256PSIMV9N,33178,TFN00060,CDMA,Visa
TFHUH1511DGSVR,TF128PSIMT5N,33178,TSAPP40300,GSM,American Express
TFHUH1511DCPTGP,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,Discover
TFAPISEG16SVP4P,TF128PSIMC4N,33178,TFSAPP1SPH1500,GSM,American Express
TFAPISEC16SVR,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,Discover
TFALA571VC,TF256PSIMV9RM,33178,TFSAPP1SPH500,CDMA,Visa
TFALA570BG,TF128PSIMC4RM,33178,TFSAPP1SPH750,GSM,Discover
TFZEZ717VCP,TF256PSIMV9RM,33178,TFN00060,CDMA,Discover
TFZEZ962BG,TF128PSIMC4N,33178,TSAPP40300,GSM,Visa
TFLGL51AGWHP,TF128PSIMC4N,33178,TFSAPP1SPH090,GSM,Visa
TFLGL44VCPFMP,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,Discover
TFALA845GP4FMP,TF64PSIMC4,33178,TFSAPP1SPH200,GSM,Discover
TFZEZ716BG3P5,TF128PSIMT5RM,33178,TFSAPP1SPH500,GSM,American Express
TFLGL52VCPRS,TF256PSIMV9N,33178,TFSAPP1SPH750,GSM,Visa
TFLG329GDMP7,TF64SIMCL7,00692,TFN00060,GSM,Visa
TFALA450TGP5DG,TF128PSIMT5RM,33178,TSAPP40300,GSM,Discover
TFSAS902C3P,TF256PSIMV9RM,33178,TFSAPP1SPH090,CDMA,Visa
TFZEZ667GP5-5,TF128PSIMT5RM,33178,TFSAPP1SPH1500,GSM,American Express
TFALA463BGP5P,TF128PSIMT5RM,33178,TFSAPP1SPH200,GSM,American Express
TFSAS906CPAS,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,Discover
TFZEZ955GRCS4,TF128PSIMC4RM,33178,TFSAPP1SPH750,GSM,Visa
TFLCPOAI5SGP5,TF128PSIMT5N,33178,TFN00060,GSM,Visa
TFLGL16CDG,,33178,TSAPP40300,CDMA,Visa
TFSAS777CDG,,33178,TFSAPP1SPH090,CDMA,Visa
TFSAS978CWTP,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,Visa
