Part Number,Sim Card,Zip Code,Pin Card,Cell Tech,Pin Card2,Pin Card3,Status
TFLGL48VCP,TF256PSIMV9N,33178,TFN0001Y,CDMA,,,New
TFLGL58VCDG,TF256PSIMV9N,33178,TFN00060,CDMA,,,New
TFZEZ233VCGYP,TF256PSIMV9RM,33178,TSAPP40300,CDMA,,,New
TFLG108CDMPSV,,33178,TFSAPP1SPH090,CDMA,,TFN0001Y,New
TFSAS320VCP,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,,TFN0001Y,New
TFSAS907VCPAP2,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,,TFN0001Y,New
TFSAG930VCPDU,TF256PSIMV9N,33178,TFN00060,CDMA,,,New
TFAPI5SC16SVR,TF256PSIMV9N,33178,TSAPP40300,CDMA,,,New
TFAPI6C16GYR,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,,,New
TFAPI6PC16SVR,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,,,New
TFAPI6SC16GYPWP,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,,,New
TFAPI6SPC16GYP,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,,,New
TFLGLRS988VC3PWP,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,,,New
TFHUH1511DCPAS,TF256PSIMV9N,33178,TFN0001Y,CDMA,,,New
TFAPISEC16SVP,TF256PSIMV9N,33178,TFN00060,CDMA,,TFN0001Y,New
TFALA571VCPSP,TF256PSIMV9RM,33178,TSAPP40300,CDMA,,,New
TFALA846CPAS,TF256PSIMV9RM,33178,TFSAPP1SPH090,CDMA,,,New
TFZEZ717VCPRS,TF256PSIMV9RM,33178,TFSAPP1SPH1500,CDMA,,,New
TFZEZ963VCP,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,,,New
TFLGL82VC3PWP,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,,TFN0001Y,New
TFLGL62VCP-5,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,,,New
TFLGL44VCDG,TF256PSIMV9N,33178,TFN0001Y,CDMA,,,New
TFALA462CPWP,,33178,TFN00060,CDMA,,,New
TFZEZ819C3PWP,TF256PSIMV9RM,33178,TSAPP40300,CDMA,,,New
TFSAS777C,,33178,TFSAPP1SPH090,CDMA,,,New
TFLGL16CP-5,,33178,TFSAPP1SPH1500,CDMA,,,New
TFSAS766CP,,33178,TFSAPP1SPH200,CDMA,,,New
TFLG221CPDM,,33178,TFSAPP1SPH750,CDMA,,,New
TFLG501CPDM,,33178,TFN0001Y,CDMA,,,New
TFSAS380CTMP,,33178,TFN00060,CDMA,,,New
TFSAS738CWHP,,33178,TSAPP40300,CDMA,,,New
TFLG238CDMPAS,,63552,TFSAPP1SPH090,CDMA,,,New
TFZEZ837VC,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,,,New
TFLGL64VC,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,,,New
TFZEZ799VCDG,TF256PSIMV9RM,33178,TFSAPP1SPH500,CDMA,,,New
