PartNumber,SimNumber,ZipCode,Card,Cardtype,CellType,Promo,Status,Reoccuring?
TFLGL48VC3P,TF256PSIMV9N,33178,450 Minutes,American Express,CDMA,FALSE,New,One-Time
TFLGL57BGP5,TF128PSIMC4N,33178,500 Minutes,Visa,GSM,TRUE,New,Reoccuring
TFLGL58VCP,TF256PSIMV9N,33178,750 Minutes,Visa,CDMA,TRUE,New,One-Time
TFZEZ233VCGY3P,TF256PSIMV9RM,33178,200 Minutes,American Express,CDMA,FALSE,New,Reoccuring
TFSAS907VCPAS,TF256PSIMV9N,33178,300 Minutes,Visa,CDMA,FALSE,New,One-Time
TFZEZ861BG3P5,TF128PSIMT5N,33178,120 Minutes,American Express,GSM,TRUE,New,Reoccuring
TFSAS550TGP5,TF128PSIMT5N,33178,500 Minutes,Visa,GSM,TRUE,New,One-Time
TFSAS320VCPSP,TF256PSIMV9N,33178,750 Minutes,American Express,CDMA,FALSE,New,Reoccuring
TFLG238CDMP-5,,63552,200 Minutes,Discover,CDMA,TRUE,New,One-Time
TFSAG930VCPWP,TF256PSIMV9N,33178,1500 Minutes,Visa,CDMA,TRUE,New,Reoccuring
TFAPI5SG16GYR,TF128PSIMC4N,33178,120 Minutes,American Express,GSM,TRUE,New,One-Time
TFAPI5SC16GYP,TF256PSIMV9N,33178,750 Minutes,Discover,CDMA,FALSE,New,Reoccuring
TFAPI6C16GYP,TF256PSIMV9N,33178,300 Minutes,Visa,CDMA,TRUE,New,One-Time
TFAPI6PC16GY,TF256PSIMV9N,33178,120 Minutes,American Express,CDMA,TRUE,New,Reoccuring
TFAPI6SG16GDP4P,TF128PSIMC4N,33178,300 Minutes,Discover,GSM,TRUE,New,One-Time
TFAPI6SC16RGP,TF256PSIMV9N,33178,750 Minutes,Visa,CDMA,FALSE,New,Reoccuring
TFAPI6SPG16SVWHP4,TF128PSIMC4N,33178,120 Minutes,American Express,GSM,TRUE,New,One-Time
TFAPI6SPC16GYWHP,TF256PSIMV9N,33178,450 Minutes,Discover,CDMA,FALSE,New,Reoccuring
TFLGLRS988VCR,TF256PSIMV9N,33178,1500 Minutes,Visa,CDMA,FALSE,New,One-Time
TFHUH1511DGSVP5DG,TF128PSIMT5N,33178,500 Minutes,American Express,GSM,TRUE,New,Reoccuring
TFHUH1511DCPSP,TF256PSIMV9N,33178,120 Minutes,Discover,CDMA,TRUE,New,One-Time
TFAPISEG16SVR,TF128PSIMC4N,33178,500 Minutes,American Express,GSM,TRUE,New,Reoccuring
TFAPISEC16SVP,TF256PSIMV9N,33178,120 Minutes,Visa,CDMA,TRUE,New,One-Time
TFALA571VCPWP,TF256PSIMV9RM,33178,1500 Minutes,Visa,CDMA,FALSE,New,Reoccuring
TFALA570BGP4-5,TF128PSIMT5RM,33178,200 Minutes,American Express,GSM,TRUE,New,One-Time
TFALA846CPRS,TF256PSIMV9RM,33178,120 Minutes,Visa,CDMA,TRUE,New,Reoccuring
TFZEZ717VCP-5,TF256PSIMV9RM,33178,450 Minutes,Visa,CDMA,TRUE,New,One-Time
TFZEZ962BG3P5P,TF128PSIMC4N,33178,1500 Minutes,American Express,GSM,FALSE,New,Reoccuring
TFZEZ963VCPDU,TF256PSIMV9N,33178,120 Minutes,Discover,CDMA,TRUE,New,One-Time
TFALA621BGWHP5,TF128PSIMC4RM,33178,200 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFLGL82VC3P,TF256PSIMV9N,33178,400 Minutes,Visa,CDMA,FALSE,New,One-Time
TFLGL81AGR4,TF128PSIMC4N,33178,400 Minutes,American Express,GSM,TRUE,New,One-Time
TFLGL62VCPDU,TF256PSIMV9N,33178,120 Minutes,Visa,CDMA,TRUE,New,One-Time
TFLGL61AGDG,TF128PSIMC4N,33178,450 Minutes,Discover,GSM,FALSE,New,Reoccuring
TFLGL51AG3P4P,TF128PSIMC4N,33178,60 Minutes,Visa,GSM,TRUE,New,One-Time
TFLGL44VCP-5,TF256PSIMV9N,33178,450 Minutes,Mastercard,CDMA,TRUE,New,Reoccuring
TFALA845GP4DU,TF64PSIMC4,33178,450 Minutes,Visa,GSM,FALSE,New,One-Time
