Part Number,Sim Card,Zip Code,Pin Card,Cell Tech,Purchase Type,Card Type
TFLGL48VCP-5,TF256PSIMV9N,33178,TFN0001Y,CDMA,Enroll in Auto Refill,Visa
TFLGL57BG3P5,TF128PSIMT5N,33178,TFN00060,GSM,One Time Purchase,Discover
TFLGL58VCFDP,TF256PSIMV9N,33178,TSAPP40300,CDMA,Enroll in Auto Refill,American Express
TFZEZ233VCGYP-5,TF256PSIMV9RM,33178,TFSAPP1SPH090,CDMA,One Time Purchase,Visa
TFLG108CDMPDUSV,,33178,TFSAPP1SPH1500,CDMA,Enroll in Auto Refill,Visa
TFZEZ232TGGYDG,TF128PSIMT5RM,33178,TFSAPP1SPH200,CDMA,One Time Purchase,Discover
TFZEZ861BGP4,TF128PSIMC4N,33178,TFSAPP1SPH500,GSM,Enroll in Auto Refill,Visa
GPAPI6PG16SVWHP,TF128PSIMC4N,33178,TFSAPP1SPH750,CDMA,One Time Purchase,Discover
TFSAS550TGP5DG,TF128PSIMT5N,33178,TFN0001Y,GSM,Enroll in Auto Refill,American Express
TFSAG930VCDG,TF256PSIMV9N,33178,TFN00060,CDMA,Enroll in Auto Refill,Visa
TFAPI5SG16SVR,TF128PSIMC4N,33178,TSAPP40300,GSM,One Time Purchase,American Express
TFAPI5SC16GY,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,One Time Purchase,Discover
TFAPI6C16SVWHP,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,Enroll in Auto Refill,Visa
TFAPI6PC16GYR,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,One Time Purchase,American Express
TFAPI6SG16RGR4,TF128PSIMC4N,33178,TFSAPP1SPH500,GSM,One Time Purchase,Discover
TFAPI6SC16SVP,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,Enroll in Auto Refill,Visa
TFAPI6SPG16RGP,TF128PSIMC4N,33178,TFN0001Y,GSM,One Time Purchase,American Express
TFAPI6SPC16GDR,TF256PSIMV9N,33178,TFN00060,CDMA,Enroll in Auto Refill,Discover
TFLGLRS988VCP,TF256PSIMV9N,33178,TSAPP40300,CDMA,One Time Purchase,Visa
TFHUH1511DGSVDG,TF128PSIMT5N,33178,TFSAPP1SPH090,GSM,Enroll in Auto Refill,American Express
TFHUH1511DCPFMP,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,One Time Purchase,Discover
TFAPISEG16SVP4,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,Enroll in Auto Refill,Visa
TFAPISEC16SVP,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,One Time Purchase,Discover
TFALA846CPFMP,TF256PSIMV9RM,33178,TFSAPP1SPH750,CDMA,One Time Purchase,Discover
TFALA570BGR5,TF128PSIMC4RM,33178,TFN0001Y,GSM,Enroll in Auto Refill,Visa
TFALA571VCPDU,TF256PSIMV9RM,33178,TFN00060,CDMA,One Time Purchase,Visa
TFZEZ717VCPDG,TF256PSIMV9RM,33178,TSAPP40300,CDMA,One Time Purchase,Discover
TFZEZ962BGP,TF128PSIMC4N,33178,TFSAPP1SPH090,GSM,Enroll in Auto Refill,Visa
TFLGL82VCPSP,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,One Time Purchase,Discover
TFLGL81AGP4-5,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,Enroll in Auto Refill,Visa
TFLGL52VC3PWP,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,One Time Purchase,Visa
TFLGL43AGP4,TF128PSIMC4N,33178,TFSAPP1SPH750,GSM,Enroll in Auto Refill,American Express
TFLG329GDMP7P,TF64SIMCL7,00692,TFN0001Y,GSM,One Time Purchase,Discover
TFZEZ955GP5DG,TF128PSIMT5RM,33178,TFN00060,CDMA,One Time Purchase,Visa
TFALA450TG,TF128PSIMT5RM,33178,TSAPP40300,GSM,Enroll in Auto Refill,American Express
