Part Number,SIM,Zip Code,Pin Card,Pin Card1,Pin Card2,Cell Tech,Pin to add,Add ILD,Card Type
TFSAG930VCPDG,TF256PSIMV9N,33178,TFN0001Y,,,CDMA,TFN0001Y,5,Visa
TFAPI5SG16SVP4,TF128PSIMC4N,33178,TFN00060,,,GSM,TSAPP40300,1,American Express
TFAPI5SC16SVPWP,TF256PSIMV9N,33178,TSAPP40300,,,CDMA,TFN0001Y,5,Discover
TFAPI6C16SVP,TF256PSIMV9N,33178,TFSAPP1SPH090,,,CDMA,TFN0001Y,3,Visa
TFAPI6PC16SVP,TF256PSIMV9N,33178,TFSAPP1SPH1500,,,CDMA,TFN00120,3,American Express
TFAPI6SG16RGWHP4,TF128PSIMC4N,33178,TFSAPP1SPH200,,,GSM,TSAPP40300,3,Discover
TFAPI6SC16SVWHP,TF256PSIMV9N,33178,TFSAPP1SPH500,,,CDMA,TFN0001Y,5,Visa
TFAPI6SPG16SVP4P,TF128PSIMC4N,33178,TFSAPP1SPH750,,,GSM,TSAPP40300,1,American Express
TFAPI6SPC16RGPWP,TF256PSIMV9N,33178,TFN0001Y,,,CDMA,TFN0001Y,5,Discover
TFLGLRS988VCPTGP,TF256PSIMV9N,33178,TFN00060,,,CDMA,TFN0001Y,3,Visa
TFHUH1511DGSVP5,TF128PSIMT5N,33178,TSAPP40300,,,GSM,TFN00120,3,American Express
TFHUH1511DCDG,TF256PSIMV9N,33178,TFSAPP1SPH090,,,CDMA,TSAPP40300,1,Discover
TFAPISEC16SVPWP,TF256PSIMV9N,33178,TFSAPP1SPH1500,TSAPP40300,,CDMA,TFN0001Y,5,Discover
TFAPISEG16SVR4,TF128PSIMC4N,33178,TFSAPP1SPH200,,,GSM,TSAPP40300,1,American Express
TFALA846CWHP,TF256PSIMV9RM,33178,TFSAPP1SPH500,,,CDMA,TFN0001Y,5,Visa
TFALA570BGP5DU,TF128PSIMC4RM,33178,TFSAPP1SPH750,,TSAPP40300,GSM,TFN0001Y,3,American Express
TFALA571VCPDG,TF256PSIMV9RM,33178,TFN0001Y,,,CDMA,TFN00120,3,American Express
TFALA621BGP4P,TF128PSIMC4RM,33178,TFN00060,,,GSM,TSAPP40300,3,Visa
TFLGL62VCDG,TF256PSIMV9N,33178,TSAPP40300,TSAPP40300,,CDMA,TFN0001Y,5,Discover
TFLGL61AGP4FMP,TF128PSIMC4N,33178,TFSAPP1SPH090,,,GSM,TSAPP40300,1,American Express
TFALA845GWHP,TF64PSIMC4,33178,TFSAPP1SPH1500,,,GSM,TFN0001Y,5,Visa
TFZEZ716BGP5DG,TF128PSIMT5RM,33178,TFSAPP1SPH200,,TSAPP40300,GSM,TFN0001Y,3,American Express
TFSAS902CP,TF256PSIMV9RM,33178,TFSAPP1SPH500,,,CDMA,TFN00120,3,American Express
TFALA463BGP5DG,TF128PSIMT5RM,33178,TFSAPP1SPH750,,,GSM,TSAPP40300,1,Visa
TFZEZ819CRCS,TF256PSIMV9RM,33178,TFN0001Y,,,CDMA,TFN0001Y,2,Discover
TFLCPOAMOTXGP4,TF128PSIMC4N,33178,TFN00060,,,GSM,TSAPP40300,1,Discover
TF3GCPOADROICP,,33178,TSAPP40300,,,CDMA,TSAPP40300,2,Visa
TFLGL16CPRS,,33178,TFSAPP1SPH090,,,CDMA,TFN0001Y,2,Visa
TFZEZ667GP,TF64PSIMC4RM,33178,TFSAPP1SPH1500,,,GSM,TFN0001Y,1,Visa
TFLGL16CPRS,,33178,TFSAPP1SPH200,,,CDMA,TFN0001Y,2,Visa
TFSAS920CDG,TF256PSIMV9RM,33178,TFSAPP1SPH500,,,CDMA,TFN00200,1,Visa
TFLG441GWHP,TF64SIMCL7,00692,TFSAPP1SPH750,,,GSM,TSAPP40300,2,Visa
TFLG237CDMPSP,,33178,TFN0001Y,,,CDMA,TSAPP40300,1,Visa
TFZEZ837VCP-5,TF256PSIMV9N,33178,TFN00060,,,CDMA,TFN0001Y,1,Visa
TFLGL64VCFDP,TF256PSIMV9N,33178,TSAPP40300,,,CDMA,TFSAPP1SPH500,2,American Express
TFZEZ836BGP4AS,TF128PSIMC4N,33178,TFSAPP1SPH090,,,GSM,TFN0001Y,2,Discover
TFZEZ836BGP5AS,TF128PSIMT5N,33178,TFSAPP1SPH1500,,,GSM,TFSAPP1SPH750,1,Visa
TFZEZ836BG,TF128PSIMCL7N,33178,TFSAPP1SPH200,,,GSM,TFN0001Y,2,Visa
TFZEZ798BGP4AS,TF128PSIMC4RM,33178,TFSAPP1SPH500,,,GSM,TFN0001Y,1,Visa
TFZEZ798BGP5AS,TF128PSIMT5RM,33178,TFSAPP1SPH750,,,GSM,TFN0001Y,2,Visa
TFZEZ798BG,TF128PSIMCL7RM,33178,TFSAPP1SPH750,,,GSM,TFN0001Y,1,Visa
