ESN,SIM,ZIP,Pin,Cell Tech,pin to add
TFLGL48VCPRS,TF256PSIMV9N,33178,TFN0001Y,CDMA,TFN00060
TFLGL57BGP4-5,TF128PSIMT5N,33178,TFN00060,GSM,TSAPP40300
TFLGL58VCPAS,TF256PSIMV9N,33178,TSAPP40300,CDMA,TFSAPP1SPH090
TFZEZ233VCGYPRS,TF256PSIMV9RM,33178,TFSAPP1SPH090,CDMA,TFSAPP1SPH1500
TFZEZ232TGGYP5ET,TF128PSIMT5RM,33178,TFSAPP1SPH1500,CDMA,TFSAPP1SPH200
TFLG108CDMPSPSV,,33178,TFSAPP1SPH200,CDMA,TFSAPP1SPH500
TFLG238CDMPRS,,33178,TFSAPP1SPH500,CDMA,TFSAPP1SPH750
TFSAS320VCP-5,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,TFN0001Y
TFSAS907VCPFMP,TF256PSIMV9N,33178,TFN0001Y,CDMA,TFN00060
TFSAG930VCR,TF256PSIMV9N,33178,TFN00060,CDMA,TSAPP40300
TFAPI5SC16SV,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,TFSAPP1SPH1500
TFAPI6C16GYPWP,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,TFSAPP1SPH200
TFAPI6PC16GYWHP,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,TFSAPP1SPH500
TFAPI6SG16GDR4,TF128PSIMC4N,33178,TFSAPP1SPH500,GSM,TFSAPP1SPH750
TFAPI6SC16SVWHP,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,TFN00060
TFAPI6SPG16GDR4,TF128PSIMC4N,33178,TFN0001Y,GSM,TSAPP40300
TFAPI6SPC16SVP,TF256PSIMV9N,33178,TFN00060,CDMA,TFSAPP1SPH090
TFLGLRS988VC,TF256PSIMV9N,33178,TSAPP40300,CDMA,TFSAPP1SPH1500
TFHUH1511DGSVRCS5,TF128PSIMT5N,33178,TFSAPP1SPH090,GSM,TFSAPP1SPH200
TFHUH1511DCPDU,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,TFSAPP1SPH500
TFAPISEC16SV,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,TFN0001Y
TFALA846CPAP2,TF256PSIMV9RM,33178,TFSAPP1SPH750,CDMA,TFN00060
TFALA570BGRCS5,TF128PSIMT5RM,33178,TFN0001Y,GSM,TSAPP40300
TFALA571VCPTGP,TF256PSIMV9RM,33178,TFN00060,CDMA,TFSAPP1SPH090
TFLGL82VCWHP,TF256PSIMV9N,33178,TSAPP40300,CDMA,TFSAPP1SPH1500
TFLGL81AGDG,TF128PSIMC4N,33178,TFSAPP1SPH090,GSM,TFSAPP1SPH200
TFLGL62VCPFMP,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,TFSAPP1SPH500
TFZEZ716BGDG,TF128PSIMT5RM,33178,TFSAPP1SPH200,GSM,TFSAPP1SPH750
TFLGL52VCP-5,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,TFN00060
TFSAS902CPAS,TF256PSIMV9RM,33178,TFSAPP1SPH750,CDMA,TSAPP40300
TFLCPOAI5SGP5,TF128PSIMT5N,33178,TFN00060,GSM,TFSAPP1SPH1500
TFLGL21GP,TF64PSIMC4RM,33178,TSAPP40300,GSM,TFSAPP1SPH200
PHTF128PSIMC4N,TF128PSIMC4ND,33178,TFSAPP1SPH090,GSM,TFSAPP1SPH500
TFALA460GP4DG,TF64PSIMC4RM,33178,TFSAPP1SPH1500,GSM,TFSAPP1SPH750
TFLGL33GWTP4AS,TF64PSIMC4RM,33178,TFSAPP1SPH200,GSM,TFN0001Y
TFLG237CDMPDU,,33178,TFSAPP1SPH500,CDMA,TFN00060
TFUXU671CPDG,,33178,TFSAPP1SPH750,CDMA,TSAPP40300
TFLG305CTMP,,33178,TFN0001Y,CDMA,TFSAPP1SPH090
TFSAS738CTMP,,33178,TFN00060,CDMA,TFSAPP1SPH1500
TFZEZ837VC3P,TF256PSIMV9N,33178,TSAPP40300,CDMA,TFSAPP1SPH200
TFLGL64VCP,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,TFSAPP1SPH500
TFZEZ836BGFDP4,TF128PSIMC4N,33178,TFSAPP1SPH1500,GSM,TFSAPP1SPH750
TFZEZ836BG3P5,TF128PSIMT5N,33178,TFSAPP1SPH200,GSM,TFN00060
TFZEZ836BG,TF128PSIMCL7N,33178,TFSAPP1SPH500,GSM,TSAPP40300
TFZEZ798BGFDP4,TF128PSIMC4RM,33178,TFSAPP1SPH750,GSM,TFSAPP1SPH090
TFZEZ798BG3P5,TF128PSIMT5RM,33178,TFN0001Y,GSM,TFSAPP1SPH1500
TFZEZ798BG,TF128PSIMCL7RM,33178,TFN00060,GSM,TFSAPP1SPH200
TFLGL59BGP5P,TF128PSIMC4N,33178,TSAPP40300,GSM,TFSAPP1SPH500
TFLGL59BG3P4P,TF128PSIMT5N,33178,TFSAPP1SPH090,GSM,TFSAPP1SPH750
TFLGL59BG3P5P,TF128PSIMCL7N,00692,TFSAPP1SPH1500,GSM,TFN0001Y
TFLGL63BGP5P,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,TFN00060
TFLGL63BG3P4P,TF128PSIMT5N,33178,TFSAPP1SPH500,GSM,TSAPP40300
TFLGL63BG3P5P,TF128PSIMCL7N,00692,TFSAPP1SPH750,GSM,TFSAPP1SPH090
TFZEZ799VCPAS,TF256PSIMV9RM,33178,TFN0001Y,CDMA,TFSAPP1SPH1500
