ESN,SIM,zipCode,pin,pin1,pin2,cellTech,ESN1,ESN2
TFLGL48VCPDG,TF256PSIMV9N,33178,TFN0001Y,,,CDMA,TFZEZ660GRCS4,TFLGL15GP4RS
TFLGL57BGP5-5,TF128PSIMC4N,33178,TFN00060,,,GSM,TFLGL16C3PWP,TFZEZ752CPSP
TFLGL58VCPRS,TF256PSIMV9N,33178,TSAPP40300,,,CDMA,TFSAS766CR,TF3GCPOADROICP
TFZEZ233VCGYPDG,TF256PSIMV9RM,33178,TFSAPP1SPH090,,,CDMA,TFLG441GDMP5DG,TFLGL21GRCS
TFSAS550TG3P5P,TF128PSIMT5N,33178,TFSAPP1SPH1500,TFN00060,,GSM,TF3GCPOAGS4GP4,TFLG441GDMP5DG
TFAPI6PG16SVP4TER,TF128PSIMC4N,33178,TFSAPP1SPH200,,TFN00060,GSM,TFSAS766CR,TF3GCPOADROICP
TFSAG930VCPAP,TF256PSIMV9N,33178,TFSAPP1SPH500,,,CDMA,TFLG441GDMP5DG,TFLGL21GRCS
TFAPI5SG16SVWHP4,TF128PSIMC4N,33178,TFSAPP1SPH750,,,GSM,TFSAS766CPTGP,TFSAS766CR
TFAPI5SC16SVWHP,TF256PSIMV9N,33178,TFN0001Y,,,CDMA,TF3GCPOAGS4GP4,TF3GCPOADROICP
TFAPI6C16GYWHP,TF256PSIMV9N,33178,TFN00060,,,CDMA,TFZEZ660GRCS4,TFLGL15GP4RS
TFAPI6PC16SVPWP,TF256PSIMV9N,33178,TSAPP40300,,,CDMA,TFLGL16C3PWP,TFZEZ752CPSP
TFAPI6SG16RGR,TF128PSIMC4N,33178,TFSAPP1SPH090,,,GSM,TF3GCPOAGS4GP4,TF3GCPOADROICP
TFAPI6SC16GYP,TF256PSIMV9N,33178,TFSAPP1SPH1500,,,CDMA,TF3GCPOAGS4GP4,TF3GCPOADROICP
TFAPI6SPG16GDWHP4,TF128PSIMC4N,33178,TFSAPP1SPH200,,,GSM,TFLG441GDMP5DG,TFLGL21GRCS
TFAPI6SPC16SVPWP,TF256PSIMV9N,33178,TFSAPP1SPH500,,,CDMA,TFSAS766CPTGP,TFSAS766CR
TFLGLRS988VCRCS,TF256PSIMV9N,33178,TFSAPP1SPH750,,,CDMA,TFLG441GDMP5DG,TFLGL21GRCS
TFHUH1511DGSVWHP5,TF128PSIMT5N,33178,TFN0001Y,,,GSM,TF3GCPOAGS4GP4,TF3GCPOADROICP
TFHUH1511DCRCS,TF256PSIMV9N,33178,TFN00060,,,CDMA,TFLG237CDMPDG,TFZEZ753GP4RS
TFAPISEG16SV,TF128PSIMC4N,33178,TSAPP40300,,TFN00060,GSM,TFLG441GDMP5DG,TFLGL21GRCS
TFAPISEC16SVPWP,TF256PSIMV9N,33178,TFSAPP1SPH090,,,CDMA,TFSAS766CPTGP,TFSAS766CR
TFALA571VCR,TF256PSIMV9RM,33178,TFSAPP1SPH1500,,,CDMA,TF3GCPOAGS4GP4,TF3GCPOADROICP
TFALA570BGP4AS,TF128PSIMT5RM,33178,TFSAPP1SPH200,,,GSM,TFZEZ660GRCS4,TFLGL15GP4RS
TFALA846C3P,TF256PSIMV9RM,33178,TFSAPP1SPH500,,,CDMA,TFLGL16C3PWP,TFZEZ752CPSP
TFALA621BGP4DG,TF128PSIMC4RM,33178,TFSAPP1SPH750,,,GSM,TFZEZ717VCPRS,TFZEZ963VCP
TFLGL61AGP4DU,TF128PSIMC4N,33178,TFN0001Y,,,GSM,TF3GCPOAGS4GP4,TF3GCPOADROICP
TFLGL51AGP4DG,TF128PSIMC4N,33178,TFN00060,,TFN00060,GSM,TFLGL61AGP4DU,TFLGL21GRCS
TFLGL44VCPRS,TF256PSIMV9N,33178,TSAPP40300,,,CDMA,TFSAS766CPTGP,TFSAS766CR
TFLG329GDM3P7P,TF64SIMCL7,00692,TFSAPP1SPH090,,TFN00060,GSM,TFLG441GDMP5DG,TFLGL21GRCS
TFALA845GP4,TF128PSIMC4,33178,TFSAPP1SPH1500,TFN00060,,GSM,TFLGL43AGWHP4,TFSAS766CP
TFLGL17AGP4SP,TF128PSIMC4RM,33178,TFSAPP1SPH200,,TFN00060,GSM,TFLG237CDMPDG,TFZEZ753GP4RS
TFZEZ660GP5,TF128PSIMT5RM,33178,TFSAPP1SPH500,,,GSM,TFZEZ752CWHP,TFMTXT838C3P
TFZEZ819CPTGP,TF256PSIMV9RM,33178,TFSAPP1SPH750,,,CDMA,TFZEZ752CWHP,TFMTXT838C3P
TFLCPOAI5SGP4,TF128PSIMC4N,33178,TFN0001Y,,,GSM,TF3GCPOAGS4GP4,TF3GCPOADROICP
TFLGL21GRCS,TF64PSIMC4RM,33178,TFN00060,,,GSM,TFZEZ660GRCS4,TFLGL15GP4RS
TFMTXT838CPDU,TF256PSIMV9RM,33178,TSAPP40300,,,CDMA,TFLGL16C3PWP,TFZEZ752CPSP
TFSAS920CP,TF256PSIMV9RM,33178,TFSAPP1SPH090,,,CDMA,TFSAS920CDG,TFSAS766CPTGP
TFSAS766CP-5,,33178,TFSAPP1SPH1500,,,CDMA,TFSAS766CPTGP,TFSAS766CR
TFALA383GP,TF64SIMCL7,00692,TFSAPP1SPH200,,,GSM,TFLG420GP4,TFLG800GP5DM
TFALA564CPMP,,33178,TFSAPP1SPH500,,,CDMA,TFALA564CPWP,TFALA564CWHP
TFLG220CP,,33178,TFSAPP1SPH750,,,CDMA,TFLG231CP,TFLG290CPDM
