Part Number,SIM,Pin Card,Zip Code,Cell Tech,Pin Card1,Pin Card2,Pin Card3,Promo Code
TFLGL48VCPAS,TF256PSIMV9N,TFN0001Y,33178,CDMA,TFN00060,,,
TFLGL57BGFDP5,TF128PSIMT5N,TFN00060,33178,GSM,TFN0001Y,,,
TFLGL58VCP-5,TF256PSIMV9N,TSAPP40300,33178,CDMA,TFN00060,,,
TFZEZ233VCGYPAS,TF256PSIMV9RM,TFSAPP1SPH090,33178,CDMA,TSAPP40300,,,
TFLG108CDMPASSV,,TFSAPP1SPH1500,33178,CDMA,TFSAPP1SPH090,,,
TFZEZ232TGGYRCS,TF128PSIMT5RM,TFSAPP1SPH200,33178,GSM,TFSAPP1SPH1500,,,
GPAPI6PG16GYWHP4,TF128PSIMC4N,TFSAPP1SPH500,33178,GSM,TFSAPP1SPH200,TFN00060,TFN0001Y,55903
TFZEZ861BGP4RS,TF128PSIMT5N,TFSAPP1SPH750,33178,CDMA,TFSAPP1SPH500,,TFN0001Y,44046
TFSAG930VCP,TF256PSIMV9N,TFN0001Y,33178,CDMA,TFN0001Y,,,
TFAPI5SG16GY,TF128PSIMC4N,TFN00060,33178,GSM,TFN00060,,,
TFAPI5SC16GYPWP,TF256PSIMV9N,TSAPP40300,33178,CDMA,TSAPP40300,,,44046
TFAPI6C16GY,TF256PSIMV9N,TFSAPP1SPH090,33178,CDMA,TFSAPP1SPH090,TFN0001Y,,
TFAPI6PC16GYP,TF256PSIMV9N,TFSAPP1SPH1500,33178,CDMA,TFSAPP1SPH1500,,TFN0001Y,14675
TFAPI6SG16GDP,TF128PSIMC4N,TFSAPP1SPH200,33178,GSM,TFSAPP1SPH200,,,28960
TFAPI6SC16GDP,TF256PSIMV9N,TFSAPP1SPH500,33178,CDMA,TFSAPP1SPH500,TFN0001Y,,
TFAPI6SPG16GYR4,TF128PSIMC4N,TFSAPP1SPH750,33178,GSM,TFN0001Y,TFN0001Y,TFN00060,28960
TFAPI6SPC16GDWHP,TF256PSIMV9N,TFN0001Y,33178,CDMA,TFN00060,,,
TFLGLRS988VCPDG,TF256PSIMV9N,TFN00060,33178,CDMA,TSAPP40300,,,55903
TFHUH1511DGSV3P5P,TF128PSIMT5N,TSAPP40300,33178,GSM,TFSAPP1SPH090,,,
TFHUH1511DCPRS,TF256PSIMV9N,TFSAPP1SPH090,33178,CDMA,TFSAPP1SPH1500,,,28960
TFAPISEG16SVWHP4,TF128PSIMC4N,TFSAPP1SPH1500,33178,GSM,TFSAPP1SPH200,TFN0001Y,,
TFAPISEC16SVWHP,TF256PSIMV9N,TFSAPP1SPH200,33178,CDMA,TFSAPP1SPH500,,TFN0001Y,
TFALA571VCWHP,TF256PSIMV9RM,TFSAPP1SPH500,33178,CDMA,TFSAPP1SPH750,TFN0001Y,,
TFALA570BGP5DG,TF128PSIMT5RM,TFSAPP1SPH750,33178,GSM,TFN0001Y,TFN0001Y,,28960
TFALA846CPTGP,TF256PSIMV9RM,TFN0001Y,33178,CDMA,TFN00060,,,
TFZEZ717VCPTGP,TF256PSIMV9RM,TFN00060,33178,CDMA,TSAPP40300,,,
TFZEZ962BGP4,TF128PSIMC4N,TSAPP40300,33178,CDMA,TFSAPP1SPH090,,,
TFLGL61AGRCS,TF128PSIMC4N,TFSAPP1SPH090,33178,GSM,TFSAPP1SPH1500,,,
TFLGL51AGDG,TF128PSIMC4N,TFSAPP1SPH1500,33178,GSM,TFSAPP1SPH200,TFN0001Y,TFN00060,
TFLGL44VC3PWP,TF256PSIMV9N,TFSAPP1SPH200,33178,CDMA,TFSAPP1SPH500,,TFN0001Y,55903
TFLGL43AGWHP4,TF128PSIMC4N,TFSAPP1SPH500,33178,GSM,TFSAPP1SPH750,,,
TFLG329GDG,TF64SIMC4,TFSAPP1SPH750,33178,GSM,TFN0001Y,TFN0001Y,,
TFALA463BG3P5P,TF128PSIMT5RM,TFN0001Y,33178,GSM,TFN00060,TFN0001Y,TFN00060,14675
TFLCPOAI5SGP5,TF128PSIMT5N,TFN00060,33178,GSM,TSAPP40300,,,
PHTF128PSIMC4N,TF128PSIMC4ND,TSAPP40300,33178,GSM,TFSAPP1SPH090,,,
TFSAS777C3P,,TFSAPP1SPH090,33178,CDMA,TFSAPP1SPH1500,,,
TFLG441GP,TF128SIMC4,TFSAPP1SPH1500,33178,GSM,TFSAPP1SPH200,,,55313
TFSAS766CPTGP,,TFSAPP1SPH200,33178,CDMA,TFSAPP1SPH500,,,
TFUXU671CPDU,,TFSAPP1SPH500,33178,CDMA,TFSAPP1SPH750,,,
TFZEZ819CR,TF256PSIMV9RM,TFSAPP1SPH750,33178,CDMA,TFN0001Y,,,
TFMTW175P5,TF64SIMT5,TFN0001Y,33178,GSM,TFN00060,,,
TFLG221CPDM,,TFN00060,33178,CDMA,TSAPP40300,,,
TFSAR455CTMP,,TSAPP40300,33178,CDMA,TFSAPP1SPH090,,,
TFZEZ837VC3P,TF256PSIMV9N,TFSAPP1SPH090,33178,CDMA,TFSAPP1SPH1500,,,
TFLGL64VCP,TF256PSIMV9N,TFSAPP1SPH1500,33178,CDMA,TFSAPP1SPH200,,,
TFZEZ836BGFDP4,TF128PSIMC4N,TFSAPP1SPH200,33178,GSM,TFSAPP1SPH500,,,
TFZEZ836BG3P5,TF128PSIMT5N,TFSAPP1SPH500,33178,GSM,TFSAPP1SPH750,,,
TFZEZ836BG,TF128PSIMCL7N,TFSAPP1SPH750,33178,GSM,TFN0001Y,,,
TFZEZ798BGFDP4,TF128PSIMC4RM,TFN0001Y,33178,GSM,TFN00060,,,
TFZEZ798BG3P5,TF128PSIMT5RM,TFN00060,33178,GSM,TSAPP40300,,,
TFZEZ798BG,TF128PSIMCL7RM,TSAPP40300,33178,GSM,TFSAPP1SPH090,,,
TFLGL59BGP5DG,TF128PSIMC4N,TFSAPP1SPH090,33178,GSM,TFSAPP1SPH1500,,,
TFLGL59BGP4SP,TF128PSIMT5N,TFSAPP1SPH1500,33178,GSM,TFSAPP1SPH200,,,
TFLGL59BGP4P,TF128PSIMCL7N,TFSAPP1SPH200,00692,GSM,TFSAPP1SPH500,,,
TFLGL63BGP5DG,TF128PSIMC4N,TFSAPP1SPH500,33178,GSM,TFSAPP1SPH750,,,
TFLGL63BGP4SP,TF128PSIMT5N,TFSAPP1SPH750,33178,GSM,TFN0001Y,,,
TFLGL63BGP4P,TF128PSIMCL7N,TFSAPP1SPH750,00692,GSM,TFN00060,,,
TFZEZ799VCP-5,TF256PSIMV9RM,TFSAPP1SPH750,33178,CDMA,TSAPP40300,,,
