ESN,SIM,zipCode,pin,pin1,pin2,cellTech,ESN1
TFLG108CDM3PWPSV,,33178,TFN0001Y,,,CDMA,TFLGL48VCDG
TFZEZ232TGGYR5,TF128PSIMT5RM,33178,TFN00060,,,GSM,TFALA383GDMP7SV
TFALA621BGP4DG,TF128PSIMC4RM,33178,TFSAPP1SPH1500,,,GSM,TFALA383GDMP7SV
TFLGL61AGP4DU,TF128PSIMC4N,33178,TFSAPP1SPH200,,,GSM,TFALA382GDMP4
TFLGL51AGP4DG,TF128PSIMC4N,33178,TFSAPP1SPH500,,TFN0001Y,GSM,TFALA382GDMP4
TFLGL44VCPRS,TF256PSIMV9N,33178,TFSAPP1SPH750,,,CDMA,TFZEZ233VCGY
TFLG329GDM3P7P,TF64SIMCL7,00692,TFN0001Y,,TFN0001Y,GSM,TFLG441GDMP5DG
TFALA845GP4,TF128PSIMC4,33178,TFN00060,TSAPP40300,,GSM,TFALA383GDMP7SV
TFLGL17AGP4SP,TF128PSIMC4RM,33178,TSAPP40300,,TFN0001Y,GSM,TFALA382GDMP4
TFZEZ819CPTGP,TF256PSIMV9RM,33178,TFSAPP1SPH1500,,,CDMA,TFLGL58VCDG
TFLCPOAI5SGP4,TF128PSIMC4N,33178,TFSAPP1SPH200,,,GSM,TFALA383GDMP7SV
TFLGL21GRCS,TF64PSIMC4RM,33178,TFSAPP1SPH500,,,GSM,TFALA382GDMP4
TFSAS920CP,TF256PSIMV9RM,33178,TFN0001Y,,,CDMA,TFZEZ233VCGYDG
TFSAS766CP-5,,33178,TFN00060,,,CDMA,TFLG108C
TFALA383GP,TF64SIMCL7,00692,TSAPP40300,,,GSM,TFALA382GDMP4
TFALA564CPMP,,33178,TFSAPP1SPH090,,,CDMA,TFLG238C
TFLG220CP,,33178,TFSAPP1SPH1500,,,CDMA,TFALA394C
