ESN,SIM,zipCode,pin,pin1,pin2,cellTech,ESN1,ESN2
TFSAS320VCDG,TF256PSIMV9N,33178,TFN0001Y,,,CDMA,TFZEZ752CWHP,TFMTXT838C3P
TFSAS550TGP5AP2,TF128PSIMT5N,33178,TFN00060,TSAPP40300,,GSM,TFSAS766CR,TF3GCPOADROICP
TFLG329GDM3P7P,TF64SIMCL7,00692,TSAPP40300,,TSAPP40300,GSM,TFLG441GDMP5DG,TFLGL21GRCS
TFALA845GP4,TF128PSIMC4,33178,TFSAPP1SPH090,TSAPP40300,,GSM,TFLGL43AGWHP4,TFSAS766CP
TFLGL17AGP4SP,TF128PSIMC4RM,33178,TFSAPP1SPH1500,,TSAPP40300,GSM,TFLG237CDMPDG,TFZEZ753GP4RS
TFZEZ660GP5,TF128PSIMT5RM,33178,TFSAPP1SPH200,,,GSM,TFZEZ752CWHP,TFMTXT838C3P
TFZEZ819CPTGP,TF256PSIMV9RM,33178,TFSAPP1SPH500,,,CDMA,TFZEZ752CWHP,TFMTXT838C3P
TFLCPOAI5SGP4,TF128PSIMC4N,33178,TFSAPP1SPH750,,,GSM,TF3GCPOAGS4GP4,TF3GCPOADROICP
TFLGL21GRCS,TF64PSIMC4RM,33178,TFN0001Y,,,GSM,TFZEZ660GRCS4,TFLGL15GP4RS
TFMTXT838CPDU,TF256PSIMV9RM,33178,TFN00060,,,CDMA,TFLGL16C3PWP,TFZEZ752CPSP
TFSAS920CP,TF256PSIMV9RM,33178,TSAPP40300,,,CDMA,TFSAS920CDG,TFSAS766CPTGP
TFSAS766CP-5,,33178,TFSAPP1SPH090,,,CDMA,TFSAS766CPTGP,TFSAS766CR
TFALA383GP,TF64SIMCL7,00692,TFSAPP1SPH1500,,,GSM,TFLG420GP4,TFLG800GP5DM
TFALA564CPMP,,33178,TFSAPP1SPH200,,,CDMA,TFALA564CPWP,TFALA564CWHP
TFLG220CP,,33178,TFSAPP1SPH500,,,CDMA,TFLG231CP,TFLG290CPDM
